time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1854.000,2.543,6.169,0.250,1.800,3.320,132.000,0.800,0.060
187.000,2.690,6.334,0.250,0.800,1.230,109.000,4.400,0.340
2321.000,2.816,6.582,0.370,1.600,4.030,286.000,2.200,0.030
35.000,2.894,6.166,0.220,2.500,4.090,7.000,0.800,0.460
2021.000,2.527,6.862,0.240,1.100,4.610,319.000,2.500,0.190
3198.000,2.681,5.800,0.260,1.300,4.790,31.000,0.000,0.290
1607.000,2.390,5.940,0.090,0.900,0.710,6.000,4.800,1.210
2106.000,2.640,5.835,0.260,0.200,4.870,137.000,0.600,0.140
1386.000,2.346,6.939,0.400,1.300,3.090,207.000,1.800,1.320
1069.000,2.571,5.961,0.330,0.400,3.460,34.000,1.600,1.590
2010.000,2.769,6.683,0.280,1.200,3.940,148.000,2.200,0.410
1336.000,2.810,5.763,0.360,0.200,4.810,258.000,0.400,0.150
489.000,2.706,6.669,0.320,2.500,4.670,199.000,0.800,0.140
2643.000,2.568,6.125,0.270,0.100,3.260,191.000,3.500,2.460
896.000,2.555,6.620,0.370,1.000,3.760,30.000,2.400,0.380
1773.000,2.760,6.156,0.270,1.000,3.850,133.000,1.000,0.170
1325.000,2.622,6.253,0.320,1.900,3.590,247.000,1.500,0.260
1772.000,2.613,6.520,0.350,0.800,3.670,91.000,0.200,0.380
1252.000,2.593,7.028,0.230,2.400,3.970,262.000,1.400,0.220
1391.000,2.755,5.243,0.280,0.000,4.480,22.000,0.900,0.900
5871.000,2.567,5.750,0.080,0.900,1.990,43.000,2.300,2.130
1294.000,2.698,5.930,0.290,0.100,3.860,142.000,0.600,0.450
1695.000,2.599,6.233,0.260,2.000,3.550,333.000,2.300,0.160
1209.000,2.700,5.344,0.260,0.000,4.480,289.000,0.200,0.730
978.000,2.493,6.295,0.250,0.800,4.550,186.000,1.300,0.150
1485.000,2.700,6.664,0.270,0.500,4.180,164.000,1.500,0.810
1312.000,2.822,6.708,0.320,1.000,1.980,143.000,2.200,1.300
129.000,2.597,7.225,0.270,0.800,4.240,275.000,2.900,0.060
4060.000,2.492,5.728,0.150,0.700,2.960,33.000,2.800,1.690
1342.000,2.326,5.978,0.270,0.400,4.360,41.000,1.100,0.460
602.000,2.395,6.289,0.280,1.800,5.390,8.000,0.300,0.120
1474.000,2.692,6.334,0.250,1.400,3.450,142.000,2.100,0.460
2311.000,2.451,5.568,0.370,1.100,3.060,197.000,0.700,0.660
1307.000,2.534,6.324,0.350,0.800,4.240,256.000,0.600,0.180
1932.000,2.411,5.282,0.290,1.200,3.750,37.000,0.100,0.300
1783.000,2.682,6.664,0.250,0.200,3.840,143.000,0.300,0.220
1879.000,2.660,6.187,0.310,0.400,4.950,138.000,0.400,0.020
5252.000,2.450,5.388,0.270,0.100,4.970,174.000,0.900,0.950
81.000,2.770,6.450,0.250,1.100,3.500,121.000,2.600,1.000
1475.000,2.972,5.710,0.230,0.400,2.170,44.000,1.400,2.170
1344.000,2.850,5.927,0.330,0.200,4.240,142.000,0.100,0.450
1277.000,2.679,6.377,0.260,0.400,5.000,235.000,0.200,0.060
18565.000,2.651,5.790,0.170,1.100,4.340,125.000,1.300,1.100
29.000,2.619,6.447,0.290,2.900,4.480,226.000,0.700,0.270
4116.000,2.520,6.284,0.220,0.600,2.930,127.000,3.000,1.390
3256.000,2.681,6.194,0.150,0.400,4.240,3.000,0.200,0.330
1291.000,2.551,6.621,0.430,1.100,3.880,347.000,1.300,0.390
2667.000,3.082,6.856,0.240,0.700,4.880,147.000,1.100,0.670
166.000,2.581,6.206,0.240,0.400,4.090,117.000,1.400,0.290
583.000,2.437,6.686,0.350,1.700,2.860,140.000,1.300,0.940
856.000,2.673,6.476,0.320,0.300,3.500,67.000,0.200,0.250
2726.000,2.768,6.050,0.400,0.500,4.350,44.000,0.500,0.620
1855.000,2.419,6.867,0.300,1.600,3.850,242.000,2.600,1.090
1321.000,2.703,5.899,0.270,0.100,4.140,76.000,0.400,0.860
4146.000,2.673,5.966,0.170,0.600,3.640,195.000,0.500,0.190
1088.000,2.668,6.592,0.290,0.700,4.010,122.000,2.500,0.020
1589.000,2.562,6.227,0.260,0.200,5.100,214.000,0.000,0.620
9037.000,2.764,6.424,0.290,0.800,4.590,208.000,0.100,0.170
151.000,2.440,6.408,0.280,0.500,3.840,214.000,1.200,0.830
1277.000,2.438,6.275,0.300,0.100,4.550,16.000,0.700,0.210
1538.000,2.505,6.451,0.340,2.200,3.630,246.000,0.700,0.320
2525.000,2.505,6.292,0.280,0.600,4.770,71.000,0.200,0.170
1666.000,2.455,6.248,0.300,1.100,4.120,79.000,2.000,0.330
1303.000,2.774,6.183,0.230,1.000,4.300,136.000,0.300,0.870
2381.000,2.478,6.261,0.240,0.800,4.760,164.000,0.600,0.470
1751.000,2.823,6.404,0.250,1.300,3.670,318.000,1.500,0.540
2536.000,2.596,5.912,0.420,0.200,4.860,141.000,0.200,0.000
5513.000,2.380,6.219,0.160,0.700,3.250,173.000,1.500,1.080
1398.000,2.549,5.715,0.290,1.200,3.790,116.000,0.200,0.410
964.000,2.640,5.717,0.170,0.400,2.750,146.000,3.500,1.780
621.000,2.541,6.008,0.320,0.200,3.890,63.000,0.200,0.350
3560.000,2.553,6.502,0.400,1.400,4.040,314.000,2.500,0.330
1361.000,2.613,6.281,0.160,0.400,2.720,182.000,3.500,1.030
927.000,2.795,6.280,0.220,1.300,3.250,305.000,1.600,0.420
1543.000,2.420,5.469,0.180,0.100,4.890,78.000,1.500,0.310
1536.000,2.550,6.334,0.360,1.100,4.410,258.000,0.800,0.360
1163.000,2.682,5.941,0.300,0.900,4.250,213.000,0.600,0.890
552.000,2.378,6.107,0.240,1.600,3.910,226.000,1.000,0.130
1247.000,2.363,6.941,0.060,0.600,0.510,100.000,2.000,1.890
82.000,2.908,6.078,0.240,2.300,4.610,156.000,0.200,0.350
5932.000,2.570,6.053,0.240,0.300,4.610,136.000,0.600,0.540
1208.000,2.625,6.079,0.170,0.100,2.540,9.000,1.300,0.140
1215.000,2.606,7.295,0.240,2.400,3.620,258.000,1.800,0.080
3925.000,2.687,5.946,0.140,0.700,1.690,100.000,2.900,0.710
3743.000,2.348,6.335,0.250,1.900,4.490,277.000,0.000,0.400
1269.000,2.672,5.979,0.280,0.600,4.770,15.000,0.300,0.140
2646.000,2.650,5.454,0.290,0.500,4.720,66.000,0.500,0.170
1459.000,2.492,6.936,0.320,1.500,4.200,304.000,0.300,0.500
1184.000,2.553,6.449,0.240,1.700,4.680,230.000,0.300,0.050
2379.000,2.825,5.740,0.230,0.800,3.100,71.000,0.500,0.130
1905.000,2.540,5.691,0.270,0.400,4.960,187.000,0.200,0.140
5913.000,2.490,6.542,0.270,1.600,4.350,360.000,5.000,0.880
3010.000,2.691,6.180,0.400,0.600,4.090,279.000,2.200,0.350
891.000,2.277,6.439,0.150,2.300,4.620,257.000,1.800,0.090
2902.000,2.781,6.520,0.270,0.400,4.110,129.000,0.400,0.520
1456.000,2.543,5.614,0.240,1.100,4.830,56.000,0.400,0.360
3190.000,2.706,6.587,0.290,1.000,4.820,268.000,0.100,0.310
1994.000,2.540,5.776,0.250,1.700,4.010,173.000,1.600,0.070
1507.000,2.570,5.521,0.240,0.100,3.470,43.000,1.000,0.730
1963.000,2.770,7.004,0.290,1.000,3.830,49.000,4.500,1.320
3861.000,2.680,6.443,0.250,1.800,4.260,109.000,2.300,0.050
2752.000,2.436,6.386,0.180,0.400,2.120,119.000,3.800,1.410
1423.000,2.581,6.207,0.350,0.200,3.630,293.000,0.100,0.430
2973.000,2.710,5.287,0.080,0.500,3.820,254.000,0.900,1.390
2613.000,2.509,6.463,0.340,1.600,3.620,224.000,2.100,1.030
2661.000,2.388,6.194,0.250,0.200,2.610,45.000,1.400,2.520
