time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Class
0.077,0.378,0.593,0.168,0.123,0.389,0.394,0.093,0.096,1.000
0.189,0.443,0.366,0.130,0.070,0.481,0.307,0.011,0.040,1.000
0.153,0.660,0.700,0.135,0.000,0.426,0.258,0.191,0.018,1.000
0.058,0.571,0.528,0.200,0.140,0.540,0.273,0.022,0.036,1.000
0.117,0.453,0.668,0.157,0.158,0.572,0.185,0.005,0.068,1.000
1.000,0.479,0.432,0.195,0.070,0.636,0.256,0.098,0.124,1.000
0.070,0.620,0.662,0.157,0.105,0.414,0.302,0.022,0.128,1.000
0.201,0.392,0.810,0.146,0.140,0.554,0.103,0.038,0.048,1.000
0.057,0.835,0.945,0.130,0.281,0.495,0.429,0.148,0.046,1.000
0.024,0.450,0.664,0.168,0.158,0.457,0.110,0.011,0.073,1.000
0.212,0.502,0.278,0.130,0.035,0.445,0.006,0.033,0.063,1.000
0.087,0.830,0.692,0.141,0.211,0.491,0.376,0.115,0.055,1.000
0.048,0.658,0.691,0.103,0.053,0.280,0.237,0.115,0.066,1.000
0.127,0.368,0.660,0.103,0.000,0.392,0.426,0.060,0.204,1.000
0.063,0.431,0.695,0.184,0.386,0.534,0.055,0.049,0.028,1.000
0.344,0.601,0.574,0.086,0.070,0.368,0.422,0.208,0.083,1.000
0.082,0.770,0.571,0.141,0.088,0.443,0.212,0.098,0.005,1.000
0.008,0.437,0.211,0.141,0.035,0.501,0.097,0.005,0.118,1.000
0.099,0.635,0.679,0.151,0.105,0.456,0.283,0.016,0.113,1.000
0.270,0.714,0.333,0.130,0.053,0.595,0.200,0.005,0.018,1.000
0.013,0.500,0.354,0.173,0.105,0.600,0.047,0.016,0.022,1.000
0.214,0.604,0.499,0.141,0.509,0.545,0.343,0.044,0.003,1.000
0.142,0.568,0.550,0.130,0.316,0.530,0.064,0.016,0.050,1.000
0.127,0.339,0.699,0.238,0.404,0.548,0.170,0.169,0.010,1.000
0.071,0.807,0.333,0.108,0.123,0.566,0.168,0.027,0.012,1.000
0.219,0.396,0.252,0.086,0.175,0.252,0.014,0.060,0.192,1.000
0.053,0.858,0.534,0.130,0.053,0.433,0.374,0.038,0.081,1.000
0.096,0.708,0.556,0.141,0.404,0.427,0.361,0.115,0.056,1.000
0.080,0.189,0.356,0.086,0.070,0.417,0.256,0.033,0.129,1.000
0.057,0.362,0.480,0.157,0.158,0.449,0.077,0.027,0.022,1.000
0.088,0.475,0.379,0.114,0.105,0.420,0.094,0.027,0.109,1.000
0.126,0.290,0.520,0.168,0.211,0.541,0.258,0.011,0.043,1.000
0.019,0.401,0.633,0.232,0.140,0.544,0.208,0.049,0.085,1.000
0.012,0.700,0.450,0.162,0.158,0.412,0.288,0.098,0.065,1.000
0.069,0.342,0.377,0.135,0.088,0.442,0.010,0.011,0.093,1.000
0.058,0.692,0.372,0.151,0.070,0.379,0.194,0.109,0.020,1.000
0.066,0.247,0.490,0.178,0.263,0.480,0.097,0.005,0.078,1.000
0.073,0.664,0.653,0.119,0.018,0.537,0.314,0.104,0.053,1.000
0.042,0.590,0.512,0.146,0.088,0.515,0.184,0.044,0.003,1.000
0.098,0.471,0.417,0.097,0.246,0.559,0.208,0.011,0.061,1.000
0.054,0.403,0.574,0.195,0.088,0.590,0.319,0.077,0.030,1.000
0.066,0.538,0.595,0.157,0.053,0.128,0.392,0.109,0.430,1.000
0.068,0.552,0.246,0.168,0.035,0.546,0.230,0.055,0.018,1.000
0.479,0.674,0.170,0.178,0.035,0.463,0.037,0.022,0.060,1.000
0.418,0.336,0.595,0.141,0.123,0.498,0.270,0.005,0.068,1.000
0.075,0.615,0.435,0.157,0.175,0.485,0.093,0.011,0.078,1.000
0.075,0.572,0.482,0.076,0.018,0.240,0.005,0.098,0.201,1.000
0.049,0.230,0.520,0.243,0.035,0.445,0.185,0.049,0.035,1.000
0.011,0.585,0.704,0.195,0.211,0.509,0.290,0.011,0.036,1.000
0.069,0.801,0.538,0.135,0.456,0.469,0.374,0.082,0.096,1.000
0.373,0.421,0.564,0.141,0.193,0.579,0.004,0.016,0.043,1.000
0.086,0.761,0.635,0.146,0.018,0.419,0.126,0.109,0.088,1.000
0.068,0.545,0.332,0.108,0.140,0.519,0.019,0.005,0.018,1.000
0.084,0.409,0.499,0.195,0.088,0.419,0.037,0.066,0.166,1.000
0.258,0.698,0.355,0.092,0.035,0.469,0.031,0.027,0.151,1.000
0.032,0.616,0.766,0.162,0.018,0.310,0.163,0.208,0.269,1.000
0.094,0.652,0.531,0.173,0.281,0.489,0.292,0.016,0.096,1.000
0.013,0.307,0.448,0.162,0.105,0.447,0.051,0.038,0.081,1.000
0.067,0.494,0.401,0.178,0.246,0.560,0.133,0.033,0.038,1.000
0.071,0.675,0.516,0.130,0.035,0.575,0.091,0.038,0.027,1.000
0.000,0.440,0.430,0.146,0.351,0.508,0.175,0.005,0.242,1.000
0.065,0.547,0.630,0.151,0.246,0.453,0.412,0.131,0.080,1.000
0.056,0.446,0.462,0.146,0.263,0.518,0.080,0.005,0.083,1.000
0.144,0.581,0.323,0.108,0.123,0.280,0.360,0.038,0.282,1.000
0.083,0.645,0.452,0.173,0.105,0.349,0.114,0.016,0.126,1.000
0.066,0.458,0.498,0.173,0.088,0.419,0.181,0.191,0.216,1.000
0.155,0.524,0.391,0.151,0.070,0.440,0.023,0.049,0.090,1.000
0.093,0.442,0.394,0.124,0.088,0.519,0.099,0.016,0.008,1.000
0.031,0.547,0.476,0.178,0.316,0.532,0.157,0.049,0.007,1.000
0.144,0.745,0.589,0.119,0.035,0.350,0.267,0.164,0.144,1.000
0.051,0.503,0.512,0.162,0.088,0.363,0.115,0.011,0.111,1.000
0.019,0.468,0.465,0.168,0.140,0.474,0.198,0.005,0.068,1.000
0.096,0.679,0.432,0.124,0.070,0.453,0.205,0.033,0.085,1.000
0.059,0.573,0.651,0.157,0.105,0.499,0.312,0.022,0.143,1.000
0.262,0.567,0.614,0.135,0.281,0.494,0.246,0.011,0.058,1.000
0.284,0.458,0.664,0.227,0.211,0.540,0.341,0.044,0.013,1.000
0.088,0.475,0.379,0.114,0.105,0.420,0.094,0.027,0.109,1.000
0.068,0.690,0.666,0.173,0.070,0.674,0.037,0.016,0.002,1.000
0.020,0.438,0.605,0.114,0.140,0.394,0.082,0.066,0.163,1.000
0.020,0.331,0.610,0.200,0.193,0.421,0.038,0.055,0.100,1.000
0.358,0.602,0.491,0.227,0.298,0.526,0.292,0.005,0.005,1.000
0.101,0.392,0.515,0.222,0.246,0.552,0.165,0.005,0.076,1.000
0.060,0.509,0.077,0.168,0.035,0.425,0.203,0.120,0.106,1.000
0.217,0.708,0.689,0.141,0.088,0.446,0.281,0.060,0.007,1.000
0.429,0.725,0.692,0.168,0.193,0.481,0.413,0.191,0.050,1.000
0.075,0.537,0.595,0.173,0.088,0.536,0.119,0.022,0.041,1.000
0.156,0.520,0.408,0.195,0.123,0.457,0.050,0.104,0.206,1.000
0.058,0.568,0.301,0.168,0.140,0.547,0.217,0.060,0.036,1.000
0.131,0.237,0.285,0.124,0.018,0.463,0.103,0.038,0.106,1.000
0.073,0.557,0.549,0.151,0.070,0.158,0.311,0.284,0.385,1.000
0.071,0.631,0.215,0.200,0.088,0.417,0.265,0.027,0.040,1.000
0.397,0.613,0.425,0.097,0.228,0.473,0.202,0.022,0.046,1.000
0.017,0.290,0.854,0.243,0.070,0.438,0.161,0.197,0.012,1.000
0.097,0.582,0.366,0.162,0.228,0.517,0.124,0.038,0.066,1.000
0.075,0.613,0.281,0.043,0.158,0.287,0.018,0.087,0.109,1.000
0.061,0.682,0.490,0.141,0.246,0.519,0.038,0.005,0.020,1.000
0.420,0.703,0.807,0.114,0.281,0.390,0.385,0.208,0.134,1.000
0.129,0.757,0.339,0.135,0.140,0.459,0.159,0.027,0.189,1.000
0.144,0.561,0.281,0.092,0.070,0.613,0.032,0.011,0.043,1.000
0.087,0.442,0.495,0.157,0.000,0.524,0.083,0.060,0.060,1.000
0.079,0.264,0.630,0.157,0.035,0.408,0.315,0.055,0.131,1.000
0.053,0.813,0.440,0.108,0.175,0.466,0.228,0.011,0.043,1.000
0.091,0.424,0.660,0.162,0.035,0.098,0.148,0.169,0.350,1.000
0.172,0.405,0.481,0.162,0.070,0.410,0.228,0.022,0.045,1.000
0.056,0.536,0.287,0.124,0.193,0.569,0.036,0.060,0.003,1.000
0.127,0.632,0.704,0.157,0.228,0.392,0.356,0.071,0.017,1.000
0.093,0.649,0.580,0.211,0.228,0.477,0.358,0.016,0.053,1.000
0.077,0.410,0.640,0.249,0.263,0.463,0.357,0.060,0.040,1.000
0.050,0.513,0.320,0.146,0.035,0.578,0.033,0.093,0.280,1.000
0.097,0.548,0.517,0.205,0.105,0.331,0.290,0.169,0.108,1.000
0.267,0.689,0.561,0.070,0.158,0.048,0.135,0.246,0.330,1.000
0.696,0.580,0.312,0.189,0.298,0.557,0.079,0.033,0.008,1.000
0.335,0.699,0.564,0.124,0.070,0.331,0.309,0.148,0.061,1.000
0.304,0.501,0.439,0.178,0.228,0.534,0.029,0.033,0.035,1.000
0.270,0.613,0.224,0.130,0.105,0.634,0.103,0.016,0.036,1.000
0.085,0.698,0.735,0.119,0.018,0.450,0.157,0.208,0.091,1.000
0.055,0.566,0.239,0.162,0.193,0.480,0.184,0.027,0.093,1.000
0.047,0.514,0.474,0.146,0.070,0.389,0.151,0.027,0.068,1.000
0.124,0.792,0.205,0.124,0.351,0.537,0.346,0.033,0.012,1.000
0.444,0.693,0.282,0.135,0.175,0.487,0.010,0.044,0.005,1.000
0.084,0.341,0.166,0.130,0.263,0.386,0.153,0.033,0.106,1.000
0.355,0.849,0.439,0.114,0.333,0.596,0.239,0.016,0.022,1.000
0.127,0.522,0.292,0.135,0.158,0.130,0.043,0.049,0.028,1.000
0.126,0.550,0.369,0.108,0.123,0.322,0.093,0.044,0.010,1.000
0.067,0.453,0.155,0.119,0.193,0.606,0.096,0.066,0.053,1.000
0.023,0.719,0.736,0.168,0.175,0.568,0.270,0.000,0.063,1.000
0.080,0.338,0.244,0.130,0.211,0.523,0.041,0.000,0.091,1.000
0.283,0.532,0.319,0.151,0.035,0.503,0.208,0.022,0.068,1.000
0.339,0.746,0.442,0.151,0.105,0.417,0.237,0.022,0.124,1.000
0.069,0.491,0.445,0.178,0.263,0.459,0.438,0.005,0.015,1.000
0.120,0.372,0.248,0.119,0.035,0.461,0.241,0.044,0.055,1.000
0.000,0.592,0.529,0.216,0.088,0.477,0.287,0.011,0.008,1.000
0.095,0.625,0.465,0.151,0.123,0.597,0.173,0.016,0.022,1.000
0.062,0.503,0.619,0.059,0.035,0.224,0.112,0.109,0.287,1.000
0.116,0.520,0.601,0.200,0.105,0.516,0.180,0.044,0.020,1.000
0.076,0.613,0.646,0.108,0.140,0.488,0.344,0.131,0.093,1.000
0.063,0.459,0.570,0.146,0.035,0.512,0.219,0.055,0.075,1.000
0.014,0.531,0.942,0.157,0.298,0.391,0.221,0.208,0.108,1.000
0.157,0.586,0.950,0.146,0.316,0.413,0.378,0.098,0.007,1.000
0.158,0.525,0.791,0.168,0.263,0.427,0.196,0.235,0.032,1.000
0.072,0.465,0.195,0.130,0.193,0.564,0.071,0.022,0.060,1.000
0.033,0.366,0.189,0.178,0.018,0.462,0.239,0.016,0.073,1.000
0.049,0.421,0.323,0.151,0.158,0.489,0.199,0.055,0.186,1.000
0.067,0.485,0.471,0.124,0.035,0.088,0.246,0.082,0.418,1.000
0.621,0.823,0.143,0.092,0.035,0.453,0.116,0.011,0.056,1.000
0.068,0.397,0.903,0.189,0.211,0.546,0.494,0.098,0.096,1.000
0.091,0.675,0.382,0.200,0.281,0.392,0.337,0.066,0.096,1.000
0.001,0.373,0.250,0.130,0.088,0.350,0.091,0.011,0.214,1.000
0.087,0.338,0.639,0.222,0.333,0.574,0.416,0.066,0.090,1.000
0.074,0.617,0.789,0.173,0.105,0.373,0.279,0.115,0.151,1.000
0.073,0.547,0.620,0.141,0.053,0.335,0.033,0.142,0.338,1.000
0.058,0.646,0.647,0.184,0.158,0.487,0.077,0.016,0.017,1.000
0.002,0.248,0.561,0.162,0.491,0.557,0.318,0.098,0.093,1.000
0.306,0.594,0.562,0.222,0.351,0.544,0.261,0.005,0.090,1.000
0.057,0.835,0.945,0.130,0.281,0.495,0.429,0.148,0.046,1.000
0.134,0.508,0.376,0.178,0.053,0.483,0.013,0.022,0.048,1.000
0.068,0.485,0.477,0.162,0.000,0.438,0.094,0.060,0.156,1.000
0.299,0.644,0.439,0.173,0.316,0.538,0.040,0.027,0.036,1.000
0.054,0.409,0.629,0.151,0.316,0.477,0.362,0.066,0.051,1.000
0.104,0.586,0.239,0.162,0.351,0.562,0.213,0.011,0.058,1.000
0.056,0.758,0.605,0.130,0.140,0.238,0.131,0.011,0.119,1.000
0.070,0.604,0.924,0.130,0.175,0.425,0.492,0.219,0.035,1.000
0.364,0.718,0.585,0.141,0.018,0.462,0.292,0.131,0.252,1.000
0.452,0.374,0.438,0.249,0.105,0.372,0.337,0.120,0.051,1.000
0.340,0.591,0.463,0.157,0.070,0.494,0.163,0.005,0.020,1.000
0.075,0.602,0.737,0.184,0.088,0.554,0.282,0.027,0.088,1.000
0.063,0.594,0.652,0.141,0.088,0.342,0.200,0.219,0.149,1.000
0.239,0.627,0.275,0.146,0.211,0.476,0.056,0.000,0.003,1.000
0.084,0.432,0.502,0.157,0.105,0.487,0.259,0.055,0.025,1.000
0.071,0.610,0.489,0.157,0.035,0.477,0.142,0.071,0.008,1.000
0.073,0.360,0.290,0.173,0.000,0.553,0.115,0.027,0.007,1.000
0.382,0.608,0.562,0.168,0.070,0.488,0.209,0.033,0.000,1.000
0.076,0.661,0.363,0.130,0.053,0.504,0.260,0.033,0.018,1.000
0.114,0.575,0.616,0.135,0.281,0.485,0.337,0.000,0.048,1.000
0.081,0.531,0.383,0.146,0.491,0.538,0.499,0.093,0.051,1.000
0.141,0.548,0.305,0.059,0.018,0.417,0.268,0.027,0.013,1.000
0.091,0.401,0.546,0.173,0.123,0.564,0.120,0.033,0.020,1.000
0.145,0.594,0.323,0.108,0.070,0.328,0.265,0.005,0.312,1.000
0.134,0.623,0.390,0.195,0.070,0.575,0.194,0.055,0.051,1.000
0.211,0.500,0.570,0.151,0.105,0.520,0.042,0.005,0.081,1.000
0.052,0.594,0.436,0.195,0.053,0.532,0.040,0.027,0.068,1.000
0.007,0.523,0.476,0.124,0.140,0.589,0.194,0.011,0.030,1.000
0.090,0.318,0.670,0.195,0.140,0.489,0.284,0.005,0.023,1.000
0.146,0.505,0.597,0.141,0.070,0.468,0.152,0.060,0.197,1.000
0.081,0.594,0.310,0.157,0.228,0.571,0.133,0.022,0.013,1.000
0.002,0.429,0.555,0.232,0.018,0.553,0.037,0.055,0.003,1.000
0.013,0.406,0.652,0.168,0.281,0.520,0.347,0.109,0.086,1.000
0.022,0.608,0.785,0.238,0.035,0.424,0.306,0.197,0.035,1.000
0.067,0.787,0.706,0.130,0.000,0.364,0.078,0.109,0.032,1.000
0.063,0.814,0.719,0.222,0.088,0.427,0.204,0.038,0.108,1.000
0.072,0.568,0.714,0.151,0.035,0.273,0.157,0.213,0.075,1.000
0.061,0.617,0.558,0.114,0.053,0.447,0.070,0.005,0.136,1.000
0.005,0.259,0.488,0.178,0.175,0.607,0.048,0.011,0.090,1.000
0.117,0.504,0.300,0.184,0.211,0.491,0.452,0.033,0.081,1.000
0.442,0.620,0.509,0.200,0.035,0.432,0.097,0.082,0.070,1.000
0.075,0.471,0.451,0.151,0.035,0.482,0.079,0.033,0.124,1.000
0.071,0.616,0.436,0.157,0.000,0.211,0.107,0.251,0.239,1.000
0.004,0.483,0.742,0.135,0.368,0.424,0.006,0.027,0.081,1.000
0.234,0.664,0.615,0.124,0.105,0.579,0.038,0.055,0.058,1.000
0.052,0.470,0.502,0.173,0.035,0.513,0.158,0.022,0.199,1.000
0.008,0.397,0.364,0.141,0.088,0.464,0.193,0.066,0.081,1.000
0.201,0.555,0.484,0.195,0.368,0.565,0.293,0.142,0.053,1.000
0.052,0.902,0.646,0.146,0.211,0.434,0.071,0.082,0.036,1.000
0.041,0.477,0.494,0.157,0.000,0.243,0.107,0.044,0.121,1.000
0.083,0.396,0.325,0.124,0.000,0.382,0.161,0.049,0.073,1.000
0.074,0.660,0.074,0.076,0.105,0.389,0.061,0.071,0.153,1.000
0.049,0.534,0.688,0.189,0.053,0.469,0.233,0.060,0.156,1.000
0.063,0.547,0.498,0.059,0.123,0.190,0.231,0.213,0.181,1.000
0.059,0.618,0.538,0.178,0.000,0.329,0.096,0.033,0.363,1.000
0.562,0.559,0.583,0.130,0.175,0.599,0.277,0.011,0.040,1.000
0.069,0.603,0.723,0.205,0.333,0.499,0.370,0.131,0.075,1.000
0.211,0.415,0.277,0.141,0.088,0.502,0.408,0.022,0.124,1.000
0.436,0.309,0.592,0.151,0.140,0.508,0.319,0.011,0.005,1.000
0.150,0.509,0.336,0.168,0.070,0.580,0.103,0.011,0.032,1.000
0.066,0.779,0.314,0.097,0.070,0.351,0.001,0.180,0.008,1.000
0.045,0.666,0.583,0.189,0.386,0.567,0.253,0.044,0.046,1.000
0.193,0.594,0.211,0.086,0.018,0.508,0.247,0.082,0.061,1.000
0.136,0.792,0.677,0.146,0.263,0.572,0.219,0.038,0.091,1.000
0.340,0.458,0.310,0.162,0.123,0.476,0.162,0.038,0.081,1.000
0.083,0.495,0.645,0.135,0.246,0.510,0.196,0.022,0.071,1.000
0.064,0.575,0.289,0.135,0.105,0.631,0.011,0.044,0.090,1.000
0.004,0.617,0.694,0.135,0.070,0.401,0.367,0.120,0.085,1.000
0.072,0.465,0.726,0.119,0.333,0.564,0.290,0.033,0.007,1.000
0.144,0.643,0.505,0.065,0.070,0.152,0.292,0.131,0.229,1.000
0.197,0.485,0.448,0.108,0.175,0.511,0.175,0.038,0.008,1.000
0.024,0.624,0.803,0.146,0.018,0.454,0.023,0.049,0.076,1.000
0.226,0.491,0.186,0.119,0.193,0.186,0.060,0.098,0.030,1.000
0.057,0.563,0.547,0.173,0.053,0.364,0.233,0.033,0.018,1.000
0.438,0.479,0.361,0.151,0.175,0.345,0.108,0.016,0.000,1.000
0.008,0.210,0.388,0.146,0.035,0.434,0.182,0.066,0.051,1.000
0.056,0.536,0.287,0.124,0.193,0.569,0.036,0.060,0.003,1.000
0.066,0.472,0.650,0.092,0.053,0.440,0.310,0.098,0.164,1.000
0.076,0.475,0.381,0.157,0.281,0.508,0.309,0.022,0.095,1.000
0.184,0.532,0.296,0.168,0.088,0.484,0.333,0.005,0.018,1.000
0.088,0.342,0.429,0.205,0.421,0.459,0.383,0.022,0.040,1.000
0.079,0.567,0.448,0.114,0.123,0.371,0.096,0.071,0.267,1.000
0.167,0.493,0.650,0.119,0.018,0.481,0.103,0.038,0.032,1.000
0.074,0.638,0.479,0.114,0.175,0.524,0.292,0.022,0.148,1.000
0.168,0.340,0.456,0.092,0.228,0.386,0.279,0.104,0.332,1.000
0.006,0.480,0.190,0.114,0.018,0.302,0.098,0.148,0.201,1.000
0.295,0.190,0.443,0.081,0.053,0.043,0.129,0.109,0.224,1.000
0.358,0.764,0.528,0.184,0.211,0.551,0.402,0.131,0.051,1.000
0.092,0.465,0.445,0.135,0.316,0.387,0.168,0.044,0.010,1.000
0.009,0.604,0.519,0.135,0.140,0.144,0.139,0.240,0.056,1.000
0.115,0.723,0.631,0.200,0.281,0.470,0.365,0.120,0.005,1.000
0.002,0.796,0.444,0.119,0.439,0.477,0.009,0.044,0.076,1.000
0.100,0.450,0.757,0.130,0.193,0.538,0.407,0.137,0.032,1.000
0.159,0.595,0.279,0.141,0.228,0.559,0.040,0.000,0.048,1.000
0.080,0.321,0.342,0.049,0.158,0.083,0.008,0.262,0.201,1.000
0.104,0.557,0.295,0.141,0.035,0.568,0.175,0.033,0.023,1.000
0.069,0.279,0.791,0.216,0.228,0.361,0.264,0.098,0.219,1.000
0.053,0.492,0.351,0.178,0.070,0.404,0.043,0.087,0.264,1.000
0.100,0.678,0.676,0.151,0.211,0.460,0.189,0.120,0.068,1.000
0.066,0.717,0.262,0.195,0.035,0.561,0.329,0.022,0.025,1.000
0.024,0.619,0.670,0.173,0.439,0.545,0.254,0.044,0.023,1.000
0.131,0.489,0.425,0.146,0.018,0.380,0.244,0.191,0.408,1.000
0.044,0.476,0.648,0.200,0.175,0.439,0.038,0.131,0.063,1.000
0.088,0.670,0.439,0.146,0.175,0.449,0.170,0.055,0.028,1.000
0.066,0.540,0.483,0.173,0.333,0.419,0.315,0.082,0.043,1.000
0.088,0.531,0.603,0.189,0.140,0.428,0.116,0.011,0.063,1.000
0.062,0.512,0.831,0.124,0.421,0.463,0.334,0.077,0.036,1.000
0.069,0.665,0.028,0.151,0.000,0.523,0.028,0.049,0.149,1.000
0.291,0.488,0.256,0.043,0.158,0.232,0.055,0.126,0.353,1.000
0.064,0.611,0.337,0.157,0.018,0.450,0.181,0.033,0.075,1.000
0.084,0.518,0.474,0.141,0.351,0.414,0.425,0.126,0.027,1.000
0.060,0.613,0.074,0.141,0.000,0.523,0.369,0.011,0.121,1.000
0.049,0.418,0.502,0.135,0.140,0.531,0.237,0.071,0.025,1.000
0.074,0.613,0.668,0.146,0.088,0.488,0.209,0.082,0.134,1.000
0.065,0.728,0.687,0.173,0.175,0.231,0.182,0.120,0.216,1.000
0.006,0.516,0.920,0.146,0.140,0.495,0.351,0.158,0.010,1.000
0.201,0.417,0.247,0.081,0.123,0.345,0.042,0.153,0.280,1.000
0.067,0.260,0.359,0.146,0.070,0.509,0.052,0.060,0.076,1.000
0.030,0.325,0.499,0.151,0.316,0.629,0.010,0.016,0.020,1.000
0.073,0.606,0.519,0.135,0.246,0.403,0.181,0.115,0.076,1.000
0.115,0.378,0.175,0.200,0.193,0.357,0.251,0.038,0.109,1.000
0.065,0.457,0.515,0.189,0.140,0.495,0.327,0.033,0.030,1.000
0.096,0.341,0.046,0.157,0.211,0.438,0.047,0.005,0.050,1.000
0.088,0.596,0.668,0.135,0.035,0.448,0.182,0.016,0.036,1.000
0.093,0.575,0.453,0.168,0.070,0.578,0.176,0.022,0.003,1.000
0.260,0.377,0.094,0.146,0.018,0.580,0.222,0.049,0.158,1.000
0.004,0.679,0.571,0.135,0.193,0.408,0.154,0.142,0.166,1.000
0.073,0.870,0.238,0.124,0.070,0.253,0.056,0.077,0.360,1.000
0.067,0.755,0.336,0.178,0.035,0.495,0.181,0.005,0.075,1.000
0.063,0.593,0.538,0.141,0.070,0.583,0.300,0.011,0.010,1.000
0.921,0.567,0.274,0.092,0.193,0.506,0.159,0.071,0.182,1.000
0.001,0.537,0.570,0.157,0.509,0.523,0.288,0.038,0.045,1.000
0.204,0.443,0.497,0.119,0.105,0.342,0.162,0.164,0.231,1.000
0.161,0.595,0.456,0.081,0.070,0.495,0.004,0.011,0.055,1.000
0.064,0.473,0.648,0.232,0.193,0.453,0.443,0.071,0.065,1.000
0.132,0.974,0.754,0.130,0.123,0.569,0.188,0.060,0.111,1.000
0.008,0.501,0.462,0.130,0.070,0.477,0.149,0.077,0.048,1.000
0.029,0.365,0.677,0.189,0.298,0.334,0.179,0.071,0.156,1.000
0.042,0.588,0.583,0.173,0.053,0.408,0.085,0.011,0.041,1.000
0.135,0.677,0.391,0.216,0.088,0.508,0.056,0.027,0.103,1.000
0.092,0.348,0.759,0.162,0.281,0.449,0.309,0.142,0.181,1.000
0.066,0.616,0.323,0.146,0.018,0.483,0.097,0.022,0.143,1.000
0.206,0.588,0.354,0.092,0.105,0.425,0.249,0.027,0.032,1.000
0.054,0.583,0.635,0.157,0.123,0.468,0.156,0.137,0.003,1.000
0.079,0.483,0.471,0.141,0.035,0.595,0.273,0.000,0.103,1.000
0.448,0.674,0.560,0.157,0.140,0.536,0.265,0.005,0.028,1.000
0.007,0.368,0.552,0.151,0.088,0.448,0.273,0.066,0.138,1.000
0.063,0.366,0.493,0.162,0.018,0.531,0.020,0.038,0.035,1.000
0.076,0.429,0.572,0.184,0.386,0.424,0.314,0.038,0.053,1.000
0.125,0.429,0.500,0.151,0.105,0.557,0.091,0.011,0.028,1.000
0.083,0.382,0.480,0.162,0.193,0.481,0.101,0.109,0.055,1.000
0.065,0.683,0.451,0.124,0.175,0.502,0.173,0.016,0.144,1.000
0.118,0.404,0.486,0.130,0.140,0.555,0.209,0.033,0.078,1.000
0.087,0.729,0.551,0.135,0.228,0.428,0.406,0.082,0.090,1.000
0.126,0.515,0.329,0.227,0.035,0.567,0.180,0.011,0.000,1.000
0.273,0.311,0.467,0.086,0.123,0.379,0.221,0.082,0.179,1.000
0.069,0.471,0.241,0.157,0.211,0.442,0.148,0.011,0.068,1.000
0.048,0.557,0.242,0.092,0.070,0.321,0.186,0.191,0.295,1.000
0.031,0.463,0.372,0.173,0.035,0.454,0.080,0.011,0.058,1.000
0.177,0.475,0.595,0.216,0.246,0.471,0.401,0.137,0.055,1.000
0.067,0.531,0.495,0.086,0.070,0.317,0.232,0.191,0.171,1.000
0.046,0.703,0.495,0.119,0.228,0.379,0.389,0.087,0.070,1.000
0.077,0.349,0.130,0.097,0.018,0.571,0.099,0.082,0.051,1.000
0.076,0.472,0.519,0.195,0.193,0.515,0.329,0.044,0.060,1.000
