bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac hoj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/M],t on 10/5 mM glu/lac [s],Lav O2 - Hoj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
,27832,R29379,932-029,15-04-2021 15:00,16-04-2021 08:54,Glu,8,9,1344,2.465,32.05,26.7,6.624,26.84,26.98,1167.53,25.084,60.25,31.796,105.541,184.696,33.872,Approved,22.45,2.04,13.1,40.35,40.27,334,9.1,-0.08,40,8.54,-0.05,0.02
,27935,R29428,932-029,17-04-2021 15:24,20-04-2021 08:58,Glu,3,14,4381,2.43,28.42,27.02,5.652,27.02,26.75,1163.15,23.681,60.759,29.876,126.649,195.25,33.893,Approved,25.05,2.09,10.1,40.17,38.87,599,5.8,-1.3,21,10.29,-0.21,0.04
,28392,R29703,932-029,04-05-2021 01:08,04-05-2021 18:38,Glu,1,10,832,2.424,31.21,27.83,5.461,27.7,26.52,1178.74,24.335,60.177,27.096,120.741,173.236,30.458,Approved,24.8,2.03,10.0,41.41,40.46,749,5.6,-0.95,21,8.06,-0.08,0.05
,28274,R29637,932-029,27-04-2021 20:18,28-04-2021 15:08,Glu,8,10,1701,2.282,32.1,25.76,5.972,28.86,26.06,1163.67,25.502,62.404,32.174,21.108,174.142,33.894,Approved,22.13,1.96,11.1,40.8,40.36,444,6.2,-0.44,31,7.59,-0.11,-0.04
,27462,R29171,932-029,31-03-2021 19:58,06-04-2021 07:10,Glu,8,9,6867,2.371,33.94,24.49,5.573,28.99,26.12,1178.13,23.951,67.81,28.534,120.741,209.984,30.308,Approved,26.18,2.09,10.3,40.01,39.17,981,5.7,-0.84,22,8.87,-0.05,0.03
,27664,R29247,932-029,07-04-2021 03:04,09-04-2021 00:44,Glu,3,7,1127,2.544,33.8,25.92,5.534,26.54,27.39,1150.29,20.146,60.19,30.205,131.386,204.962,29.44,Approved,21.82,2.06,10.4,40.57,39.85,379,5.3,-0.72,21,8.36,-0.01,0.05
,27986,R29461,932-029,20-04-2021 10:50,21-04-2021 07:38,Glu,3,15,1323,2.176,30.89,27.35,6.4,27.58,26.73,1176.68,22.049,59.271,29.228,100.227,211.005,29.102,Approved,21.72,2.06,10.6,40.44,40.19,531,6.2,-0.25,21,7.64,-0.22,-0.05
,27341,R29102,932-029,25-03-2021 12:22,26-03-2021 05:22,Glu,8,3,829,2.513,31.6,26.75,5.507,27.38,26.81,1163.97,21.931,61.495,25.855,120.741,194.235,28.409,Approved,25.05,1.96,9.2,39.37,37.86,319,7.0,-1.51,31,8.83,0.02,0.05
,27318,R29101,932-029,29-03-2021 21:46,30-03-2021 21:36,Glu,3,13,2320,2.544,34.78,24.92,5.853,26.25,26.49,1181.9,23.658,58.646,29.796,105.541,184.696,31.142,Approved,22.63,2.12,10.6,38.77,37.2,420,8.2,-1.57,32,8.9,-0.11,0.01
,27987,R29462,932-029,20-04-2021 21:44,22-04-2021 20:26,Glu,3,10,945,2.415,34.44,25.53,5.875,28.45,26.58,1168.73,23.899,59.012,27.491,115.491,194.235,30.391,Approved,22.87,1.93,10.1,40.54,39.86,562,5.6,-0.68,20,9.94,-0.47,-0.02
,27603,R29237,932-029,06-04-2021 22:52,07-04-2021 22:02,Glu,3,13,2778,2.606,33.33,26.31,6.075,26.84,26.96,1161.06,24.572,61.324,30.996,131.926,195.25,32.247,Approved,22.27,1.82,11.7,40.51,40.1,309,5.9,-0.41,32,10.32,-0.11,0.01
,27820,R29367,932-029,14-04-2021 05:58,15-04-2021 19:18,Glu,3,6,2663,2.052,33.65,25.78,6.328,28.39,26.51,1167.87,22.45,60.799,30.82,94.952,211.005,29.919,Approved,22.43,2.03,10.0,40.45,38.41,388,8.5,-2.04,31,10.27,-0.07,0.01
,27166,R29003,932-029,23-03-2021 23:24,24-03-2021 14:50,Glu,8,11,2096,2.354,30.35,26.12,5.942,27.53,26.59,1161.81,26.077,63.534,32.285,137.203,211.081,34.153,Approved,22.7,2.07,11.7,39.82,37.72,373,6.7,-2.1,32,11.84,0.09,0.12
,27458,R29167,932-029,30-03-2021 19:10,06-04-2021 18:24,Glu,2,9,1170,2.448,32.14,26.86,5.37,29.18,26.31,1176.52,24.556,68.192,28.558,120.741,199.484,30.345,Approved,22.42,2.05,11.0,40.81,40.22,784,6.0,-0.59,21,3.58,-0.07,0.05
,27305,R29088,932-029,29-03-2021 17:30,30-03-2021 18:44,Glu,3,1,824,2.571,31.13,27.35,5.721,30.3,25.62,1173.08,20.207,58.509,29.682,115.62,204.962,27.581,Approved,19.57,2.07,10.1,40.57,40.08,402,5.0,-0.49,21,8.75,-0.04,0.04
,27268,R29069,932-029,26-03-2021 16:20,30-03-2021 03:52,Glu,2,13,3808,2.534,28.07,26.96,5.866,27.44,26.43,1179.43,26.118,62.174,30.468,120.741,199.484,30.705,Approved,22.63,2.0,11.4,40.93,39.42,514,6.8,-1.51,20,10.33,-0.2,-0.1
,27985,R29460,932-029,20-04-2021 10:08,22-04-2021 08:16,Glu,3,16,1850,2.322,30.47,27.21,6.409,27.76,26.59,1167.82,21.639,58.138,30.946,110.364,173.43,29.379,Approved,19.25,2.02,11.1,41.45,40.92,295,6.5,-0.53,35,8.16,-0.07,-0.02
,27874,R29386,932-029,20-04-2021 20:56,22-04-2021 19:42,Glu,2,2,718,2.362,32.79,26.91,6.085,28.28,26.24,1171.78,22.903,61.914,31.947,10.55,211.005,30.488,Approved,21.83,1.96,9.8,40.63,39.5,515,5.3,-1.13,22,7.9,-0.14,-0.05
,27927,R29420,932-029,18-04-2021 10:02,20-04-2021 17:30,Glu,2,10,2443,2.329,29.34,26.72,5.608,28.64,26.24,1176.59,21.201,58.872,31.218,110.364,168.174,30.873,Approved,19.23,2.03,10.2,41.09,40.12,665,4.1,-0.97,21,10.55,-0.04,0.0
,28032,R29488,932-029,21-04-2021 23:32,22-04-2021 18:56,Glu,8,5,929,2.688,29.73,27.25,6.181,28.96,26.1,1159.21,21.297,56.08,29.329,105.503,211.005,29.094,Approved,22.2,1.89,10.0,41.1,40.71,407,5.3,-0.39,21,6.96,-0.76,-0.24
,28200,R29600,932-029,26-04-2021 16:16,28-04-2021 21:04,Glu,3,3,2210,2.51,33.53,26.59,5.567,28.18,26.59,1165.36,24.158,57.718,30.602,131.926,200.527,33.881,Approved,22.5,2.05,9.7,40.52,40.41,710,5.3,-0.11,21,6.99,-0.16,0.01
,27457,R29166,932-029,06-04-2021 00:28,07-04-2021 11:48,Glu,3,6,2267,2.599,30.62,25.78,5.438,28.7,26.38,1168.56,24.479,60.197,28.602,131.24,194.235,30.492,Approved,22.33,2.04,10.3,40.71,40.08,593,5.0,-0.63,21,12.05,-0.01,0.08
,28012,R29468,932-029,20-04-2021 18:00,21-04-2021 12:12,Glu,3,11,1153,2.216,33.08,26.88,6.223,28.15,26.24,1189.86,22.067,58.139,29.438,116.053,211.005,29.022,Approved,21.85,2.06,9.9,39.8,38.49,713,6.2,-1.31,21,9.05,-0.42,-0.01
,27691,R29274,932-029,08-04-2021 03:32,08-04-2021 21:08,Glu,3,7,1131,2.5,32.32,26.31,6.353,27.01,27.32,1181.45,21.693,59.867,31.493,141.897,199.707,30.959,Approved,22.43,1.96,11.4,41.2,40.45,501,5.9,-0.75,21,10.46,-0.02,0.09
,27870,R29382,932-029,17-04-2021 17:40,19-04-2021 19:38,Glu,3,3,2490,2.447,30.59,25.75,5.849,28.86,26.1,1162.88,23.337,61.083,33.613,105.109,157.663,30.686,Approved,22.42,2.07,11.6,40.22,39.88,595,5.9,-0.34,21,7.43,0.01,0.07
,27592,R29226,932-029,06-04-2021 13:56,07-04-2021 07:14,Glu,3,8,2511,2.348,32.71,26.43,5.896,27.56,26.58,1199.85,20.365,54.093,27.655,110.778,211.005,26.365,Approved,17.13,2.07,10.6,39.56,37.65,536,5.7,-1.91,22,10.28,-0.63,0.01
,27778,R29343,932-029,13-04-2021 01:36,13-04-2021 20:52,Glu,1,9,856,2.531,34.24,27.04,6.4,27.04,26.86,1179.44,25.248,59.872,29.832,99.742,178.486,32.936,Approved,25.47,2.07,10.6,41.92,40.28,672,8.0,-1.64,21,9.62,-0.56,-0.01
,28329,R29674,932-029,02-05-2021 08:40,03-05-2021 14:56,Glu,2,9,1391,2.802,30.79,25.39,5.865,28.23,26.43,1190.93,24.31,58.29,30.59,94.987,174.142,32.131,Approved,22.25,2.01,11.0,40.39,39.91,693,5.4,-0.48,21,9.61,-0.5,0.0
,27077,R28977,932-029,21-03-2021 08:24,22-03-2021 13:26,Glu,7,1,997,2.677,26.82,27.64,5.791,31.08,25.06,1173.61,22.439,70.848,26.706,115.491,178.486,28.802,Approved,22.22,2.04,10.5,41.49,41.13,494,5.6,-0.36,21,10.81,-0.19,-0.08
,27781,R29346,932-029,13-04-2021 17:28,14-04-2021 20:04,Glu,8,7,2406,2.399,34.79,25.78,6.09,27.46,26.95,1182.35,26.523,58.407,33.354,116.095,174.142,34.32,Approved,22.35,1.86,11.8,40.68,40.23,313,5.4,-0.45,31,8.99,-0.1,-0.06
,27019,R28943,932-029,18-03-2021 04:40,19-03-2021 08:06,Glu,3,1,870,2.553,30.96,27.35,6.044,29.76,25.99,1171.98,21.731,61.674,25.605,120.741,183.736,28.549,Approved,22.37,1.96,10.8,41.4,40.58,427,5.2,-0.82,22,11.0,-0.13,-0.03
,28224,R29623,932-029,27-04-2021 16:56,29-04-2021 15:14,Glu,1,14,1236,2.275,32.04,26.51,6.24,27.07,26.91,1178.66,24.559,60.012,34.119,121.328,211.005,32.766,Approved,22.67,2.05,10.2,40.38,39.81,653,6.9,-0.57,21,9.06,-0.1,-0.02
,28213,R29612,932-029,27-04-2021 03:16,29-04-2021 00:02,Glu,1,10,616,2.512,35.28,25.9,5.959,27.7,26.54,1172.84,27.083,61.772,31.399,141.739,199.484,33.843,Approved,18.85,2.07,10.2,40.73,39.6,883,6.0,-1.13,20,6.65,0.02,0.06
,27872,R29384,932-029,15-04-2021 19:32,16-04-2021 09:08,Glu,3,11,822,2.619,32.64,26.45,6.211,27.86,26.86,1154.86,25.817,64.978,29.862,78.744,178.486,32.926,Approved,22.48,1.94,10.7,41.0,40.71,314,6.3,-0.29,32,8.34,-0.23,-0.05
,27412,R29140,932-029,30-03-2021 08:48,01-04-2021 12:14,Glu,1,14,713,2.676,32.34,26.38,5.972,28.52,26.56,1167.35,23.673,59.841,28.507,141.739,209.984,28.615,Approved,22.77,2.03,11.6,40.82,40.32,222,5.1,-0.5,45,8.66,-0.35,-0.15
,27932,R29425,932-029,18-04-2021 07:46,20-04-2021 20:02,Glu,2,4,3708,2.566,28.47,26.89,6.046,27.9,26.03,1162.41,21.07,60.369,30.217,126.131,189.196,30.929,Approved,25.15,2.05,10.0,40.57,40.17,619,4.8,-0.4,21,9.83,-0.38,0.01
,28293,R29656,932-029,29-04-2021 04:42,29-04-2021 18:22,Glu,1,1,1418,2.49,34.98,25.64,6.581,31.31,24.69,1181.36,24.841,58.755,29.037,115.491,173.236,33.115,Approved,22.27,1.94,10.1,40.58,40.05,568,5.0,-0.53,21,8.32,-0.49,-0.06
,28451,R29744,932-029,04-05-2021 10:04,06-05-2021 08:50,Glu,8,8,905,2.473,34.32,27.14,5.903,28.17,26.42,1183.33,22.035,55.342,32.271,115.62,178.685,30.15,Approved,19.2,2.05,10.0,40.53,38.65,609,6.0,-1.88,21,10.43,-0.06,0.01
,27923,R29416,932-029,18-04-2021 14:20,19-04-2021 14:02,Glu,1,3,957,2.483,31.88,25.41,6.099,27.12,26.13,1163.36,21.531,59.006,31.231,99.853,168.174,30.401,Approved,22.43,2.18,11.1,38.97,37.56,627,7.4,-1.41,21,9.03,0.02,0.03
,27087,R28987,932-029,22-03-2021 14:50,23-03-2021 20:48,Glu,1,16,1513,2.515,27.11,28.64,5.877,27.22,26.72,1167.36,23.688,66.677,30.334,110.818,205.804,31.334,Approved,25.32,2.06,11.2,41.04,40.23,491,6.9,-0.81,21,9.9,-0.06,0.01
,27585,R29219,932-029,06-04-2021 08:42,07-04-2021 09:46,Glu,1,7,2571,2.428,31.63,26.54,6.108,27.04,26.81,1161.39,22.894,61.525,27.127,125.99,204.734,29.914,Approved,22.2,2.04,11.2,41.01,40.45,413,5.3,-0.56,21,12.09,-0.06,0.01
,27205,R29024,932-029,24-03-2021 15:54,25-03-2021 05:36,Glu,3,4,1532,2.316,30.77,26.77,5.777,28.28,26.24,1167.78,20.18,58.752,27.033,116.053,211.005,26.16,Approved,21.88,2.04,8.1,40.96,39.62,363,6.1,-1.34,21,8.1,-0.25,-0.06
,27760,R29325,932-029,13-04-2021 09:52,15-04-2021 14:34,Glu,8,5,1558,2.367,34.47,26.01,5.449,28.05,26.75,1176.48,24.063,60.004,28.379,131.24,204.734,31.214,Approved,22.45,1.99,9.6,41.19,40.96,639,4.5,-0.23,21,10.44,-0.2,0.01
,28324,R29669,932-029,02-05-2021 09:24,03-05-2021 17:16,Glu,8,11,1476,2.545,28.72,26.61,6.031,28.08,26.59,1175.03,24.238,59.616,28.308,104.992,178.486,29.697,Approved,22.75,2.04,10.8,40.22,40.1,504,5.6,-0.12,20,11.81,-0.02,0.04
,27366,R29127,932-029,30-03-2021 04:54,31-03-2021 04:48,Glu,2,8,2809,2.477,31.68,26.72,5.73,28.79,26.47,1166.32,22.168,58.518,28.467,121.372,195.25,29.464,Approved,21.15,2.09,12.0,41.55,41.01,273,5.8,-0.54,32,10.01,-0.08,0.01
,27768,R29333,932-029,13-04-2021 20:12,15-04-2021 13:00,Glu,4,6,1559,2.562,33.58,26.36,6.115,27.91,26.72,1166.39,25.923,63.522,30.475,0.0,204.734,32.241,Approved,22.63,2.06,10.3,39.89,38.13,331,7.2,-1.76,36,8.21,-0.07,0.0
,27318,R29101,932-029,29-03-2021 21:40,30-03-2021 21:28,Glu,1,1,2315,2.745,34.59,25.06,5.747,26.13,26.52,1171.64,22.907,60.081,29.305,94.987,189.973,31.293,Approved,22.78,2.03,10.9,40.44,40.16,554,5.0,-0.28,20,9.02,-0.07,0.01
,27168,R29005,932-029,24-03-2021 01:34,24-03-2021 15:40,Glu,1,9,2169,2.449,30.79,26.05,5.815,30.03,25.23,1167.56,22.141,63.363,31.632,120.875,210.218,30.329,Approved,21.97,2.09,8.6,41.12,40.37,494,5.9,-0.75,21,9.6,-0.23,-0.04
