time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1348.000,2.328,5.889,1.000,0.570,3.000,1.000,0.205,0.000,0.518,0.268,0.044,0.042
110.000,2.650,6.500,1.000,0.530,1.000,2.000,0.151,0.386,0.393,0.383,0.049,0.010
2516.000,2.534,5.805,1.000,0.590,3.000,1.000,0.124,0.281,0.583,0.219,0.027,0.005
1291.000,2.473,6.505,1.000,0.270,4.000,1.000,0.205,0.123,0.159,0.057,0.087,0.055
1754.000,2.560,6.612,1.000,0.530,1.000,1.000,0.178,0.123,0.482,0.253,0.016,0.023
2381.000,2.478,6.261,1.000,0.560,3.000,1.000,0.130,0.140,0.555,0.209,0.033,0.078
2084.000,2.590,6.016,1.000,0.570,3.000,3.000,0.108,0.035,0.364,0.499,0.077,0.284
4264.000,2.580,6.448,1.000,0.520,1.000,1.000,0.151,0.105,0.520,0.042,0.005,0.081
1884.000,2.699,6.256,1.000,0.460,1.000,1.000,0.157,0.105,0.453,0.052,0.098,0.113
1371.000,2.628,5.919,1.000,0.520,1.000,1.000,0.108,0.140,0.519,0.019,0.005,0.018
3302.000,2.522,5.579,1.000,0.570,3.000,1.000,0.141,0.070,0.573,0.023,0.011,0.042
3199.000,2.190,6.336,1.000,0.510,1.000,1.000,0.146,0.175,0.462,0.202,0.153,0.279
1806.000,2.580,5.332,1.000,0.370,4.000,4.000,0.130,0.211,0.177,0.159,0.180,0.219
2681.000,2.497,6.115,1.000,0.490,1.000,1.000,0.205,0.035,0.473,0.026,0.104,0.118
1897.000,2.714,6.117,1.000,0.700,2.000,1.000,0.205,0.211,0.613,0.380,0.000,0.071
727.000,2.452,6.242,1.000,0.420,4.000,1.000,0.162,0.105,0.408,0.144,0.000,0.025
1368.000,2.877,6.585,1.000,0.610,3.000,1.000,0.249,0.000,0.588,0.212,0.044,0.070
1669.000,2.812,6.777,1.000,0.330,4.000,1.000,0.135,0.140,0.289,0.144,0.087,0.045
11307.000,2.731,6.315,1.000,0.590,3.000,1.000,0.157,0.211,0.585,0.147,0.011,0.068
1656.000,2.866,6.449,1.000,0.480,1.000,1.000,0.141,0.088,0.443,0.212,0.098,0.005
2734.000,2.609,6.651,1.000,0.660,2.000,1.000,0.151,0.088,0.547,0.415,0.000,0.053
1855.000,2.419,6.867,1.000,0.540,1.000,1.000,0.162,0.281,0.449,0.309,0.142,0.181
5463.000,2.684,5.986,1.000,0.520,1.000,1.000,0.151,0.140,0.511,0.184,0.049,0.043
1149.000,2.411,6.581,1.000,0.610,3.000,1.000,0.151,0.175,0.552,0.312,0.005,0.085
156.000,2.458,5.823,1.000,0.600,3.000,1.000,0.081,0.175,0.595,0.106,0.011,0.002
1432.000,2.289,5.892,1.000,0.700,2.000,2.000,0.151,0.386,0.571,0.467,0.000,0.108
1210.000,2.507,5.784,1.000,0.550,3.000,1.000,0.162,0.140,0.548,0.031,0.049,0.065
1389.000,2.418,6.107,1.000,0.570,3.000,2.000,0.157,0.368,0.482,0.332,0.000,0.065
1336.000,2.810,5.763,1.000,0.630,3.000,1.000,0.195,0.035,0.561,0.329,0.022,0.025
2936.000,2.632,5.988,1.000,0.550,3.000,1.000,0.173,0.158,0.478,0.291,0.022,0.076
1798.000,2.778,6.251,1.000,0.430,4.000,1.000,0.151,0.018,0.384,0.176,0.104,0.284
18574.000,2.692,5.743,1.000,0.650,3.000,1.000,0.086,0.281,0.651,0.102,0.022,0.058
1496.000,2.789,6.512,1.000,0.520,1.000,1.000,0.141,0.018,0.516,0.069,0.071,0.045
1020.000,2.611,5.764,1.000,0.520,1.000,1.000,0.157,0.211,0.516,0.014,0.033,0.075
1572.000,2.573,6.711,1.000,0.520,1.000,1.000,0.119,0.140,0.446,0.297,0.120,0.106
4217.000,2.589,7.114,1.000,0.510,1.000,1.000,0.195,0.158,0.418,0.260,0.230,0.027
1406.000,2.666,5.930,1.000,0.500,1.000,1.000,0.178,0.281,0.473,0.203,0.000,0.056
455.000,2.638,5.648,1.000,0.350,4.000,1.000,0.081,0.158,0.333,0.029,0.164,0.211
1313.000,2.285,6.293,1.000,0.370,4.000,4.000,0.130,0.140,0.214,0.251,0.131,0.183
1382.000,2.689,6.788,1.000,0.610,3.000,2.000,0.205,0.333,0.499,0.370,0.131,0.075
3113.000,2.695,6.089,1.000,0.550,3.000,1.000,0.168,0.035,0.544,0.006,0.044,0.078
1461.000,2.517,5.968,1.000,0.550,3.000,1.000,0.114,0.070,0.544,0.017,0.022,0.032
6858.000,2.676,6.209,1.000,0.500,1.000,1.000,0.157,0.070,0.494,0.163,0.005,0.020
1423.000,2.707,6.004,1.000,0.350,4.000,1.000,0.086,0.140,0.350,0.079,0.164,0.123
1910.000,2.323,5.389,1.000,0.620,3.000,1.000,0.162,0.053,0.553,0.334,0.027,0.095
60.000,2.716,5.793,1.000,0.340,4.000,1.000,0.086,0.018,0.293,0.140,0.071,0.291
7170.000,2.510,6.281,1.000,0.540,1.000,1.000,0.200,0.000,0.466,0.295,0.005,0.020
1399.000,2.899,6.376,1.000,0.580,3.000,2.000,0.135,0.456,0.469,0.374,0.082,0.096
2788.000,2.901,6.270,1.000,0.700,2.000,2.000,0.124,0.351,0.616,0.398,0.000,0.022
1623.000,2.687,5.384,1.000,0.470,1.000,1.000,0.146,0.070,0.462,0.088,0.038,0.168
1294.000,2.698,5.930,1.000,0.470,1.000,1.000,0.157,0.018,0.450,0.181,0.033,0.075
1275.000,2.612,5.766,1.000,0.530,1.000,1.000,0.195,0.211,0.524,0.165,0.049,0.078
9106.000,2.471,6.103,1.000,0.330,4.000,1.000,0.178,0.035,0.294,0.114,0.066,0.146
5766.000,2.541,5.928,1.000,0.520,1.000,1.000,0.086,0.070,0.517,0.143,0.011,0.030
4509.000,2.637,6.221,1.000,0.610,3.000,1.000,0.130,0.035,0.609,0.159,0.000,0.037
1266.000,2.772,6.896,1.000,0.560,3.000,1.000,0.146,0.035,0.557,0.171,0.011,0.020
101.000,2.424,5.800,1.000,0.450,1.000,1.000,0.151,0.140,0.428,0.166,0.011,0.023
1443.000,2.638,6.027,1.000,0.540,1.000,1.000,0.173,0.140,0.531,0.140,0.044,0.015
44.000,2.777,6.547,1.000,0.630,3.000,1.000,0.168,0.263,0.609,0.265,0.016,0.032
4607.000,2.538,6.229,1.000,0.440,1.000,1.000,0.130,0.070,0.401,0.208,0.066,0.080
1315.000,2.793,6.607,1.000,0.330,4.000,1.000,0.189,0.035,0.231,0.135,0.191,0.050
1303.000,2.774,6.183,1.000,0.510,1.000,1.000,0.124,0.175,0.502,0.173,0.016,0.145
396.000,2.850,6.131,1.000,0.460,1.000,1.000,0.146,0.053,0.459,0.027,0.087,0.101
154.000,2.409,6.065,1.000,0.380,4.000,0.000,0.130,0.088,0.124,0.140,0.022,0.336
1453.000,2.610,6.639,1.000,0.480,1.000,1.000,0.205,0.140,0.418,0.240,0.049,0.033
5717.000,2.597,6.585,1.000,0.610,3.000,1.000,0.227,0.018,0.558,0.276,0.005,0.003
1907.000,2.760,6.603,1.000,0.580,3.000,1.000,0.205,0.140,0.567,0.084,0.158,0.035
1336.000,2.816,6.064,1.000,0.530,1.000,1.000,0.146,0.246,0.527,0.165,0.016,0.008
4425.000,2.617,5.809,1.000,0.500,1.000,1.000,0.189,0.105,0.468,0.196,0.044,0.076
10407.000,2.646,6.366,1.000,0.500,1.000,0.000,0.184,0.000,0.272,0.228,0.109,0.422
851.000,2.623,6.566,1.000,0.590,3.000,2.000,0.124,0.246,0.459,0.413,0.049,0.065
1169.000,2.395,6.033,1.000,0.580,3.000,3.000,0.168,0.263,0.415,0.441,0.011,0.143
1298.000,2.602,6.283,1.000,0.600,3.000,2.000,0.200,0.404,0.551,0.270,0.044,0.008
4489.000,2.723,6.300,1.000,0.630,3.000,2.000,0.135,0.561,0.504,0.399,0.093,0.085
1347.000,2.828,6.904,1.000,0.500,1.000,1.000,0.124,0.088,0.492,0.180,0.109,0.066
39.000,2.654,6.466,1.000,0.550,3.000,1.000,0.157,0.053,0.547,0.051,0.005,0.027
6138.000,2.553,5.373,1.000,0.630,3.000,1.000,0.070,0.123,0.634,0.119,0.038,0.023
1872.000,2.776,6.835,1.000,0.510,1.000,1.000,0.124,0.175,0.373,0.378,0.098,0.032
3076.000,2.345,6.906,1.000,0.610,3.000,1.000,0.184,0.193,0.573,0.274,0.033,0.073
2906.000,2.858,6.342,1.000,0.590,3.000,1.000,0.178,0.105,0.541,0.281,0.104,0.058
1740.000,2.620,6.310,1.000,0.560,3.000,1.000,0.124,0.316,0.543,0.237,0.038,0.086
1875.000,2.671,6.236,1.000,0.590,3.000,1.000,0.135,0.333,0.557,0.256,0.055,0.002
3535.000,2.666,6.488,1.000,0.500,1.000,1.000,0.151,0.088,0.502,0.075,0.022,0.005
72.000,2.562,6.829,1.000,0.430,4.000,1.000,0.135,0.368,0.424,0.006,0.027,0.081
1114.000,2.507,5.788,1.000,0.490,1.000,1.000,0.135,0.035,0.487,0.128,0.016,0.017
1393.000,2.699,5.862,1.000,0.550,3.000,1.000,0.141,0.053,0.550,0.078,0.011,0.042
550.000,2.710,6.356,1.000,0.550,3.000,1.000,0.157,0.105,0.426,0.369,0.109,0.063
1477.000,2.459,6.505,1.000,0.470,1.000,1.000,0.124,0.105,0.469,0.138,0.126,0.179
154.000,3.101,5.848,1.000,0.560,3.000,1.000,0.173,0.018,0.561,0.159,0.005,0.071
1067.000,2.820,6.932,1.000,0.620,3.000,2.000,0.108,0.228,0.422,0.463,0.251,0.096
2361.000,2.620,6.359,1.000,0.500,1.000,1.000,0.119,0.105,0.489,0.185,0.027,0.118
1316.000,2.662,6.298,1.000,0.570,3.000,2.000,0.141,0.368,0.418,0.431,0.066,0.051
3228.000,2.646,5.811,1.000,0.530,1.000,1.000,0.146,0.211,0.520,0.180,0.005,0.025
1409.000,2.630,6.003,1.000,0.650,3.000,1.000,0.146,0.088,0.652,0.101,0.016,0.053
1498.000,2.125,5.248,1.000,0.670,2.000,2.000,0.151,0.579,0.597,0.301,0.060,0.226
14494.000,2.507,6.490,1.000,0.530,1.000,3.000,0.146,0.105,0.324,0.432,0.115,0.012
2019.000,2.718,6.654,1.000,0.510,1.000,1.000,0.200,0.175,0.491,0.124,0.055,0.090
4280.000,2.601,6.613,1.000,0.570,3.000,1.000,0.162,0.368,0.541,0.242,0.016,0.043
1027.000,2.711,6.202,1.000,0.530,1.000,1.000,0.124,0.175,0.413,0.367,0.038,0.088
1707.000,2.443,6.806,1.000,0.540,1.000,2.000,0.168,0.474,0.503,0.221,0.033,0.020
2368.000,2.470,6.566,1.000,0.530,1.000,1.000,0.162,0.298,0.470,0.261,0.115,0.018
1355.000,2.680,6.237,1.000,0.620,3.000,1.000,0.130,0.175,0.592,0.284,0.005,0.060
4193.000,2.381,5.761,1.000,0.490,1.000,1.000,0.146,0.088,0.491,0.045,0.016,0.060
1587.000,2.600,6.087,1.000,0.480,1.000,1.000,0.168,0.316,0.473,0.112,0.055,0.045
3161.000,2.671,7.292,1.000,0.540,1.000,2.000,0.146,0.316,0.413,0.378,0.098,0.007
3044.000,2.590,6.528,1.000,0.510,1.000,1.000,0.151,0.105,0.478,0.232,0.011,0.008
5395.000,2.684,5.672,1.000,0.350,4.000,1.000,0.119,0.105,0.345,0.093,0.022,0.017
1411.000,2.747,6.472,1.000,0.630,3.000,1.000,0.162,0.263,0.607,0.273,0.011,0.037
987.000,2.800,6.902,1.000,0.680,2.000,2.000,0.227,0.351,0.645,0.268,0.060,0.005
1170.000,2.570,6.292,1.000,0.560,3.000,1.000,0.232,0.123,0.496,0.265,0.011,0.038
1308.000,2.239,6.402,1.000,0.520,1.000,1.000,0.151,0.018,0.513,0.145,0.044,0.060
1881.000,2.558,6.612,1.000,0.490,1.000,1.000,0.157,0.105,0.459,0.217,0.098,0.023
2830.000,2.639,6.283,1.000,0.600,3.000,1.000,0.151,0.175,0.559,0.284,0.005,0.015
1357.000,2.547,6.372,1.000,0.450,1.000,1.000,0.168,0.316,0.429,0.015,0.153,0.183
411.000,2.735,6.534,1.000,0.560,3.000,1.000,0.146,0.158,0.548,0.205,0.022,0.047
6130.000,2.422,6.024,1.000,0.470,1.000,1.000,0.168,0.088,0.462,0.151,0.011,0.130
982.000,2.563,6.259,1.000,0.560,3.000,1.000,0.135,0.246,0.548,0.208,0.016,0.000
1214.000,2.434,5.954,1.000,0.380,4.000,0.000,0.141,0.053,0.191,0.198,0.055,0.312
2623.000,2.738,6.930,1.000,0.660,2.000,2.000,0.205,0.281,0.494,0.468,0.087,0.056
2571.000,2.771,6.102,1.000,0.460,1.000,1.000,0.130,0.035,0.459,0.143,0.044,0.045
2577.000,2.476,6.312,1.000,0.570,3.000,1.000,0.108,0.158,0.513,0.310,0.049,0.047
3395.000,2.410,6.193,1.000,0.470,1.000,1.000,0.092,0.228,0.386,0.279,0.104,0.332
1286.000,2.569,6.176,1.000,0.400,4.000,1.000,0.135,0.105,0.390,0.099,0.066,0.161
2768.000,2.824,6.403,1.000,0.430,4.000,1.000,0.103,0.070,0.428,0.124,0.087,0.115
1159.000,2.434,6.247,1.000,0.460,1.000,1.000,0.157,0.158,0.449,0.077,0.027,0.022
1472.000,2.644,6.484,1.000,0.570,3.000,1.000,0.162,0.123,0.494,0.325,0.044,0.116
3168.000,2.605,5.571,1.000,0.510,1.000,1.000,0.162,0.158,0.478,0.216,0.044,0.045
1370.000,2.717,6.319,1.000,0.550,3.000,1.000,0.249,0.053,0.433,0.329,0.022,0.027
1344.000,2.850,5.927,1.000,0.510,1.000,1.000,0.178,0.035,0.495,0.181,0.005,0.075
1405.000,2.606,5.495,1.000,0.490,1.000,1.000,0.162,0.140,0.489,0.042,0.060,0.071
24.000,2.567,6.458,1.000,0.600,3.000,1.000,0.086,0.035,0.550,0.315,0.038,0.023
1726.000,2.560,5.744,1.000,0.650,3.000,1.000,0.168,0.140,0.631,0.256,0.016,0.050
1662.000,2.763,6.406,1.000,0.390,4.000,1.000,0.103,0.035,0.389,0.075,0.175,0.051
411.000,2.514,6.526,1.000,0.400,4.000,1.000,0.114,0.140,0.394,0.082,0.066,0.163
84.000,2.410,6.741,1.000,0.630,3.000,1.000,0.222,0.140,0.510,0.384,0.142,0.013
1606.000,2.480,6.308,1.000,0.600,3.000,1.000,0.135,0.105,0.503,0.372,0.033,0.005
127.000,2.520,5.826,1.000,0.510,1.000,1.000,0.168,0.088,0.506,0.105,0.016,0.098
5264.000,2.604,5.358,1.000,0.560,3.000,1.000,0.135,0.018,0.562,0.130,0.016,0.023
1127.000,2.618,5.818,1.000,0.570,3.000,1.000,0.124,0.193,0.569,0.036,0.060,0.003
1994.000,2.540,5.776,1.000,0.500,1.000,1.000,0.135,0.298,0.468,0.221,0.087,0.012
2949.000,2.708,6.344,1.000,0.630,3.000,1.000,0.162,0.158,0.583,0.295,0.005,0.038
2838.000,2.631,5.858,1.000,0.470,1.000,1.000,0.059,0.018,0.417,0.268,0.027,0.013
2829.000,2.548,5.635,1.000,0.540,1.000,1.000,0.173,0.070,0.534,0.173,0.044,0.030
20152.000,2.229,5.781,1.000,0.550,3.000,1.000,0.173,0.298,0.548,0.003,0.011,0.035
9687.000,2.554,6.577,1.000,0.470,1.000,1.000,0.086,0.053,0.463,0.184,0.016,0.032
1236.000,2.901,6.590,1.000,0.610,3.000,1.000,0.157,0.211,0.525,0.343,0.066,0.186
3413.000,2.346,6.256,1.000,0.350,4.000,1.000,0.200,0.035,0.303,0.154,0.022,0.056
1516.000,2.605,6.731,1.000,0.600,3.000,1.000,0.173,0.105,0.483,0.380,0.022,0.015
1293.000,2.633,6.618,1.000,0.640,3.000,2.000,0.168,0.404,0.588,0.310,0.016,0.045
211.000,2.870,6.289,1.000,0.580,3.000,2.000,0.168,0.333,0.520,0.297,0.098,0.012
1381.000,2.671,6.193,1.000,0.620,3.000,1.000,0.157,0.175,0.536,0.358,0.027,0.096
1380.000,2.812,6.413,1.000,0.420,4.000,1.000,0.135,0.018,0.413,0.028,0.164,0.169
1312.000,2.822,6.708,1.000,0.370,4.000,1.000,0.173,0.175,0.231,0.182,0.120,0.216
1426.000,2.664,6.488,1.000,0.440,1.000,0.000,0.130,0.193,0.285,0.258,0.153,0.311
9654.000,2.537,5.671,1.000,0.560,3.000,1.000,0.135,0.070,0.554,0.105,0.038,0.037
389.000,2.475,6.587,1.000,0.570,3.000,1.000,0.232,0.140,0.544,0.208,0.049,0.085
1915.000,2.402,6.080,1.000,0.580,3.000,1.000,0.162,0.123,0.578,0.195,0.033,0.042
987.000,2.610,6.632,1.000,0.650,3.000,2.000,0.151,0.298,0.581,0.348,0.060,0.066
3122.000,2.465,5.986,1.000,0.430,4.000,1.000,0.130,0.088,0.428,0.050,0.077,0.073
1241.000,2.615,6.740,1.000,0.550,3.000,2.000,0.200,0.456,0.537,0.142,0.104,0.055
3561.000,2.489,5.909,1.000,0.450,1.000,4.000,0.173,0.018,0.247,0.293,0.202,0.090
3198.000,2.681,5.800,1.000,0.560,3.000,1.000,0.141,0.228,0.559,0.040,0.000,0.048
3190.000,2.706,6.587,1.000,0.630,3.000,1.000,0.157,0.175,0.562,0.342,0.005,0.051
5385.000,2.610,5.992,1.000,0.540,1.000,1.000,0.227,0.140,0.425,0.333,0.016,0.020
154.000,2.633,6.184,1.000,0.620,3.000,2.000,0.205,0.579,0.532,0.327,0.027,0.055
535.000,2.648,6.036,1.000,0.600,3.000,1.000,0.249,0.088,0.548,0.258,0.055,0.070
3994.000,2.450,6.477,1.000,0.590,3.000,1.000,0.151,0.070,0.589,0.015,0.049,0.005
7241.000,2.590,5.732,1.000,0.420,4.000,0.000,0.097,0.070,0.079,0.310,0.131,0.331
2295.000,2.687,6.280,1.000,0.500,1.000,1.000,0.200,0.070,0.449,0.235,0.027,0.045
1137.000,2.696,5.574,1.000,0.410,4.000,0.000,0.141,0.175,0.231,0.260,0.060,0.306
