bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2
,26193,R28444,932-029,18-02-2021 23:02,Glu,3,7,619,2.463,29.38,27.04,5.789,Failed,1.47,0.05,0.9,3.04,550,1.5,2.35
,26246,R28482,932-029,18-02-2021 22:00,Glu,3,8,498,2.178,31.01,25.5,5.605,Failed,2.8,0.08,0.7,3.7,663,0,1.12
,26207,R28458,932-029,18-02-2021 14:34,Glu,2,7,631,2.473,31.51,25.85,6.018,Failed,1.83,0.07,0.7,3.72,496,1.8,2.36
,26232,R28468,932-029,18-02-2021 13:02,Glu,2,8,568,2.529,31.18,26.59,6.123,Failed,2.8,0.11,0.3,2.03,491,1.7,2.38
,26232,R28468,932-029,18-02-2021 12:58,Glu,1,10,570,2.607,31.36,26.56,5.503,Failed,2.9,0.08,0.1,3.96,840,1.1,2.24
,26210,R28461,932-029,18-02-2021 12:24,Glu,2,3,670,2.265,30.49,26.59,5.933,Failed,3.58,0.1,0.8,2.75,551,1,1.98
,26210,R28461,932-029,18-02-2021 12:20,Glu,1,9,671,2.423,30.32,26.59,5.949,Failed,3.65,0.03,1.1,1.16,533,1.2,2.68
,26194,R28445,932-029,18-02-2021 11:38,Glu,2,11,700,2.63,30.96,26.45,5.277,Failed,1.03,0.03,1.1,3.81,648,0.7,2.36
,26194,R28445,932-029,18-02-2021 11:34,Glu,1,2,702,2.587,30.81,26.38,5.512,Failed,1.1,0.08,0.9,3.67,469,0.7,1.37
,26230,R28466,932-029,18-02-2021 10:14,Glu,8,2,619,2.515,30.76,25.8,6.865,Failed,6.77,0.2,1.7,4.16,139,8.9,2.74
,26175,R28426,932-029,18-02-2021 09:48,Glu,8,7,1066,2.681,31.33,25.38,5.689,Failed,2.87,0.08,0.8,3.3,570,1.5,2.13
,26175,R28426,932-029,18-02-2021 09:32,Glu,3,8,1085,2.578,31.56,25.69,5.762,Failed,2.93,0.11,0.1,3.61,475,0.7,1.59
,26175,R28426,932-029,18-02-2021 09:30,Glu,2,8,1086,2.699,31.23,25.76,5.561,Failed,2.97,0.06,0.7,3.45,555,0.3,1.79
,26175,R28426,932-029,18-02-2021 09:26,Glu,1,16,1073,2.684,30.17,26.01,5.876,Failed,2.8,0,0.3,1.76,570,1.4,2.94
,26185,R28436,932-029,18-02-2021 07:30,Glu,2,11,886,2.622,28.5,27.25,5.588,Failed,1.58,0,0.8,1.73,542,2,2.93
,26191,R28442,932-029,18-02-2021 07:08,Glu,3,9,614,2.334,27.88,27.25,5.777,Failed,1.65,0.04,0.8,2.18,714,1.7,4.17
,26199,R28450,932-029,17-02-2021 23:54,Glu,2,13,1700,1.998,28.86,27.35,6.24,Failed,1.08,0.12,0.8,4.32,568,1.8,2.19
,26199,R28450,932-029,17-02-2021 23:52,Glu,1,6,1703,2.001,28.92,27.32,5.647,Failed,1.12,0.09,0.8,3.9,461,1.7,1.61
,26237,R28473,932-029,17-02-2021 12:38,Glu,1,8,794,1.882,30.02,26.66,5.456,Failed,2.78,1.5,0.6,13.91,2695,1,5.59
,26239,R28475,932-029,17-02-2021 11:14,Glu,8,4,1266,1.724,29.06,27.28,5.934,Failed,1.87,0.07,1.4,1.6,701,8.2,5.81
,26172,R28423,932-029,17-02-2021 01:22,Glu,1,4,1579,2.429,29.14,27.56,6.442,Failed,3.67,0.02,1,0.96,131,5.9,4.71
,26131,R28397,932-029,16-02-2021 23:38,Glu,1,15,859,2.548,28.89,27.04,6.874,Failed,2.03,0.13,1.8,3.53,223,8.6,0.12
,26160,R28411,932-029,16-02-2021 23:12,Glu,1,5,1429,2.395,29.75,26.54,6.851,Failed,0.17,0.24,1.4,3.21,252,8.6,0.83
,26181,R28432,932-029,16-02-2021 22:44,Glu,8,4,2785,2.39,29.87,25.9,6.064,Failed,0.08,0.13,0.8,2.23,456,1.2,2.17
,26179,R28430,932-029,16-02-2021 13:46,Glu,3,13,1970,1.925,28.45,27.42,5.694,Failed,7.27,0.18,0,0.35,411,2.4,4.21
,26180,R28431,932-029,16-02-2021 13:12,Glu,1,14,1439,2.351,29.85,27,6.012,Failed,2.02,0.11,0.1,4.54,494,0.9,0.16
,26176,R28427,932-029,16-02-2021 11:40,Glu,8,7,1404,2.249,33.11,25,5.716,Failed,4.67,0.42,0.6,5.03,949,1.2,2.55
,26126,R28392,932-029,16-02-2021 08:28,Glu,3,8,1037,2.686,32.32,25.04,6.512,Failed,1.43,0.02,0.9,2.02,554,2.8,4.42
,26126,R28392,932-029,16-02-2021 08:24,Glu,2,15,1037,2.593,32.32,25.09,5.604,Failed,1.53,0.1,0,4.93,453,0,1.39
,26158,R28409,932-029,13-02-2021 04:26,Glu,8,11,1915,2.55,29.6,26.47,5.617,Failed,1.57,0.08,0.3,3.25,482,2,0.97
,26094,R28360,932-029,13-02-2021 03:36,Glu,2,4,2865,2.331,28.79,26.51,6.005,Failed,1.55,0.01,0.4,4.39,473,0.9,0.85
,26132,R28398,932-029,13-02-2021 03:06,Glu,8,1,3580,2.543,27.73,27.79,6.99,Failed,2.87,0.1,0.5,2.54,137,6.7,3.18
,26141,R28407,932-029,13-02-2021 01:30,Glu,3,11,2737,2.366,28.17,26.89,7.359,Failed,1.45,0.29,1,4.18,411,2.9,0.18
,26123,R28389,932-029,13-02-2021 00:38,Glu,2,14,4487,2.657,29.83,26.08,7.08,Failed,2.05,0.07,0.3,2.73,112,10.7,0.9
,26123,R28389,932-029,13-02-2021 00:34,Glu,1,5,4489,2.527,29.7,25.99,6.888,Failed,2.02,0.04,0.1,1.01,80,8.4,2.28
,26115,R28381,932-029,12-02-2021 16:24,Glu,2,9,3970,2.333,29.18,26.31,5.699,Failed,4.53,0.16,0,4.43,443,0.2,0.13
,26119,R28385,932-029,12-02-2021 15:26,Glu,3,12,4582,2.005,31.3,25.64,5.506,Failed,1.87,0.01,0.3,1.62,1273,0.4,2.88
,26120,R28386,932-029,12-02-2021 15:02,Glu,3,12,3409,2.179,29.28,26.61,5.577,Failed,1.7,0.18,0.3,4.11,440,1.3,0.09
,26130,R28396,932-029,12-02-2021 14:34,Glu,8,5,1961,2.189,29.19,26.43,5.709,Failed,1.62,0.07,0.6,1.87,416,1.6,1.21
,26130,R28396,932-029,12-02-2021 14:14,Glu,1,12,1961,2.27,30.17,25.96,7.028,Failed,1.77,0.06,1,3.29,247,7.6,0.7
,26104,R28370,932-029,12-02-2021 01:00,Glu,1,3,3619,2.396,29.58,27.14,5.774,Failed,1.57,0.06,0.7,4.17,474,0.3,1.08
,26109,R28375,932-029,11-02-2021 23:32,Glu,8,11,4684,1.934,29.13,27.39,5.489,Failed,0.43,0.13,0,4.71,412,0.1,0.41
,26109,R28375,932-029,11-02-2021 23:16,Glu,3,13,4690,2.015,29.87,26.84,5.858,Failed,0.52,0.07,1.5,4.37,509,2.5,1.79
,26098,R28364,932-029,11-02-2021 22:50,Glu,3,10,4291,2.044,28.74,26.82,5.449,Failed,0.4,0.12,0.1,5.55,576,0.4,0.19
,26098,R28364,932-029,11-02-2021 22:44,Glu,1,10,4292,1.947,28.94,26.72,5.362,Failed,0.32,0.1,0.1,4.48,456,0.1,0.25
,26113,R28379,932-029,11-02-2021 21:58,Glu,3,2,4500,1.831,31.09,25.73,5.537,Failed,1.92,0.13,0.4,4.12,769,1,1.02
,26113,R28379,932-029,11-02-2021 21:56,Glu,2,5,4502,1.904,31.06,25.68,5.2,Failed,1.85,0.12,0.3,3.71,513,0,0.93
,26113,R28379,932-029,11-02-2021 21:52,Glu,1,14,4504,2.019,30.87,25.57,5.508,Failed,1.83,0.13,0.4,3.69,403,0.2,0.25
,26096,R28362,932-029,11-02-2021 14:50,Glu,8,8,3913,2.361,28.54,27.71,5.29,Failed,1.57,0.13,0.3,4.5,407,0.3,0.39
,26062,R28354,932-029,11-02-2021 13:26,Glu,2,7,915,2.518,28.12,28.41,5.92,Failed,1.28,0.12,1.2,1.97,571,0.6,1.76
,26093,R28359,932-029,11-02-2021 12:40,Glu,1,12,665,2.595,28.86,27.71,5.556,Failed,1.55,0.17,0.4,3.89,447,1.9,0.13
,26110,R28376,932-029,11-02-2021 11:42,Glu,8,1,3377,1.711,31.46,26.13,5.621,Failed,1.35,0.12,0.6,4.96,620,0.2,1.05
,26063,R28355,932-029,11-02-2021 08:14,Glu,3,12,751,2.484,29.95,27.05,5.707,Failed,1.55,0.15,1.2,3.69,411,1.6,0.78
,26103,R28369,932-029,11-02-2021 07:44,Glu,3,5,816,2.404,29.75,26.52,6.24,Failed,1.6,0.13,0.7,1.75,330,6.5,7.49
,26097,R28363,932-029,11-02-2021 07:10,Glu,2,4,4778,2.428,30.98,25.83,6.099,Failed,1.68,0.04,0.4,3.82,499,1.8,1.36
,26097,R28363,932-029,11-02-2021 07:04,Glu,1,3,4780,2.453,31.23,25.69,6.537,Failed,1.8,0.04,1,3.83,861,2.9,3.78
,26056,R28348,932-029,11-02-2021 02:08,Glu,8,14,642,2.43,33.2,25.18,5.967,Failed,1.45,0.14,1.6,3.13,424,1.2,0.85
,26056,R28348,932-029,11-02-2021 01:46,Glu,2,4,649,2.224,32.62,25.41,6.044,Failed,1.53,0.17,0.8,3.09,452,4.7,0
,26049,R28341,932-029,11-02-2021 00:58,Glu,3,16,3462,2.396,31.08,26.36,5.74,Failed,1.43,0.33,1.9,6.61,777,1.5,4.22
,26048,R28340,932-029,11-02-2021 00:48,Glu,8,10,703,2.409,30.82,26.43,5.947,Failed,1.57,0.08,1.9,1.2,315,2,1.95
,26048,R28340,932-029,11-02-2021 00:26,Glu,1,11,690,2.436,31.53,26.1,5.662,Failed,1.53,0.15,1.4,3.07,401,1,0.54
,26064,R28356,932-029,10-02-2021 23:34,Glu,3,5,721,2.331,32.88,25.38,6.092,Failed,1.42,0.12,1,4.5,403,0.6,0.23
,26064,R28356,932-029,10-02-2021 23:30,Glu,2,6,726,2.343,33.58,24.99,6.04,Failed,1.47,0.15,1.1,4.41,460,0.2,0.07
,26047,R28339,932-029,10-02-2021 23:02,Glu,1,11,817,2.495,31.11,25.9,6.216,Failed,1.55,0.17,0.1,4.15,496,0.9,1.29
,26044,R28336,932-029,10-02-2021 22:34,Glu,2,5,677,2.322,31.08,26.33,6.263,Failed,1.43,0.15,0.8,3.17,193,5.9,0.56
,26043,R28335,932-029,10-02-2021 22:06,Glu,2,11,669,2.37,31.78,25.8,6.173,Failed,1.48,0.14,1.4,3.71,676,1.7,1.05
,26041,R28333,932-029,10-02-2021 20:08,Glu,8,1,583,2.393,34.51,24.53,6.397,Failed,1.32,0.16,0.2,2.82,63,10.3,0.89
,26029,R28321,932-029,10-02-2021 19:22,Glu,3,2,1454,2.332,31.03,25.6,5.423,Failed,1.32,0.17,1,4.6,737,2.2,0.08
,26029,R28321,932-029,10-02-2021 19:20,Glu,2,4,1454,2.361,30.5,26.01,5.321,Failed,1.5,0.16,1.3,3.75,670,2.3,0.48
,26029,R28321,932-029,10-02-2021 19:16,Glu,1,5,1452,2.432,30.96,26.17,5.682,Failed,1.35,0.16,1.5,4.76,582,0.8,0.59
,26060,R28352,932-029,10-02-2021 16:50,Glu,2,12,1697,2.263,29.31,27.18,5.31,Failed,4.53,0.12,0.1,4.99,803,0.3,0.59
,26036,R28328,932-029,10-02-2021 15:24,Glu,2,3,2225,2.395,28.03,28.17,7.032,Failed,0.38,0.04,0.7,1.18,24,9.4,4.84
,26045,R28337,932-029,10-02-2021 15:12,Glu,8,3,688,2.355,27.43,28.41,5.462,Failed,1.45,0.15,1,3.42,824,3.5,1.06
,26045,R28337,932-029,10-02-2021 14:54,Glu,2,7,692,2.501,28.05,28.06,5.975,Failed,1.37,0.14,1,3.59,472,2.8,0.07
,26001,R28308,932-029,09-02-2021 07:20,Glu,3,4,1659,2.421,30.81,25.59,5.9,Failed,1.42,0.08,0.2,3.62,401,0.7,0.73
,25949,R28271,932-029,08-02-2021 19:32,Glu,8,11,1238,2.521,31.61,25.55,5.763,Failed,4.43,0.12,0.4,4.68,473,0.1,3.28
,25929,R28266,932-029,08-02-2021 16:54,Glu,8,1,904,2.591,29.33,27.3,6.041,Failed,4.52,0.09,1.2,2.46,296,7.4,1.77
