time_betw_scan_min,CA,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
2924,2.68,5.898,Approved,23.62,2.14,10.4,40.01,37.13,808,5.7,-2.88,21,5.64,-0.12,-0.02
2554,2.58,6.453,Approved,17.3,2.08,11.4,40.46,40.04,340,5.2,-0.42,32,11.65,-0.07,-0.03
1147,2.485,6.064,Approved,25.95,1.98,10,41.51,40.51,680,6.1,-1,21,10.55,-0.04,0.03
25047,2.241,6.045,Approved,25.83,2.08,10.8,40.94,40.09,573,5.2,-0.85,21,11.35,-0.27,0
2397,2.547,6.855,Approved,21.28,1.93,10.9,41.26,40.84,384,6.4,-0.42,32,8.04,-0.09,-0.07
2516,2.924,6.728,Approved,25.27,2.05,11,40.45,38.94,355,9.8,-1.51,32,13.41,-0.07,-0.02
1428,2.905,5.921,Approved,22.73,2.08,10.7,41.35,40.28,732,5.1,-1.07,21,12.82,-0.38,-0.12
1656,2.715,6.314,Approved,21.28,1.99,10.4,42.27,41.47,646,4.4,-0.8,21,12.79,-0.25,-0.13
405,2.84,6.432,Approved,22.18,2.29,9.4,35.55,31.91,521,7.5,-3.64,21,9.4,-0.28,-0.05
2613,2.509,6.463,Approved,17.37,1.92,11.6,40.82,40.85,376,7.7,0.03,32,10.41,-0.63,-0.23
1708,2.79,6.815,Approved,21.38,2.04,9.9,40.56,39.01,477,9.4,-1.55,21,10.75,-0.31,0.07
151,2.44,6.408,Approved,22.25,1.97,10.5,40.84,40.67,386,6.8,-0.17,21,11.16,-0.2,-0.12
1434,2.721,7.068,Approved,25.4,1.99,10.6,39.84,39.38,503,6.8,-0.46,21,12.4,-0.07,0.01
1416,2.22,6.689,Approved,22.32,2.04,11.1,42.18,41.27,393,5.8,-0.91,21,7.84,-0.22,-0.01
2897,2.817,5.86,Approved,26,2.04,11.6,40.97,40.32,403,5.7,-0.65,21,11.4,-0.17,-0.08
1153,2.741,7.303,Approved,23.75,1.97,12.5,40.96,40.23,206,8.4,-0.73,11,10.73,-0.19,-0.08
2971,2.514,5.913,Approved,22.17,1.97,12.3,40.78,39.43,410,4.8,-1.35,21,11.13,-0.17,-0.01
1114,2.507,5.788,Approved,22.35,2,9.8,41.37,40.47,700,5.3,-0.9,21,13.72,-0.18,0
3087,2.358,5.965,Approved,25.37,1.98,10.2,37.04,33.63,795,6.4,-3.41,21,13.26,-0.22,-0.03
928,2.643,6.003,Approved,23.65,2.02,10.2,41.19,41.05,1028,5.2,-0.14,21,9.16,-0.01,0.01
7700,2.695,6.429,Approved,21.02,1.98,10.4,40.78,39.78,436,6.2,-1,21,11.64,-0.16,-0.03
5484,2.644,6.125,Approved,21.9,1.96,10.4,40.54,38.63,540,7.3,-1.91,21,11.9,-0.25,-0.07
4223,2.908,6.616,Approved,22.68,2.07,11.2,41.18,38.28,328,8.8,-2.9,63,14.02,-0.13,-0.05
1417,2.336,5.728,Approved,26.72,2.22,10.7,40.09,37.27,706,7,-2.82,31,10.73,-0.2,0.01
1966,2.86,6.85,Approved,20.37,1.87,13.4,40.67,40.33,242,8.6,-0.34,66,9.1,-0.01,-0.01
3359,2.587,5.703,Approved,23.87,2.05,10.2,41.58,40.89,404,4.8,-0.69,20,11.47,-0.24,-0.02
285,2.582,5.747,Approved,20.12,2.03,10.7,41.54,40.82,562,5.7,-0.72,21,12.9,-0.25,-0.06
1262,2.48,6.145,Approved,19.75,2.03,10.8,41.19,40.39,448,6,-0.8,21,14.69,-0.12,-0.04
2675,2.59,6.327,Approved,21.43,2.03,10.2,40.78,40.11,445,7.4,-0.67,21,12.44,-0.03,0.02
2912,2.732,6.303,Approved,23.68,2.13,10.4,38.5,36.12,829,8,-2.38,21,9.54,-0.03,0.01
2816,2.661,6.631,Approved,24.35,2.12,9.3,38.02,36.02,754,6.6,-2,22,12.63,-0.22,-0.07
2743,2.552,6.412,Approved,21.37,1.9,10.5,41.3,40.78,461,6.5,-0.52,21,10.57,-0.11,-0.06
1557,2.657,6.608,Approved,20.87,2.08,11.4,38.35,36.03,608,7,-2.32,21,11.18,-0.11,0.04
1719,2.571,5.652,Approved,22,2.03,10.3,40.04,37.84,760,6,-2.2,21,14.78,-0.49,-0.14
487,2.431,6.102,Approved,23.05,1.97,10.6,41.31,40.27,499,6.4,-1.04,21,11.28,-0.46,-0.22
1539,2.617,7.339,Approved,17.52,1.87,10.8,40.5,39.62,370,7.8,-0.88,32,13.26,-0.13,-0.06
1415,2.434,6.473,Approved,25.12,2.1,11.2,40.77,40.1,409,6.4,-0.67,22,12.83,-0.34,-0.12
446,2.64,5.994,Approved,23.23,2.03,10.3,40.92,39.2,633,6.4,-1.72,21,12.43,-0.3,0
1252,2.593,7.028,Approved,26,2.05,12.4,40.47,39.69,338,7,-0.78,32,12.04,-0.08,-0.01
3150,2.62,6.206,Approved,22.67,2.07,9.5,39.36,37.45,633,9.5,-1.91,21,15.06,-0.31,-0.11
494,2.46,6.176,Approved,20.12,2.05,10.7,39.83,38.7,592,6.6,-1.13,21,9.8,-0.04,0.04
3919,2.883,6.204,Approved,17.65,2.01,11.3,40.58,40.87,614,5.6,0.29,10,14.47,-0.19,-0.04
2516,2.534,5.805,Approved,22.82,2.04,11.6,41.3,40.27,428,5.1,-1.03,21,12.02,-0.25,-0.06
1609,2.25,5.972,Approved,23.33,2.11,9.6,40.37,38.59,801,6.2,-1.78,21,13.36,-0.15,0
1503,2.678,5.779,Approved,21.03,2.12,9.9,39.27,37.06,814,5.7,-2.21,31,13.07,-0.05,0.03
34501,2.643,6.386,Approved,22.9,2.08,10,40.01,39.29,555,6.8,-0.72,30,12.14,-0.66,-0.23
2305,2.66,6.549,Approved,25.55,2.09,11.6,41.36,40.65,336,5.6,-0.71,32,10.98,-0.23,-0.07
1403,2.446,6.065,Approved,22.67,2.05,10.8,39.01,35.73,807,6.4,-3.28,22,13.77,-0.52,-0.01
2617,2.601,5.816,Approved,24.45,2.09,11.2,41.01,40.31,423,5.2,-0.7,21,11.78,0,0.01
2539,2.617,6.276,Approved,17.03,2.04,11.8,41.32,40.61,354,6.2,-0.71,32,11.69,-0.15,-0.05
1507,2.549,6.182,Approved,18.88,2.02,10.2,41.23,40.98,538,5,-0.25,21,11.03,-0.01,0.01
3229,2.592,6.175,Approved,19.97,2.02,10.4,40.27,36.98,566,7.1,-3.29,21,13.31,-0.29,-0.08
5543,2.494,5.92,Approved,24.43,1.96,10.3,39.86,38.64,550,5.9,-1.22,21,12.39,-0.16,-0.02
135,2.757,6.215,Approved,25.95,1.84,10.4,41.53,40.72,456,5.4,-0.81,21,16.33,-0.46,-0.18
1379,2.707,6.784,Approved,24.6,1.99,9.8,38.12,34.39,478,8.6,-3.73,32,14.77,-0.45,-0.13
1081,2.586,6.036,Approved,20.97,2.09,10.9,40.32,39.57,496,5.7,-0.75,21,10.64,-0.04,-0.01
2329,2.49,6.172,Approved,26.62,1.97,10.8,40.57,39.96,463,5.2,-0.61,10,12.17,-0.06,0
2694,2.645,5.638,Approved,20.5,2.06,10.2,40.14,38.14,412,7.9,-2,31,12,-0.32,-0.05
1843,2.766,6.03,Approved,20.02,1.97,11.6,40.66,40.24,336,6.8,-0.42,32,10.63,-0.34,-0.17
1749,2.845,6.033,Approved,22.55,2.02,9.1,40.41,36.22,860,5.5,-4.19,21,11.03,-0.07,-0.01
3878,2.536,7.311,Approved,22.03,2.05,10.6,39.24,37.81,361,7.1,-1.43,31,9.7,-0.33,-0.12
2394,2.619,5.831,Approved,21.07,2.1,9.9,40.25,38.73,635,5.9,-1.52,22,14.58,-0.36,0.01
5946,2.637,5.965,Approved,22.58,2.13,9,37.79,34.94,777,8,-2.85,20,12.14,-0.2,-0.02
9984,2.48,5.926,Approved,24.3,2.22,9.7,38.96,36.95,593,8.7,-2.01,21,15.07,-0.32,-0.03
1170,2.735,6.619,Approved,21.78,1.96,10.9,41.27,40.17,540,5.9,-1.1,31,9.78,-0.17,-0.05
170,2.273,6.043,Approved,22.2,1.98,9.8,40.72,39.41,743,4.4,-1.31,21,13.19,-0.14,-0.04
1527,2.783,7.281,Approved,17.65,1.89,10,40.48,38.94,322,8.4,-1.54,32,13.57,-0.12,-0.07
1185,2.569,6.192,Approved,20.55,2.02,11.5,40.82,40.07,394,6.6,-0.75,32,12.95,-0.1,-0.01
981,2.536,6.103,Approved,23.67,1.98,10.7,40.63,39.94,464,6.3,-0.69,21,11.56,0.03,0
2443,2.816,5.786,Approved,22.32,2.01,10.8,41.18,40.4,387,4.9,-0.78,21,15.7,-0.23,-0.01
781,2.608,6.117,Approved,23.02,2.03,11.9,41.13,40.37,484,5.5,-0.76,21,10.11,-0.12,-0.05
5705,2.838,5.725,Approved,23.82,1.98,10.8,41.63,40.79,484,4.8,-0.84,21,12.21,-0.29,-0.08
236,2.792,6.181,Approved,23.62,2.02,10.9,40.23,39.62,374,7.4,-0.61,21,12.06,-0.02,0.01
6238,2.581,6.008,Approved,22.67,1.98,10,40.06,38.71,556,5.4,-1.35,21,9.92,-0.11,-0.01
2831,2.62,5.795,Approved,22.28,2.03,11.2,41.02,40.08,566,5.1,-0.94,21,12.39,-0.23,0
1093,2.638,6.631,Approved,18.75,1.98,11.2,41.63,40.58,452,5.4,-1.05,22,6.61,-0.21,-0.06
163,2.513,5.648,Approved,22.45,1.99,10.2,41.49,41.2,524,5.5,-0.29,21,13.44,-0.47,0
2407,2.699,6.111,Approved,22.33,2.01,10.2,40.33,40.27,370,6.5,-0.06,32,11.54,-0.18,0
2842,2.76,5.996,Approved,22.63,2.02,11.2,41.11,40.27,796,6.1,-0.84,21,10.97,-0.28,-0.04
1636,1.965,4.918,Approved,24.07,2.08,10.7,39.92,36.39,933,7.6,-3.53,21,10.61,-0.56,-0.13
2875,2.595,6.403,Approved,23.63,1.86,12.6,41.74,41.01,324,7.3,-0.73,36,12.3,-0.18,-0.08
1230,2.761,6.3,Approved,21.88,1.94,10.5,41.09,39.89,530,6.5,-1.2,22,10.21,0.45,1.39
896,2.555,6.62,Approved,22.88,1.95,11,40.86,40.24,570,8,-0.62,21,12.24,-0.36,-0.09
1370,2.814,5.92,Approved,22.23,2.02,11,41.19,40.76,401,5.2,-0.43,31,11.77,-0.19,-0.07
1432,2.773,6.096,Approved,21.13,1.93,11.8,41.25,40.61,455,5.8,-0.64,21,13.3,-0.2,-0.11
26133,2.574,5.481,Approved,22.3,2.11,10.6,41.48,40.08,577,4.9,-1.4,21,11.23,0.01,0.09
1474,2.787,6.58,Approved,19.13,2.09,12.1,40.77,40.07,235,8.4,-0.7,40,11.33,-0.18,-0.06
843,2.817,5.99,Approved,19.42,1.99,10.2,41.51,40.71,541,5.4,-0.8,21,13.42,-0.11,-0.02
8661,2.65,5.751,Approved,23.6,2.13,10.2,39.79,37.27,663,6.5,-2.52,21,12.51,-0.08,0.03
1,2.645,6.178,Approved,22.2,2.02,10.7,40.9,40.26,377,5,-0.64,21,13.15,-0.22,-0.06
3010,2.691,6.18,Approved,23.37,1.87,10.6,40.89,40.24,321,7.8,-0.65,35,10.56,-0.28,-0.06
2988,2.674,6.4,Approved,22.2,1.99,11.1,41.47,40.33,316,6.2,-1.14,40,8.61,-0.17,-0.05
1184,2.553,6.449,Approved,22.32,2.03,11.7,41.48,40.53,370,5.9,-0.95,30,11.79,-0.2,-0.03
172,2.531,6.793,Approved,20.82,2.03,10.7,41.12,40.21,385,5.1,-0.91,21,11.99,-0.32,-0.1
4367,2.642,6.564,Approved,22.18,2.05,10.4,40.42,39.9,346,6.9,-0.52,32,14.27,-0.23,-0.01
4033,2.71,5.792,Approved,22.88,2.06,12.1,41.28,40.68,414,5.3,-0.6,32,12.29,-0.14,-0.05
1298,2.706,6.634,Approved,21.07,2,11.2,40.77,39.99,370,7.4,-0.78,31,13.86,-0.37,-0.08
1402,2.676,6.215,Approved,22.33,2.01,12.2,40.91,39.99,255,6.2,-0.92,36,14.87,-0.28,-0.03
1389,2.761,6.026,Approved,18.9,2,10.1,41.67,40.44,495,6.6,-1.23,21,9.86,-0.27,0.02
2236,2.804,6.283,Approved,24.97,2.04,9.9,38.77,32.45,655,9.2,-6.32,21,13.16,-0.28,-0.01
2701,2.588,6.016,Approved,25.4,1.99,10.3,41.14,39.85,590,6,-1.29,21,12.9,-0.16,-0.03
18420,2.881,6.652,Approved,23.25,2,11.2,40.7,40.14,267,8.6,-0.56,41,11.6,-0.63,-0.06
2642,2.571,5.692,Approved,18.8,2,10.5,41.54,40.25,457,8.2,-1.29,21,15.46,-0.71,-0.01
4821,2.43,5.821,Approved,28.9,1.98,9.1,39.81,39.18,472,5.6,-0.63,32,13.9,-0.58,-0.21
773,2.665,6.796,Approved,22.75,2.09,9.2,38.52,35.55,436,6.9,-2.97,21,12.65,-0.47,0.02
6137,2.667,6.568,Approved,19,2.05,10.5,40.75,39.94,351,5.8,-0.81,21,11.9,-0.38,-0.11
5427,2.5,6.221,Approved,22.58,2.06,10,41.47,40.47,423,5.6,-1,21,13.89,-0.13,-0.02
2646,2.65,5.454,Approved,20.23,2.05,9.5,41.02,39.85,666,5.1,-1.17,21,12.45,-0.23,-0.01
1418,2.332,6.279,Approved,26.32,1.93,9.9,40.16,38.42,524,6.8,-1.74,21,13.63,-0.04,-0.02
872,2.623,6.571,Approved,20.2,2.06,12.6,40.5,40.18,303,6.8,-0.32,40,10.98,-0.05,-0.01
865,2.65,5.819,Approved,26.28,2.25,8.2,35.85,33.54,877,7.5,-2.31,21,11.51,-0.24,0.03
1541,2.727,6.162,Approved,22.27,2.08,9.8,36.61,34.19,386,6.8,-2.42,31,11.73,-0.05,-0.01
1489,2.353,6.508,Approved,21.83,1.96,10.3,40.69,39.99,287,6.2,-0.7,32,12.33,-0.11,-0.06
1451,2.544,6.195,Approved,21.52,2.02,10.9,41.27,40,529,6.6,-1.27,21,10.8,-0.02,0.01
1931,2.35,5.788,Approved,21.53,1.99,10.6,41.03,41.45,654,5.6,0.42,21,10.15,0.01,0.01
1623,2.281,5.063,Approved,23.93,1.97,9.6,41.01,39.28,865,5,-1.73,21,13.72,-0.08,-0.01
1086,2.533,6.093,Approved,23.53,2.03,10.9,41.55,40.29,670,6.1,-1.26,31,13.83,-0.12,-0.02
106,2.633,5.935,Approved,21.55,2.08,10.5,41.54,40.71,811,4.3,-0.83,22,12.78,-0.21,-0.02
7135,2.659,6.744,Approved,22.33,1.89,10.7,41.49,39.67,372,7.1,-1.82,32,13.47,-0.34,-0.19
1350,2.884,6.75,Approved,21.43,2.02,10,39.82,38.63,539,7.6,-1.19,21,14.47,-0.03,0
421,2.556,6.375,Approved,22,2.1,11.6,40.64,38.93,645,7.5,-1.71,21,14.49,-0.19,-0.07
1466,2.64,6.401,Approved,18.35,1.97,10.4,37.35,34.03,356,10.8,-3.32,44,13.64,-0.26,0
1523,2.592,5.695,Approved,21.93,2,10.8,40.59,39.28,619,6.8,-1.31,21,14.43,-0.42,-0.17
2869,2.843,5.766,Approved,26.18,1.99,11.6,41.29,40.39,533,5.9,-0.9,21,15.37,-0.36,-0.19
2754,2.652,6.762,Approved,19.42,1.87,10.6,41.26,40.94,232,7.4,-0.32,55,12.51,-0.93,-0.19
1479,2.689,5.986,Approved,22.83,1.93,10.4,41.7,40.56,529,5.2,-1.14,20,10.71,-0.09,-0.05
1795,2.81,6.217,Approved,22.13,2.03,10.5,41.27,40.37,355,7,-0.9,21,10.94,-0.37,-0.14
2721,2.655,6.351,Approved,22.98,1.92,10.2,41.43,40.66,389,6.2,-0.77,32,11.42,-0.21,-0.09
1954,2.657,6.581,Approved,24.22,2.01,11.3,40.86,40.43,408,6,-0.43,22,12.39,-0.38,-0.06
274,3,6.79,Approved,21.78,1.98,12.2,41.15,37.26,756,6.9,-3.89,21,11.79,-0.23,-0.05
4216,2.415,6.648,Approved,18,2,10.8,40.1,39.43,448,8.3,-0.67,31,9.95,-0.1,-0.02
1189,2.555,6.763,Approved,21.77,2.11,9.4,38.31,35.3,683,9.2,-3.01,21,14.78,-0.47,0
1090,2.583,6.553,Approved,20.77,1.81,10.9,40.9,40.25,319,8,-0.65,32,12.42,-0.59,-0.24
2204,2.521,6.183,Approved,22.33,1.85,10.1,41.28,40.48,475,7.1,-0.8,21,16.54,-0.37,-0.01
1611,2.588,6.014,Approved,19.6,2.05,11.5,41.55,41.15,678,4.9,-0.4,21,14.65,-0.27,-0.02
1493,2.759,6.714,Approved,23.98,1.96,12.2,41.26,40.32,433,6.2,-0.94,31,13.58,-0.35,-0.17
1682,2.532,5.636,Approved,25.98,2.02,10.2,40.61,38.86,565,6.2,-1.75,21,16.07,-0.48,-0.12
6520,2.785,6.699,Approved,21.02,1.61,11.8,42.48,41.52,254,8.2,-0.96,64,14.67,-1.15,-0.37
1005,2.65,6.114,Approved,24.65,2.13,10,39.14,37.51,617,8.8,-1.63,21,11.03,-0.56,-0.02
5759,2.649,6.603,Approved,26.25,2.09,11.6,40.2,38.64,549,6.9,-1.56,21,10.6,-0.07,0.01
1316,2.502,6.682,Approved,24.2,2.05,10.5,39.98,39.25,367,8.6,-0.73,32,10.45,-0.4,-0.1
1334,2.895,6.654,Approved,22.4,2.08,10.6,41.07,40.14,454,5.9,-0.93,21,12.32,-0.12,-0.07
2605,2.852,5.933,Approved,21.48,2.01,10.8,40.63,40.77,475,6.1,0.14,21,11.45,-0.09,-0.01
1795,2.734,6.393,Approved,24.37,2.05,11.5,41.09,40.03,358,5.4,-1.06,21,10.66,0.04,0.02
2860,2.56,6.663,Approved,22.72,2.05,9.6,41.05,39.17,459,8.5,-1.88,21,13.77,-0.33,-0.01
1073,2.466,6.251,Approved,25,2.01,10,39.75,37.85,463,7.7,-1.9,21,12.76,-0.13,-0.02
7060,2.73,6.087,Approved,22.68,2.01,10.9,40.94,40.15,308,5.9,-0.79,31,10.11,-0.16,-0.08
1375,2.79,6.598,Approved,23.57,2.02,12,40.89,39.81,413,6.9,-1.08,31,11.88,-0.14,-0.05
1170,2.57,6.292,Approved,22.47,1.86,9.3,41.05,39.82,392,5.8,-1.23,21,9.53,-0.33,-0.09
1157,2.548,5.79,Approved,23.08,2.06,10,40.78,39.08,637,5.8,-1.7,21,11.42,-0.31,-0.05
1056,2.785,6.146,Approved,25.42,2.09,10.7,40.93,39.85,614,5,-1.08,21,9.43,-0.05,0.01
2771,2.796,6.187,Approved,21.7,2,11.1,41.31,40.6,458,4.4,-0.71,22,12.29,-0.15,0.03
3925,2.687,5.946,Approved,23.6,2.2,10.7,38.89,37.18,500,8.5,-1.71,31,12.57,-0.18,-0.02
1267,2.507,6.724,Approved,24.1,1.98,12.2,41.08,40.25,557,6.5,-0.83,21,11.33,-0.32,-0.18
3959,2.77,5.96,Approved,21.12,2.11,10.2,42.1,41.36,600,6.2,-0.74,21,12.89,-0.27,-0.01
1455,2.543,6.795,Approved,22.22,2.05,11.9,41.63,40.67,373,6.2,-0.96,30,8.22,-0.19,-0.02
1761,2.408,6.6,Approved,21.97,1.93,11.9,41.22,40.76,274,6.8,-0.46,31,10.29,-0.37,-0.21
1387,2.612,5.881,Approved,22.2,1.96,10.8,40.02,40.09,616,5.1,0.07,21,10.02,-0.02,0.03
1426,2.664,6.488,Approved,24.02,2.1,11.1,33.86,30.99,398,8.4,-2.87,21,10.72,-0.75,-0.15
9179,2.984,6.773,Approved,26.08,1.97,10.3,40.99,40.07,452,6.5,-0.92,32,9.19,-0.02,0.03
7495,2.165,6.166,Approved,24.05,1.95,11.5,39.99,39.01,389,7.6,-0.98,32,10.51,-0.12,-0.08
1037,2.667,6.827,Approved,24.65,2.21,9.5,37.43,34.74,379,13,-2.69,32,12.83,-0.55,-0.03
1653,2.538,5.707,Approved,22.57,2.02,10.8,41.15,40.04,620,5.4,-1.11,21,14.02,-0.13,0
87,2.515,5.711,Approved,17.68,2.06,10.7,42.08,40.57,512,6.6,-1.51,21,14.53,-0.46,-0.01
23403,2.405,6.257,Approved,21.02,2.1,10.6,41.42,40.7,534,5.2,-0.72,21,11.24,-0.29,-0.11
727,2.452,6.242,Approved,22.42,1.95,9.4,39.8,38.65,487,5.6,-1.15,21,13.15,-0.42,-0.09
7153,2.565,5.613,Approved,22.83,2.09,10.6,39.32,37.1,702,7.3,-2.22,21,11.68,-0.03,0.02
170,2.573,5.96,Approved,22.98,2.06,11.7,42.04,41.12,410,5.2,-0.92,20,12.55,-0.26,-0.04
1690,2.899,6.668,Approved,22.27,2.01,10.5,40.6,39.98,629,8.1,-0.62,21,9.51,-0.11,-0.04
1839,2.824,6.934,Approved,22.22,2.04,11.6,41.36,40.45,303,7.9,-0.91,36,10.97,-0.28,-0.04
1573,2.637,5.858,Approved,17.43,1.94,11.4,40.81,40.34,421,4.4,-0.47,22,10.62,-0.15,-0.08
1491,2.7,6.298,Approved,20.5,1.92,10.6,41.14,39.81,357,7.2,-1.33,32,14.15,-0.26,-0.05
5818,2.786,6.404,Approved,19.55,2.02,10.8,40.85,40.83,459,6.9,-0.02,21,10.57,-0.03,0.02
3413,2.346,6.256,Approved,22.85,1.95,10.2,39.7,39.04,479,6,-0.66,22,9.26,-0.02,0
4629,2.571,6.349,Approved,21.6,1.96,10,40.48,40.33,491,5.8,-0.15,20,11.08,-0.08,0.01
6778,2.69,5.085,Approved,23.97,2.03,10.7,40.14,38.91,393,6.9,-1.23,21,15.38,-0.39,-0.15
1994,2.54,5.776,Approved,21.95,2,11.7,40.31,39.24,773,7.2,-1.07,21,16.36,-0.07,0.03
1316,2.662,6.298,Approved,21.98,2.08,12.1,40.78,40.09,262,6.8,-0.69,36,15.45,-0.32,-0.14
1668,2.292,6.205,Approved,23.1,2.07,10.4,41.64,40.69,743,4.9,-0.95,22,11.32,-0.31,-0.09
941,2.487,6.345,Approved,23.72,2.1,8.8,37.35,34.9,384,7.8,-2.45,32,8.78,-0.05,0.05
1429,2.752,6.44,Approved,22.13,2.06,10.7,40.54,39.01,471,6.4,-1.53,21,14.86,-0.21,-0.02
1347,2.568,5.885,Approved,25.02,2.07,10.7,41.46,40.54,447,5.1,-0.92,21,10.13,-0.24,-0.01
543,2.492,7.17,Approved,26.32,2.07,10.3,40.54,39.11,428,10.1,-1.43,32,10.93,-0.1,-0.02
1606,2.48,6.308,Approved,21.9,2,10.6,40.31,39.28,308,6.2,-1.03,31,13.83,-0.14,-0.02
1125,2.476,6.709,Approved,23.9,1.94,13.4,40.3,39.47,362,5.9,-0.83,21,11.5,-0.23,-0.08
4179,2.318,6.477,Approved,18.35,1.99,13,40.66,40.31,428,7.1,-0.35,21,12.37,-0.24,-0.09
411,2.735,6.534,Approved,21,2.08,10.9,41,40.28,439,5.2,-0.72,21,10.23,-0.06,0.01
6715,2.751,6.042,Approved,21.73,1.77,10,39.22,37.78,473,7.9,-1.44,21,11.59,-0.18,-0.05
1415,2.566,6.202,Approved,23.07,2.06,9.7,41.49,39.83,552,6.3,-1.66,21,10.37,-0.2,-0.01
3291,2.484,5.83,Approved,18.7,1.96,10.2,42.03,40.47,393,7,-1.56,21,12.47,-0.23,0.02
159,2.481,5.533,Approved,21.62,2,10.6,41.66,41.13,513,4.8,-0.53,21,13.17,-0.08,0.01
7740,2.584,6.561,Approved,19.02,2.04,9,38.18,35.61,613,7.7,-2.57,21,12.25,-0.16,-0.02
1167,2.669,6.819,Approved,22.43,1.89,9.4,41.29,40.38,370,6,-0.91,21,13.52,-0.27,-0.11
