time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
0.002,0.262,0.842,0.208,0.648,0.829,0.818,0.173,0.294,0.657,0.707,0.759,0.549
0.201,0.262,0.842,0.259,0.562,0.795,0.797,0.189,0.096,0.670,0.407,0.752,0.648
0.082,0.247,0.373,0.250,0.429,0.805,0.878,0.332,0.010,0.827,0.740,0.774,0.620
0.016,0.078,0.421,0.259,0.448,0.857,0.846,0.464,0.076,0.669,0.429,0.737,0.732
0.206,0.262,0.421,0.292,0.352,0.787,0.804,0.635,0.117,0.698,0.444,0.925,0.718
0.075,0.262,0.842,0.292,0.571,0.822,0.845,0.212,0.071,0.727,0.423,0.677,0.634
0.266,0.262,0.625,0.255,0.467,0.766,0.794,0.306,0.117,0.715,0.352,0.556,0.662
0.121,0.078,0.421,0.245,0.495,0.825,0.836,0.488,0.066,0.701,0.137,0.947,0.775
0.155,0.262,0.000,0.274,0.533,0.816,0.840,0.414,0.056,0.725,0.463,0.857,0.704
0.086,0.262,0.421,0.255,0.495,0.781,0.830,0.225,0.107,0.764,0.307,0.955,0.718
0.043,0.262,0.580,0.311,0.476,0.830,0.847,0.317,0.132,0.716,0.371,0.647,0.634
0.136,0.262,0.421,0.264,0.467,0.770,0.825,0.168,0.076,0.774,0.660,0.737,0.676
0.108,0.262,0.842,0.297,0.524,0.792,0.824,0.175,0.193,0.733,0.155,0.827,0.592
0.055,0.262,0.421,0.278,0.610,0.767,0.821,0.198,0.066,0.771,0.324,0.857,0.676
0.021,0.200,0.421,0.311,0.505,0.829,0.853,0.251,0.102,0.731,0.551,0.805,0.606
0.073,0.078,0.421,0.302,0.400,0.779,0.713,0.254,0.249,0.517,0.536,0.647,0.690
0.289,0.262,0.842,0.250,0.505,0.763,0.808,0.267,0.117,0.750,0.199,0.895,0.676
0.054,0.158,0.421,0.264,0.533,0.819,0.843,0.167,0.117,0.727,0.473,0.722,0.620
0.078,0.078,0.000,0.236,0.457,0.864,0.879,0.281,0.066,0.726,0.581,0.609,0.423
0.120,0.210,0.842,0.292,0.362,0.720,0.747,0.155,0.228,0.692,0.335,0.602,0.479
0.208,0.262,0.842,0.269,0.505,0.768,0.833,0.241,0.188,0.793,0.583,0.647,0.380
0.087,0.078,0.421,0.269,0.514,0.744,0.796,0.274,0.096,0.758,0.493,0.932,0.690
0.160,0.262,0.421,0.307,0.590,0.789,0.825,0.179,0.112,0.741,0.462,0.910,0.704
0.196,0.262,0.712,0.241,0.390,0.813,0.800,0.540,0.132,0.644,0.661,0.850,0.662
0.093,0.162,0.421,0.344,0.381,0.641,0.593,0.455,0.198,0.498,0.452,0.872,0.676
0.091,0.078,0.421,0.222,0.590,0.826,0.859,0.267,0.036,0.751,0.470,0.744,0.606
0.206,0.262,0.734,0.278,0.476,0.787,0.835,0.184,0.091,0.765,0.611,0.827,0.676
0.068,0.078,0.421,0.255,0.467,0.824,0.862,0.227,0.076,0.758,0.462,0.744,0.606
0.056,0.199,0.421,0.278,0.619,0.820,0.877,0.184,0.168,0.799,0.626,0.887,0.704
0.012,0.262,0.842,0.269,0.448,0.698,0.660,0.355,0.203,0.544,0.499,0.752,0.676
0.088,0.179,0.842,0.283,0.495,0.782,0.812,0.195,0.096,0.726,0.367,0.556,0.408
0.161,0.262,0.599,0.292,0.486,0.786,0.843,0.171,0.102,0.786,0.367,0.782,0.577
0.067,0.078,0.421,0.255,0.552,0.804,0.836,0.220,0.036,0.740,0.487,0.805,0.634
0.092,0.262,0.421,0.245,0.371,0.811,0.760,0.503,0.173,0.562,0.586,0.910,0.718
0.146,0.262,0.421,0.274,0.505,0.786,0.836,0.214,0.056,0.769,0.414,0.842,0.648
0.305,0.153,0.532,0.288,0.571,0.815,0.844,0.238,0.107,0.737,0.524,0.782,0.690
0.197,0.078,0.421,0.203,0.476,0.758,0.808,0.264,0.036,0.759,0.065,0.842,0.662
0.075,0.262,0.842,0.203,0.438,0.797,0.847,0.218,0.081,0.774,0.584,0.692,0.563
0.052,0.144,0.842,0.241,0.390,0.798,0.739,0.428,0.284,0.540,0.732,0.662,0.592
0.079,0.235,0.421,0.274,0.476,0.822,0.821,0.382,0.096,0.675,0.464,0.586,0.507
0.145,0.254,0.842,0.255,0.495,0.751,0.827,0.291,0.112,0.811,0.498,0.895,0.704
0.053,0.262,0.842,0.255,0.552,0.803,0.829,0.235,0.132,0.725,0.509,0.880,0.648
0.149,0.078,0.842,0.212,0.676,0.792,0.833,0.228,0.061,0.753,0.437,0.759,0.549
0.139,0.262,0.842,0.288,0.629,0.794,0.844,0.263,0.076,0.772,0.778,0.932,0.732
0.066,0.262,0.421,0.264,0.533,0.844,0.874,0.348,0.036,0.750,0.406,0.820,0.606
0.146,0.262,0.421,0.283,0.362,0.699,0.632,0.275,0.142,0.483,0.622,0.714,0.592
0.047,0.078,0.000,0.259,0.648,0.802,0.841,0.128,0.025,0.752,0.480,0.797,0.662
0.059,0.078,0.421,0.259,0.571,0.774,0.808,0.274,0.025,0.731,0.303,0.797,0.648
0.149,0.262,0.421,0.198,0.476,0.798,0.840,0.176,0.188,0.756,0.343,0.722,0.606
0.086,0.262,0.421,0.208,0.467,0.793,0.794,0.193,0.142,0.666,0.456,0.767,0.535
0.005,0.262,0.421,0.236,0.486,0.778,0.827,0.304,0.096,0.762,0.595,0.910,0.606
0.051,0.262,0.421,0.292,0.590,0.782,0.854,0.170,0.041,0.814,0.499,0.767,0.676
0.081,0.262,0.421,0.264,0.524,0.837,0.874,0.189,0.061,0.762,0.657,0.812,0.606
0.149,0.262,0.421,0.231,0.400,0.833,0.862,0.345,0.066,0.743,0.479,0.812,0.662
0.157,0.262,0.842,0.226,0.638,0.825,0.867,0.135,0.102,0.769,0.595,0.662,0.507
0.095,0.078,0.421,0.250,0.381,0.781,0.760,0.467,0.112,0.615,0.467,0.744,0.676
0.057,0.172,0.421,0.226,0.429,0.764,0.832,0.326,0.107,0.799,0.277,0.917,0.704
0.074,0.262,0.421,0.241,0.438,0.841,0.863,0.425,0.051,0.732,0.702,0.827,0.634
0.121,0.262,0.842,0.288,0.686,0.778,0.820,0.281,0.157,0.749,0.499,0.872,0.704
0.065,0.262,0.421,0.297,0.438,0.753,0.804,0.219,0.132,0.758,0.715,0.729,0.648
0.002,0.078,0.656,0.283,0.486,0.806,0.790,0.475,0.076,0.636,0.292,0.624,0.592
0.060,0.184,0.421,0.259,0.467,0.911,0.864,0.310,0.096,0.612,0.555,0.699,0.465
0.162,0.208,0.421,0.274,0.448,0.836,0.870,0.304,0.056,0.755,0.388,0.684,0.535
0.143,0.262,0.842,0.297,0.590,0.756,0.819,0.275,0.061,0.785,0.656,0.729,0.606
0.081,0.262,0.421,0.316,0.533,0.756,0.788,0.129,0.157,0.717,0.637,0.917,0.732
0.094,0.262,0.421,0.283,0.429,0.757,0.774,0.338,0.168,0.687,0.472,0.895,0.676
0.201,0.159,0.000,0.264,0.476,0.841,0.827,0.569,0.046,0.653,0.625,0.902,0.761
0.086,0.262,0.421,0.278,0.419,0.871,0.899,0.269,0.056,0.756,0.448,0.925,0.704
0.065,0.262,0.421,0.278,0.390,0.755,0.794,0.320,0.102,0.733,0.499,0.714,0.676
0.051,0.262,0.421,0.236,0.552,0.812,0.855,0.260,0.076,0.765,0.331,0.639,0.437
0.099,0.262,0.421,0.264,0.457,0.831,0.836,0.361,0.066,0.691,0.727,0.850,0.648
0.132,0.165,0.842,0.255,0.476,0.645,0.575,0.185,0.264,0.453,0.570,0.549,0.606
0.070,0.161,0.421,0.264,0.390,0.760,0.764,0.304,0.157,0.660,0.654,0.925,0.746
0.178,0.259,0.421,0.217,0.533,0.775,0.778,0.356,0.127,0.664,0.310,0.812,0.634
0.098,0.262,0.421,0.274,0.476,0.821,0.856,0.217,0.091,0.751,0.271,0.797,0.718
0.221,0.078,0.421,0.255,0.571,0.805,0.845,0.156,0.061,0.755,0.470,0.902,0.704
0.103,0.078,0.842,0.231,0.543,0.844,0.844,0.305,0.076,0.687,0.098,0.752,0.592
0.122,0.262,0.421,0.302,0.324,0.760,0.737,0.225,0.117,0.603,0.445,0.752,0.718
0.134,0.262,0.421,0.269,0.457,0.822,0.825,0.335,0.112,0.684,0.378,0.932,0.718
0.079,0.262,0.842,0.292,0.514,0.732,0.772,0.210,0.178,0.726,0.614,0.602,0.521
0.147,0.262,0.842,0.292,0.448,0.592,0.632,0.413,0.157,0.669,0.588,0.887,0.704
0.353,0.193,0.421,0.274,0.524,0.731,0.707,0.383,0.122,0.588,0.550,0.887,0.690
0.055,0.262,0.421,0.307,0.562,0.801,0.834,0.133,0.249,0.740,0.468,0.571,0.394
0.076,0.262,0.421,0.283,0.438,0.816,0.817,0.347,0.122,0.677,0.471,0.865,0.648
0.442,0.262,0.000,0.297,0.476,0.784,0.793,0.495,0.036,0.680,0.451,0.895,0.718
0.052,0.078,0.522,0.236,0.362,0.658,0.603,0.325,0.076,0.493,0.158,0.850,0.648
0.076,0.262,0.421,0.330,0.419,0.570,0.543,0.435,0.117,0.514,0.628,0.865,0.634
0.069,0.177,0.421,0.236,0.524,0.833,0.848,0.338,0.056,0.713,0.890,0.729,0.704
0.102,0.203,0.842,0.321,0.514,0.831,0.871,0.384,0.117,0.768,0.425,0.865,0.704
0.065,0.210,0.421,0.222,0.410,0.877,0.867,0.351,0.132,0.678,0.591,0.774,0.592
0.094,0.262,0.842,0.269,0.610,0.809,0.816,0.297,0.203,0.686,0.357,0.880,0.704
0.048,0.262,0.842,0.250,0.438,0.647,0.569,0.283,0.269,0.438,0.715,0.684,0.521
0.060,0.163,0.487,0.278,0.371,0.798,0.824,0.185,0.142,0.722,0.592,0.654,0.648
0.042,0.078,0.421,0.259,0.486,0.740,0.713,0.498,0.188,0.585,0.351,0.902,0.704
0.355,0.262,0.421,0.288,0.600,0.832,0.856,0.245,0.091,0.732,0.531,0.692,0.549
0.077,0.078,0.000,0.274,0.552,0.784,0.754,0.397,0.157,0.597,0.372,0.842,0.634
0.387,0.262,0.842,0.250,0.524,0.781,0.827,0.252,0.132,0.758,0.331,0.759,0.690
0.043,0.078,0.421,0.278,0.467,0.762,0.778,0.179,0.188,0.687,0.507,0.669,0.592
0.073,0.262,0.421,0.226,0.457,0.851,0.857,0.333,0.056,0.701,0.358,0.865,0.620
0.063,0.262,0.421,0.264,0.381,0.825,0.840,0.209,0.066,0.710,0.528,0.805,0.606
0.054,0.262,0.421,0.278,0.448,0.820,0.853,0.402,0.071,0.747,0.945,0.767,0.606
0.013,0.211,0.586,0.297,0.476,0.782,0.796,0.460,0.051,0.689,0.332,0.677,0.549
