time_betw_scan_hours,CA,YM,Class,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
3293.000,2.677,7.021,1.000,0.300,2.400,4.450,284.000,2.300,0.210
4611.000,2.541,6.566,1.000,0.330,0.300,3.200,261.000,0.800,0.510
2521.000,2.878,6.203,1.000,0.280,1.000,4.340,207.000,0.200,0.060
915.000,2.695,6.847,1.000,0.300,1.600,2.500,257.000,4.300,0.550
2678.000,2.516,6.195,1.000,0.320,0.400,4.080,167.000,1.900,0.550
2427.000,2.634,5.896,1.000,0.340,1.200,4.770,59.000,0.000,0.210
4428.000,2.610,6.143,1.000,0.440,0.900,3.000,288.000,1.300,0.210
1653.000,2.370,6.480,1.000,0.250,0.200,4.240,261.000,0.800,0.850
5882.000,2.632,6.096,1.000,0.310,2.200,4.730,192.000,0.600,0.010
1034.000,2.991,6.772,1.000,0.230,1.300,3.550,159.000,0.900,0.210
2805.000,2.404,6.784,1.000,0.430,1.800,4.470,371.000,0.100,0.310
942.000,2.625,6.989,1.000,0.130,1.100,4.470,300.000,0.400,0.130
249.000,2.720,5.913,1.000,0.230,0.300,2.830,106.000,0.100,0.090
1551.000,2.466,6.526,1.000,0.240,1.300,4.230,234.000,0.100,0.410
1241.000,2.576,6.030,1.000,0.290,0.600,4.430,75.000,0.500,0.020
1312.000,2.630,6.269,1.000,0.360,0.500,4.500,133.000,1.800,0.170
1412.000,2.915,6.301,1.000,0.280,0.400,3.970,224.000,0.400,0.190
167.000,2.471,5.990,1.000,0.260,0.500,3.980,151.000,1.200,0.490
29.000,2.560,6.719,1.000,0.310,1.300,2.980,383.000,4.500,0.340
1142.000,3.053,6.777,1.000,0.220,1.800,5.040,320.000,1.100,0.300
2841.000,2.350,6.199,1.000,0.320,0.700,4.390,170.000,0.500,0.240
1655.000,2.500,7.241,1.000,0.260,1.000,4.500,365.000,4.000,0.340
1493.000,2.759,6.714,1.000,0.360,2.200,4.760,167.000,0.600,0.060
1420.000,2.868,5.858,1.000,0.300,1.100,4.580,241.000,0.400,0.750
6.000,2.640,6.343,1.000,0.290,0.200,3.530,242.000,2.200,0.410
7854.000,2.507,6.341,1.000,0.290,1.400,4.180,268.000,1.800,0.360
2730.000,2.513,6.802,1.000,0.270,1.000,4.950,157.000,0.700,0.260
773.000,2.665,6.796,1.000,0.230,0.800,1.520,164.000,1.300,1.970
207.000,2.523,6.092,1.000,0.330,0.200,3.770,77.000,0.600,0.190
17127.000,2.633,6.110,1.000,0.150,1.600,4.340,266.000,0.600,0.420
780.000,2.664,5.987,1.000,0.340,1.500,4.650,297.000,1.200,0.520
1342.000,2.658,5.930,1.000,0.300,1.200,5.490,145.000,0.900,0.470
1236.000,2.426,6.525,1.000,0.100,0.100,2.120,101.000,2.000,1.700
3112.000,2.990,6.080,1.000,0.240,0.100,4.750,94.000,0.100,0.190
3512.000,2.960,6.627,1.000,0.250,0.400,4.270,172.000,1.900,0.040
273.000,2.890,6.806,1.000,0.310,2.400,4.000,145.000,0.700,0.880
1839.000,2.824,6.934,1.000,0.250,1.600,4.560,297.000,2.300,0.090
1772.000,2.613,6.520,1.000,0.350,0.800,3.670,91.000,0.200,0.380
1209.000,2.700,5.344,1.000,0.260,0.000,4.480,289.000,0.200,0.730
16355.000,2.598,5.591,1.000,0.310,0.900,4.510,350.000,0.200,0.080
2496.000,2.889,5.635,1.000,0.230,2.000,4.600,271.000,0.600,0.070
182.000,2.736,7.010,1.000,0.330,1.200,3.840,319.000,2.000,0.360
1348.000,2.328,5.889,1.000,0.380,0.000,4.440,210.000,0.800,0.250
110.000,2.650,6.500,1.000,0.280,2.200,3.370,300.000,0.900,0.060
2516.000,2.534,5.805,1.000,0.230,1.600,5.000,172.000,0.500,0.030
1291.000,2.473,6.505,1.000,0.380,0.700,1.360,45.000,1.600,0.330
1754.000,2.560,6.612,1.000,0.330,0.700,4.130,198.000,0.300,0.140
2381.000,2.478,6.261,1.000,0.240,0.800,4.760,164.000,0.600,0.470
2084.000,2.590,6.016,1.000,0.200,0.200,3.120,391.000,1.400,1.710
4264.000,2.580,6.448,1.000,0.280,0.600,4.460,33.000,0.100,0.490
1884.000,2.699,6.256,1.000,0.290,0.600,3.880,41.000,1.800,0.680
1371.000,2.628,5.919,1.000,0.200,0.800,4.450,15.000,0.100,0.110
3302.000,2.522,5.579,1.000,0.260,0.400,4.910,18.000,0.200,0.250
3199.000,2.190,6.336,1.000,0.270,1.000,3.960,158.000,2.800,1.680
1806.000,2.580,5.332,1.000,0.240,1.200,1.520,125.000,3.300,1.320
2681.000,2.497,6.115,1.000,0.380,0.200,4.050,20.000,1.900,0.710
1897.000,2.714,6.117,1.000,0.380,1.200,5.250,298.000,0.000,0.430
727.000,2.452,6.242,1.000,0.300,0.600,3.500,113.000,0.000,0.150
1368.000,2.877,6.585,1.000,0.460,0.000,5.040,166.000,0.800,0.420
1669.000,2.812,6.777,1.000,0.250,0.800,2.480,113.000,1.600,0.270
11307.000,2.731,6.315,1.000,0.290,1.200,5.010,115.000,0.200,0.410
1656.000,2.866,6.449,1.000,0.260,0.500,3.800,166.000,1.800,0.030
2734.000,2.609,6.651,1.000,0.280,0.500,4.690,325.000,0.000,0.320
1855.000,2.419,6.867,1.000,0.300,1.600,3.850,242.000,2.600,1.090
5463.000,2.684,5.986,1.000,0.280,0.800,4.380,144.000,0.900,0.260
1149.000,2.411,6.581,1.000,0.280,1.000,4.730,245.000,0.100,0.510
156.000,2.458,5.823,1.000,0.150,1.000,5.100,83.000,0.200,0.010
1432.000,2.289,5.892,1.000,0.280,2.200,4.890,366.000,0.000,0.650
1210.000,2.507,5.784,1.000,0.300,0.800,4.700,24.000,0.900,0.390
1389.000,2.418,6.107,1.000,0.290,2.100,4.130,260.000,0.000,0.390
1336.000,2.810,5.763,1.000,0.360,0.200,4.810,258.000,0.400,0.150
2936.000,2.632,5.988,1.000,0.320,0.900,4.100,228.000,0.400,0.460
1798.000,2.778,6.251,1.000,0.280,0.100,3.290,138.000,1.900,1.710
18574.000,2.692,5.743,1.000,0.160,1.600,5.580,80.000,0.400,0.350
1496.000,2.789,6.512,1.000,0.260,0.100,4.420,54.000,1.300,0.270
1020.000,2.611,5.764,1.000,0.290,1.200,4.420,11.000,0.600,0.450
1572.000,2.573,6.711,1.000,0.220,0.800,3.820,233.000,2.200,0.640
4217.000,2.589,7.114,1.000,0.360,0.900,3.580,204.000,4.200,0.160
1406.000,2.666,5.930,1.000,0.330,1.600,4.050,159.000,0.000,0.340
455.000,2.638,5.648,1.000,0.150,0.900,2.850,23.000,3.000,1.270
1313.000,2.285,6.293,1.000,0.240,0.800,1.830,197.000,2.400,1.100
1382.000,2.689,6.788,1.000,0.380,1.900,4.280,290.000,2.400,0.450
3113.000,2.695,6.089,1.000,0.310,0.200,4.660,5.000,0.800,0.470
1461.000,2.517,5.968,1.000,0.210,0.400,4.660,13.000,0.400,0.190
6858.000,2.676,6.209,1.000,0.290,0.400,4.230,128.000,0.100,0.120
1423.000,2.707,6.004,1.000,0.160,0.800,3.000,62.000,3.000,0.740
1910.000,2.323,5.389,1.000,0.300,0.300,4.740,262.000,0.500,0.570
60.000,2.716,5.793,1.000,0.160,0.100,2.510,110.000,1.300,1.750
7170.000,2.510,6.281,1.000,0.370,0.000,3.990,231.000,0.100,0.120
1399.000,2.899,6.376,1.000,0.250,2.600,4.020,293.000,1.500,0.580
2788.000,2.901,6.270,1.000,0.230,2.000,5.280,312.000,0.000,0.130
1623.000,2.687,5.384,1.000,0.270,0.400,3.960,69.000,0.700,1.010
1294.000,2.698,5.930,1.000,0.290,0.100,3.860,142.000,0.600,0.450
1275.000,2.612,5.766,1.000,0.360,1.200,4.490,129.000,0.900,0.470
9106.000,2.471,6.103,1.000,0.330,0.200,2.520,89.000,1.200,0.880
5766.000,2.541,5.928,1.000,0.160,0.400,4.430,112.000,0.200,0.180
4509.000,2.637,6.221,1.000,0.240,0.200,5.220,125.000,0.000,0.220
1266.000,2.772,6.896,1.000,0.270,0.200,4.770,134.000,0.200,0.120
101.000,2.424,5.800,1.000,0.280,0.800,3.670,130.000,0.200,0.140
1443.000,2.638,6.027,1.000,0.320,0.800,4.550,110.000,0.800,0.090
44.000,2.777,6.547,1.000,0.310,1.500,5.220,208.000,0.300,0.190
4607.000,2.538,6.229,1.000,0.240,0.400,3.440,163.000,1.200,0.480
1315.000,2.793,6.607,1.000,0.350,0.200,1.980,106.000,3.500,0.300
1303.000,2.774,6.183,1.000,0.230,1.000,4.300,136.000,0.300,0.870
396.000,2.850,6.131,1.000,0.270,0.300,3.930,21.000,1.600,0.610
154.000,2.409,6.065,1.000,0.240,0.500,1.060,110.000,0.400,2.020
1453.000,2.610,6.639,1.000,0.380,0.800,3.580,188.000,0.900,0.200
5717.000,2.597,6.585,1.000,0.420,0.100,4.780,216.000,0.100,0.020
1907.000,2.760,6.603,1.000,0.380,0.800,4.860,66.000,2.900,0.210
1336.000,2.816,6.064,1.000,0.270,1.400,4.520,129.000,0.300,0.050
4425.000,2.617,5.809,1.000,0.350,0.600,4.010,154.000,0.800,0.460
10407.000,2.646,6.366,1.000,0.340,0.000,2.330,179.000,2.000,2.540
851.000,2.623,6.566,1.000,0.230,1.400,3.930,324.000,0.900,0.390
1169.000,2.395,6.033,1.000,0.310,1.500,3.560,346.000,0.200,0.860
1298.000,2.602,6.283,1.000,0.370,2.300,4.720,212.000,0.800,0.050
4489.000,2.723,6.300,1.000,0.250,3.200,4.320,313.000,1.700,0.510
1347.000,2.828,6.904,1.000,0.230,0.500,4.220,141.000,2.000,0.400
39.000,2.654,6.466,1.000,0.290,0.300,4.690,40.000,0.100,0.160
6138.000,2.553,5.373,1.000,0.130,0.700,5.430,93.000,0.700,0.140
1872.000,2.776,6.835,1.000,0.230,1.000,3.200,296.000,1.800,0.190
3076.000,2.345,6.906,1.000,0.340,1.100,4.910,215.000,0.600,0.440
2906.000,2.858,6.342,1.000,0.330,0.600,4.640,220.000,1.900,0.350
1740.000,2.620,6.310,1.000,0.230,1.800,4.650,186.000,0.700,0.520
1875.000,2.671,6.236,1.000,0.250,1.900,4.770,201.000,1.000,0.010
3535.000,2.666,6.488,1.000,0.280,0.500,4.300,59.000,0.400,0.030
72.000,2.562,6.829,1.000,0.250,2.100,3.630,5.000,0.500,0.490
1114.000,2.507,5.788,1.000,0.250,0.200,4.170,100.000,0.300,0.100
1393.000,2.699,5.862,1.000,0.260,0.300,4.710,61.000,0.200,0.250
550.000,2.710,6.356,1.000,0.290,0.600,3.650,289.000,2.000,0.380
1477.000,2.459,6.505,1.000,0.230,0.600,4.020,108.000,2.300,1.080
154.000,3.101,5.848,1.000,0.320,0.100,4.810,125.000,0.100,0.430
1067.000,2.820,6.932,1.000,0.200,1.300,3.620,363.000,4.600,0.580
2361.000,2.620,6.359,1.000,0.220,0.600,4.190,145.000,0.500,0.710
1316.000,2.662,6.298,1.000,0.260,2.100,3.580,338.000,1.200,0.310
3228.000,2.646,5.811,1.000,0.270,1.200,4.460,141.000,0.100,0.150
1409.000,2.630,6.003,1.000,0.270,0.500,5.590,79.000,0.300,0.320
1498.000,2.125,5.248,1.000,0.280,3.300,5.120,236.000,1.100,1.360
14494.000,2.507,6.490,1.000,0.270,0.600,2.780,339.000,2.100,0.070
2019.000,2.718,6.654,1.000,0.370,1.000,4.210,97.000,1.000,0.540
4280.000,2.601,6.613,1.000,0.300,2.100,4.640,190.000,0.300,0.260
1027.000,2.711,6.202,1.000,0.230,1.000,3.540,288.000,0.700,0.530
1707.000,2.443,6.806,1.000,0.310,2.700,4.310,173.000,0.600,0.120
2368.000,2.470,6.566,1.000,0.300,1.700,4.030,205.000,2.100,0.110
1355.000,2.680,6.237,1.000,0.240,1.000,5.070,223.000,0.100,0.360
4193.000,2.381,5.761,1.000,0.270,0.500,4.210,35.000,0.300,0.360
1587.000,2.600,6.087,1.000,0.310,1.800,4.050,88.000,1.000,0.270
3161.000,2.671,7.292,1.000,0.270,1.800,3.540,296.000,1.800,0.040
3044.000,2.590,6.528,1.000,0.280,0.600,4.100,182.000,0.200,0.050
5395.000,2.684,5.672,1.000,0.220,0.600,2.960,73.000,0.400,0.100
1411.000,2.747,6.472,1.000,0.300,1.500,5.200,214.000,0.200,0.220
987.000,2.800,6.902,1.000,0.420,2.000,5.530,210.000,1.100,0.030
1170.000,2.570,6.292,1.000,0.430,0.700,4.250,208.000,0.200,0.230
1308.000,2.239,6.402,1.000,0.280,0.100,4.400,114.000,0.800,0.360
1881.000,2.558,6.612,1.000,0.290,0.600,3.930,170.000,1.800,0.140
2830.000,2.639,6.283,1.000,0.280,1.000,4.790,223.000,0.100,0.090
1357.000,2.547,6.372,1.000,0.310,1.800,3.680,12.000,2.800,1.100
411.000,2.735,6.534,1.000,0.270,0.900,4.700,161.000,0.400,0.280
6130.000,2.422,6.024,1.000,0.310,0.500,3.960,118.000,0.200,0.780
982.000,2.563,6.259,1.000,0.250,1.400,4.700,163.000,0.300,0.000
1214.000,2.434,5.954,1.000,0.260,0.300,1.640,155.000,1.000,1.880
2623.000,2.738,6.930,1.000,0.380,1.600,4.230,367.000,1.600,0.340
2571.000,2.771,6.102,1.000,0.240,0.200,3.930,112.000,0.800,0.270
2577.000,2.476,6.312,1.000,0.200,0.900,4.400,243.000,0.900,0.280
3395.000,2.410,6.193,1.000,0.170,1.300,3.310,219.000,1.900,2.000
1286.000,2.569,6.176,1.000,0.250,0.600,3.340,78.000,1.200,0.970
2768.000,2.824,6.403,1.000,0.190,0.400,3.670,97.000,1.600,0.690
1159.000,2.434,6.247,1.000,0.290,0.900,3.850,60.000,0.500,0.130
1472.000,2.644,6.484,1.000,0.300,0.700,4.230,255.000,0.800,0.700
3168.000,2.605,5.571,1.000,0.300,0.900,4.100,169.000,0.800,0.270
1370.000,2.717,6.319,1.000,0.460,0.300,3.710,258.000,0.400,0.160
1344.000,2.850,5.927,1.000,0.330,0.200,4.240,142.000,0.100,0.450
1405.000,2.606,5.495,1.000,0.300,0.800,4.190,33.000,1.100,0.430
24.000,2.567,6.458,1.000,0.160,0.200,4.710,247.000,0.700,0.140
1726.000,2.560,5.744,1.000,0.310,0.800,5.410,201.000,0.300,0.300
1662.000,2.763,6.406,1.000,0.190,0.200,3.330,59.000,3.200,0.310
411.000,2.514,6.526,1.000,0.210,0.800,3.380,64.000,1.200,0.980
84.000,2.410,6.741,1.000,0.410,0.800,4.370,301.000,2.600,0.080
1606.000,2.480,6.308,1.000,0.250,0.600,4.310,292.000,0.600,0.030
127.000,2.520,5.826,1.000,0.310,0.500,4.340,82.000,0.300,0.590
5264.000,2.604,5.358,1.000,0.250,0.100,4.820,102.000,0.300,0.140
1127.000,2.618,5.818,1.000,0.230,1.100,4.880,28.000,1.100,0.020
1994.000,2.540,5.776,1.000,0.250,1.700,4.010,173.000,1.600,0.070
2949.000,2.708,6.344,1.000,0.300,0.900,5.000,231.000,0.100,0.230
2838.000,2.631,5.858,1.000,0.110,0.100,3.570,210.000,0.500,0.080
2829.000,2.548,5.635,1.000,0.320,0.400,4.580,136.000,0.800,0.180
20152.000,2.229,5.781,1.000,0.320,1.700,4.700,2.000,0.200,0.210
9687.000,2.554,6.577,1.000,0.160,0.300,3.970,144.000,0.300,0.190
1236.000,2.901,6.590,1.000,0.290,1.200,4.500,269.000,1.200,1.120
3413.000,2.346,6.256,1.000,0.370,0.200,2.600,121.000,0.400,0.340
1516.000,2.605,6.731,1.000,0.320,0.600,4.140,298.000,0.400,0.090
1293.000,2.633,6.618,1.000,0.310,2.300,5.040,243.000,0.300,0.270
211.000,2.870,6.289,1.000,0.310,1.900,4.460,233.000,1.800,0.070
1381.000,2.671,6.193,1.000,0.290,1.000,4.590,281.000,0.500,0.580
1380.000,2.812,6.413,1.000,0.250,0.100,3.540,22.000,3.000,1.020
1312.000,2.822,6.708,1.000,0.320,1.000,1.980,143.000,2.200,1.300
1426.000,2.664,6.488,1.000,0.240,1.100,2.440,202.000,2.800,1.870
9654.000,2.537,5.671,1.000,0.250,0.400,4.750,82.000,0.700,0.220
389.000,2.475,6.587,1.000,0.430,0.800,4.660,163.000,0.900,0.510
1915.000,2.402,6.080,1.000,0.300,0.700,4.950,153.000,0.600,0.250
987.000,2.610,6.632,1.000,0.280,1.700,4.980,273.000,1.100,0.400
3122.000,2.465,5.986,1.000,0.240,0.500,3.670,39.000,1.400,0.440
1241.000,2.615,6.740,1.000,0.370,2.600,4.600,111.000,1.900,0.330
3561.000,2.489,5.909,1.000,0.320,0.100,2.120,230.000,3.700,0.540
3198.000,2.681,5.800,1.000,0.260,1.300,4.790,31.000,0.000,0.290
3190.000,2.706,6.587,1.000,0.290,1.000,4.820,268.000,0.100,0.310
5385.000,2.610,5.992,1.000,0.420,0.800,3.640,261.000,0.300,0.120
154.000,2.633,6.184,1.000,0.380,3.300,4.560,256.000,0.500,0.330
535.000,2.648,6.036,1.000,0.460,0.500,4.700,202.000,1.000,0.420
3994.000,2.450,6.477,1.000,0.280,0.400,5.050,12.000,0.900,0.030
7241.000,2.590,5.732,1.000,0.180,0.400,0.680,243.000,2.400,1.990
2295.000,2.687,6.280,1.000,0.370,0.400,3.850,184.000,0.500,0.270
1137.000,2.696,5.574,1.000,0.260,1.000,1.980,204.000,1.100,1.840
6003.000,2.460,5.806,1.000,0.350,0.300,4.950,187.000,0.100,0.330
896.000,2.555,6.620,1.000,0.370,1.000,3.760,30.000,2.400,0.380
1513.000,2.680,5.926,1.000,0.330,0.100,3.900,133.000,0.600,0.770
1991.000,2.603,6.477,1.000,0.260,0.500,2.090,163.000,4.000,2.420
106.000,2.575,5.955,1.000,0.310,0.800,2.940,87.000,1.000,0.660
441.000,2.737,6.552,1.000,0.260,2.300,4.100,317.000,0.800,0.680
4067.000,2.747,6.490,1.000,0.270,0.100,2.960,275.000,1.300,1.150
1683.000,2.470,5.903,1.000,0.230,0.000,3.270,126.000,0.900,0.440
2926.000,2.905,6.560,1.000,0.280,0.900,5.180,210.000,0.000,0.140
1056.000,2.785,6.146,1.000,0.260,0.700,4.630,14.000,0.600,0.080
3026.000,2.664,6.933,1.000,0.270,1.100,4.270,370.000,0.600,0.870
129.000,2.597,7.225,1.000,0.270,0.800,4.240,275.000,2.900,0.060
1407.000,2.510,6.265,1.000,0.240,0.900,4.880,232.000,0.700,0.350
1523.000,2.362,6.057,1.000,0.150,0.400,4.020,160.000,0.500,0.450
1431.000,2.626,6.401,1.000,0.400,1.100,4.180,236.000,0.400,0.260
1328.000,2.620,6.503,1.000,0.290,0.300,1.100,307.000,2.000,2.590
1784.000,2.413,6.134,1.000,0.380,2.400,3.930,300.000,0.400,0.240
1322.000,2.877,6.056,1.000,0.260,0.700,4.700,125.000,0.400,0.050
3423.000,2.401,6.875,1.000,0.280,1.000,4.240,275.000,1.700,0.030
1828.000,2.520,5.858,1.000,0.100,1.200,1.080,36.000,1.800,0.980
1520.000,2.521,6.947,1.000,0.300,1.000,2.890,196.000,3.100,0.220
1575.000,2.755,6.098,1.000,0.210,0.600,4.020,103.000,0.100,0.560
3447.000,2.602,5.896,1.000,0.350,0.400,3.920,80.000,1.500,1.100
5913.000,2.490,6.542,1.000,0.270,1.600,4.350,360.000,5.000,0.880
1937.000,2.558,5.914,1.000,0.360,0.900,4.370,70.000,0.600,0.760
10363.000,2.566,6.218,1.000,0.170,1.300,0.660,4.000,2.400,1.850
7069.000,2.542,6.325,1.000,0.190,0.700,4.560,207.000,1.200,0.190
1057.000,3.002,7.267,1.000,0.260,1.100,4.360,194.000,1.100,0.120
1090.000,2.477,6.455,1.000,0.360,0.500,5.060,250.000,1.400,0.180
208.000,2.814,6.985,1.000,0.250,0.400,4.530,248.000,1.400,0.250
1832.000,2.499,6.648,1.000,0.300,0.200,0.840,116.000,3.100,2.110
904.000,2.640,5.953,1.000,0.220,1.400,4.670,109.000,0.300,0.820
7172.000,2.790,6.182,1.000,0.230,2.100,5.340,222.000,0.800,0.210
5614.000,2.657,6.007,1.000,0.220,0.200,3.340,117.000,0.100,0.410
2770.000,2.558,6.351,1.000,0.270,1.800,5.410,273.000,1.500,0.220
773.000,2.665,6.796,1.000,0.230,0.800,1.520,164.000,1.300,1.970
865.000,2.650,5.819,1.000,0.090,1.800,0.450,277.000,1.900,1.310
740.000,2.488,6.772,1.000,0.390,0.100,3.770,19.000,0.100,0.420
1077.000,2.435,6.502,1.000,0.240,0.000,3.780,18.000,1.300,0.220
1709.000,2.630,5.640,1.000,0.160,0.500,3.360,94.000,0.200,0.090
4193.000,2.591,6.177,1.000,0.300,1.600,3.610,250.000,0.500,0.530
3929.000,2.719,6.769,1.000,0.380,0.800,2.140,253.000,1.900,0.160
1272.000,2.445,5.823,1.000,0.240,1.000,4.250,81.000,0.300,0.210
1965.000,2.617,6.813,1.000,0.230,1.400,4.500,273.000,1.000,0.120
5549.000,2.497,5.795,1.000,0.200,0.400,4.750,304.000,1.000,0.320
1.000,2.539,5.890,1.000,0.200,0.100,3.240,16.000,0.600,0.820
1533.000,2.468,5.851,1.000,0.220,0.800,4.140,144.000,0.400,0.740
1161.000,2.647,6.443,1.000,0.140,1.200,4.550,311.000,1.200,0.060
1130.000,2.546,6.098,1.000,0.250,2.000,4.670,214.000,0.200,0.370
1773.000,2.760,6.156,1.000,0.270,1.000,3.850,133.000,1.000,0.170
5708.000,2.780,6.281,1.000,0.130,0.500,4.250,205.000,0.300,0.370
1323.000,2.524,6.257,1.000,0.220,0.600,2.360,125.000,0.600,0.900
1157.000,2.548,5.790,1.000,0.210,0.000,4.480,37.000,0.200,0.700
1262.000,2.630,6.286,1.000,0.110,0.700,1.630,181.000,3.900,1.090
1415.000,2.529,6.251,1.000,0.290,0.700,4.480,128.000,0.800,0.420
1959.000,2.610,6.177,1.000,0.190,0.700,4.270,170.000,1.000,0.290
1520.000,2.607,5.957,1.000,0.270,0.800,4.760,179.000,0.700,0.080
1530.000,2.472,6.181,1.000,0.390,1.100,3.990,212.000,0.100,0.350
1705.000,2.488,6.041,1.000,0.280,0.100,4.550,52.000,0.200,0.430
1038.000,2.414,6.250,1.000,0.260,0.400,3.680,147.000,1.900,0.960
843.000,2.817,5.990,1.000,0.280,0.200,5.010,59.000,0.200,0.200
1963.000,2.770,7.004,1.000,0.290,1.000,3.830,49.000,4.500,1.320
4611.000,2.719,5.957,1.000,0.260,0.600,4.240,46.000,0.400,0.590
1548.000,2.546,5.708,1.000,0.240,0.300,2.540,112.000,0.400,0.480
8637.000,2.490,5.870,1.000,0.260,1.300,5.060,157.000,0.400,0.190
1042.000,2.543,6.288,1.000,0.240,1.900,4.100,251.000,0.700,0.140
1844.000,2.510,5.581,1.000,0.250,0.500,4.170,194.000,0.000,1.050
4575.000,2.633,6.013,1.000,0.180,0.500,3.750,211.000,1.000,0.090
1532.000,2.391,6.006,1.000,0.360,0.400,3.630,36.000,0.400,0.290
3380.000,2.910,6.263,1.000,0.240,0.200,1.200,63.000,2.400,2.690
2926.000,2.740,5.802,1.000,0.260,1.000,4.550,4.000,1.000,0.320
2356.000,2.406,6.343,1.000,0.360,0.200,4.640,256.000,0.900,0.040
5708.000,2.614,5.890,1.000,0.280,0.200,4.310,163.000,0.400,0.410
6082.000,2.672,6.556,1.000,0.290,0.700,4.360,204.000,2.100,0.570
1428.000,2.622,5.994,1.000,0.160,0.500,2.640,55.000,1.700,1.260
1722.000,2.595,6.809,1.000,0.330,2.200,3.900,257.000,0.500,0.900
4062.000,2.492,6.107,1.000,0.190,0.400,3.020,41.000,2.100,1.020
548.000,2.729,7.323,1.000,0.390,2.900,2.860,331.000,0.700,0.530
