time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
5460.000,3.000,6.000,1.000,3.000,0.274,0.648,0.845,0.887,0.244,0.107,0.779,0.313,0.872,0.700
2601.000,3.000,6.000,1.000,3.000,0.189,0.476,0.830,0.856,0.179,0.152,0.739,0.386,0.737,0.629
758.000,3.000,7.000,1.000,3.000,0.292,0.648,0.821,0.867,0.149,0.102,0.778,0.368,0.571,0.571
1172.000,2.423,6.000,1.000,0.000,0.222,0.429,0.841,0.911,0.273,0.071,0.834,0.576,0.692,0.457
1196.000,3.000,5.972,1.000,0.000,0.283,0.524,0.822,0.865,0.160,0.046,0.772,0.623,0.835,0.671
1994.000,2.000,6.000,1.000,3.000,0.217,0.514,0.768,0.837,0.229,0.107,0.805,0.368,0.722,0.700
2622.000,3.000,6.000,1.000,0.000,0.307,0.400,0.689,0.691,0.475,0.244,0.636,0.618,0.774,0.657
1257.000,2.000,6.000,1.000,3.000,0.274,0.543,0.755,0.770,0.183,0.218,0.690,0.466,0.827,0.614
1332.000,3.000,6.000,1.000,0.000,0.231,0.543,0.833,0.876,0.247,0.117,0.776,0.399,0.887,0.657
2803.000,3.000,6.000,1.000,0.000,0.245,0.390,0.776,0.874,0.317,0.051,0.869,0.548,0.925,0.700
2894.000,2.639,7.000,1.000,3.000,0.245,0.505,0.844,0.876,0.161,0.244,0.758,0.366,0.662,0.657
1562.000,2.501,6.000,1.000,0.000,0.302,0.552,0.816,0.877,0.396,0.066,0.806,0.398,0.812,0.629
3234.000,3.000,6.000,1.000,0.000,0.307,0.590,0.804,0.851,0.183,0.112,0.773,0.462,0.910,0.700
1231.000,3.000,7.000,1.000,0.000,0.288,0.543,0.829,0.837,0.252,0.173,0.702,0.685,0.534,0.614
1513.000,3.000,6.000,1.000,0.000,0.226,0.410,0.795,0.790,0.492,0.107,0.664,0.626,0.812,0.600
1404.000,3.000,7.000,1.000,0.000,0.278,0.486,0.814,0.872,0.333,0.051,0.801,0.560,0.782,0.657
1611.000,3.000,7.000,1.000,0.000,0.241,0.581,0.787,0.863,0.286,0.091,0.826,0.535,0.887,0.686
4583.000,2.836,6.000,1.000,0.000,0.222,0.524,0.829,0.866,0.192,0.081,0.762,0.595,0.729,0.614
424.000,3.000,6.000,1.000,0.000,0.255,0.571,0.806,0.893,0.226,0.076,0.857,0.580,0.880,0.629
2766.000,3.000,6.000,1.000,0.000,0.288,0.524,0.786,0.842,0.317,0.091,0.784,0.618,0.654,0.543
1590.000,2.853,6.000,1.000,0.000,0.274,0.476,0.837,0.846,0.386,0.096,0.707,0.464,0.586,0.500
5788.000,3.000,6.000,1.000,0.000,0.255,0.486,0.754,0.849,0.377,0.036,0.854,0.560,0.895,0.714
1007.000,3.000,7.000,1.000,3.000,0.241,0.714,0.812,0.867,0.149,0.107,0.794,0.407,0.880,0.643
210.000,2.867,7.000,1.000,3.000,0.288,0.667,0.839,0.899,0.125,0.147,0.813,0.282,0.737,0.529
6207.000,2.000,6.000,1.000,0.000,0.278,0.505,0.822,0.870,0.260,0.056,0.782,0.572,0.865,0.657
514.000,2.389,6.000,1.000,0.000,0.283,0.419,0.831,0.836,0.330,0.157,0.697,0.909,0.910,0.714
4179.000,2.000,7.000,1.000,0.000,0.245,0.552,0.798,0.857,0.287,0.041,0.795,0.532,0.767,0.600
3157.000,3.000,6.000,1.000,4.000,0.259,0.495,0.810,0.753,0.256,0.310,0.561,0.889,0.594,0.429
146.000,3.000,6.000,1.000,2.000,0.269,0.295,0.684,0.686,0.464,0.147,0.636,0.454,0.887,0.671
1505.000,2.915,7.000,1.000,0.000,0.259,0.505,0.869,0.918,0.311,0.112,0.801,0.708,0.910,0.686
945.000,3.000,6.000,1.000,0.000,0.274,0.448,0.820,0.822,0.399,0.127,0.685,0.304,0.797,0.686
1737.000,2.000,6.000,1.000,0.000,0.325,0.514,0.819,0.880,0.241,0.061,0.808,0.678,0.865,0.700
1338.000,2.000,7.000,1.000,0.000,0.179,0.438,0.827,0.835,0.235,0.183,0.701,0.594,0.767,0.671
993.000,2.000,6.000,1.000,0.000,0.255,0.410,0.826,0.877,0.446,0.081,0.790,0.497,0.917,0.686
1452.000,2.000,7.000,1.000,3.000,0.236,0.571,0.838,0.876,0.248,0.178,0.766,0.345,0.827,0.600
8446.000,2.619,7.000,1.000,3.000,0.203,0.581,0.820,0.854,0.143,0.208,0.752,0.540,0.767,0.629
1047.000,3.000,7.000,1.000,3.000,0.264,0.476,0.790,0.866,0.244,0.173,0.828,0.239,0.842,0.629
1126.000,2.378,7.000,1.000,3.000,0.226,0.571,0.808,0.873,0.135,0.142,0.811,0.386,0.880,0.657
422.000,2.568,7.000,1.000,3.000,0.264,0.476,0.796,0.866,0.230,0.299,0.819,0.291,0.895,0.671
6036.000,3.000,6.000,1.000,0.000,0.274,0.543,0.837,0.849,0.355,0.041,0.714,0.383,0.925,0.700
1559.000,3.000,6.000,1.000,0.000,0.264,0.571,0.880,0.922,0.345,0.036,0.792,0.677,0.902,0.686
7188.000,3.000,6.000,1.000,0.000,0.259,0.533,0.837,0.873,0.299,0.061,0.763,0.616,0.684,0.629
5384.000,2.000,6.000,1.000,3.000,0.255,0.381,0.810,0.853,0.308,0.056,0.766,0.273,0.579,0.657
126.000,2.650,6.000,1.000,0.000,0.264,0.410,0.849,0.856,0.372,0.061,0.707,0.334,0.774,0.729
1155.000,3.000,6.000,1.000,0.000,0.226,0.429,0.779,0.858,0.330,0.107,0.831,0.277,0.917,0.700
518.000,2.000,7.000,1.000,0.000,0.288,0.438,0.822,0.880,0.234,0.086,0.803,0.585,0.707,0.557
4331.000,3.000,7.000,1.000,3.000,0.307,0.676,0.794,0.857,0.152,0.168,0.802,0.433,0.571,0.314
1406.000,3.000,6.000,1.000,0.000,0.274,0.457,0.873,0.899,0.315,0.046,0.756,0.377,0.835,0.671
5793.000,3.000,6.000,1.000,0.000,0.269,0.457,0.787,0.795,0.327,0.132,0.687,0.595,0.872,0.657
111.000,3.000,7.000,1.000,3.000,0.226,0.629,0.868,0.858,0.290,0.188,0.680,0.362,0.684,0.557
856.000,3.000,7.000,1.000,0.000,0.226,0.514,0.801,0.859,0.188,0.091,0.794,0.525,0.805,0.643
2798.000,3.000,7.000,1.000,0.000,0.288,0.629,0.809,0.870,0.267,0.076,0.804,0.778,0.932,0.729
5521.000,2.000,7.000,1.000,0.000,0.297,0.514,0.708,0.688,0.152,0.239,0.598,0.502,0.872,0.614
1093.000,3.000,7.000,1.000,3.000,0.264,0.619,0.801,0.852,0.257,0.198,0.780,0.490,0.594,0.371
1242.000,3.000,6.000,1.000,0.000,0.212,0.657,0.862,0.888,0.341,0.152,0.751,0.675,0.489,0.586
1564.000,2.734,6.000,1.000,0.000,0.292,0.486,0.849,0.887,0.497,0.041,0.772,0.649,0.812,0.671
1155.000,2.512,6.000,1.000,0.000,0.226,0.429,0.779,0.858,0.330,0.107,0.831,0.277,0.917,0.700
3178.000,3.000,7.000,1.000,0.000,0.231,0.410,0.736,0.711,0.333,0.188,0.600,0.381,0.797,0.600
343.000,2.824,6.715,1.000,3.000,0.283,0.429,0.619,0.642,0.230,0.284,0.654,0.305,0.774,0.700
1351.000,3.000,6.000,1.000,3.000,0.241,0.638,0.852,0.923,0.103,0.102,0.842,0.501,0.647,0.471
2663.000,3.000,6.000,1.000,0.000,0.259,0.486,0.810,0.803,0.399,0.081,0.664,0.406,0.917,0.686
2764.000,3.000,7.000,1.000,0.000,0.179,0.571,0.765,0.857,0.169,0.086,0.852,0.640,0.902,0.671
35.000,2.649,7.000,1.000,0.000,0.269,0.514,0.853,0.885,0.285,0.096,0.761,0.582,0.774,0.729
735.000,3.000,6.000,1.000,0.000,0.292,0.448,0.828,0.855,0.399,0.071,0.741,0.622,0.887,0.671
3005.000,3.000,6.582,1.000,3.000,0.226,0.752,0.818,0.867,0.182,0.046,0.782,0.253,0.805,0.600
1249.000,2.638,6.000,1.000,0.000,0.292,0.457,0.745,0.749,0.405,0.228,0.663,0.435,0.669,0.514
5838.000,2.477,6.000,1.000,0.000,0.255,0.457,0.795,0.852,0.460,0.046,0.790,0.221,0.910,0.686
1626.000,3.000,6.000,1.000,0.000,0.236,0.448,0.810,0.872,0.400,0.091,0.808,0.390,0.714,0.600
1278.000,2.533,6.000,1.000,3.000,0.231,0.486,0.598,0.707,0.176,0.223,0.824,0.232,0.955,0.643
1080.000,2.864,6.000,1.000,0.000,0.255,0.571,0.820,0.895,0.266,0.102,0.836,0.399,0.902,0.657
5473.000,2.607,5.978,1.000,3.000,0.288,0.619,0.870,0.907,0.147,0.091,0.776,0.439,0.699,0.500
490.000,2.000,7.000,1.000,0.000,0.255,0.476,0.850,0.864,0.362,0.249,0.723,0.431,0.887,0.643
2649.000,2.769,7.000,1.000,3.000,0.231,0.581,0.855,0.897,0.241,0.086,0.783,0.402,0.684,0.443
1496.000,2.000,6.000,1.000,0.000,0.241,0.457,0.821,0.855,0.365,0.066,0.752,0.706,0.692,0.586
1621.000,2.596,6.000,1.000,0.000,0.250,0.638,0.842,0.882,0.153,0.173,0.773,0.531,0.865,0.671
4629.000,3.000,7.000,1.000,0.000,0.236,0.333,0.707,0.703,0.320,0.178,0.632,0.390,0.820,0.671
1568.000,2.384,6.626,1.000,3.000,0.250,0.714,0.809,0.870,0.119,0.162,0.804,0.508,0.707,0.629
1706.000,2.572,6.000,1.000,0.000,0.292,0.400,0.814,0.890,0.386,0.056,0.835,0.813,0.910,0.714
2712.000,3.000,7.000,1.000,0.000,0.231,0.495,0.812,0.866,0.230,0.046,0.790,0.561,0.722,0.614
4248.000,3.000,6.000,1.000,0.000,0.283,0.524,0.782,0.845,0.246,0.091,0.799,0.494,0.767,0.643
1194.000,3.000,6.000,1.000,0.000,0.231,0.543,0.804,0.848,0.253,0.061,0.765,0.532,0.857,0.657
7379.000,2.000,6.000,1.000,0.000,0.283,0.505,0.760,0.832,0.198,0.030,0.809,0.436,0.895,0.729
4144.000,2.000,7.000,1.000,3.000,0.241,0.581,0.794,0.827,0.440,0.173,0.740,0.151,0.511,0.500
2717.000,3.000,7.000,1.000,0.000,0.264,0.467,0.759,0.817,0.181,0.203,0.779,0.496,0.699,0.700
3145.000,2.000,6.000,1.000,0.000,0.302,0.343,0.618,0.663,0.348,0.178,0.701,0.483,0.774,0.600
1636.000,3.000,7.000,1.000,0.000,0.179,0.486,0.818,0.838,0.380,0.198,0.723,0.575,0.677,0.557
4003.000,2.000,7.139,1.000,3.000,0.217,0.514,0.803,0.869,0.131,0.305,0.813,0.491,0.729,0.543
3083.000,3.000,6.000,1.000,0.000,0.259,0.419,0.783,0.801,0.292,0.198,0.705,0.553,0.910,0.671
3265.000,2.705,6.000,1.000,0.000,0.274,0.448,0.852,0.897,0.308,0.056,0.788,0.388,0.684,0.529
1405.000,2.450,6.000,1.000,0.000,0.264,0.390,0.774,0.788,0.308,0.157,0.693,0.654,0.925,0.743
7317.000,2.399,6.000,1.000,0.000,0.274,0.438,0.849,0.873,0.360,0.025,0.742,0.797,0.850,0.700
3001.000,3.000,6.000,1.000,3.000,0.198,0.514,0.796,0.862,0.200,0.183,0.810,0.258,0.737,0.643
2085.000,2.000,6.000,1.000,0.000,0.222,0.438,0.633,0.724,0.338,0.107,0.800,0.414,0.767,0.614
1494.000,2.000,6.000,1.000,0.000,0.241,0.562,0.818,0.841,0.319,0.112,0.730,0.653,0.549,0.357
1621.000,3.000,6.000,1.000,3.000,0.264,0.486,0.844,0.855,0.314,0.193,0.714,0.352,0.714,0.471
3973.000,3.000,7.000,1.000,3.000,0.193,0.629,0.808,0.848,0.128,0.157,0.759,0.472,0.737,0.657
1325.000,2.000,6.000,1.000,0.000,0.264,0.629,0.792,0.743,0.247,0.137,0.571,0.531,0.797,0.571
924.000,3.000,6.000,1.000,0.000,0.269,0.438,0.853,0.880,0.377,0.071,0.751,0.340,0.902,0.671
1428.000,3.000,6.000,1.000,0.000,0.302,0.381,0.589,0.639,0.401,0.107,0.700,0.300,0.789,0.614
1401.000,2.000,6.000,1.000,2.000,0.288,0.343,0.794,0.719,0.614,0.102,0.518,0.491,0.662,0.586
1557.000,3.000,6.000,1.000,0.000,0.264,0.486,0.847,0.893,0.384,0.041,0.786,0.498,0.842,0.671
1378.000,3.000,7.000,1.000,3.000,0.269,0.648,0.781,0.842,0.251,0.107,0.793,0.271,0.609,0.614
1606.000,3.000,6.000,1.000,1.000,0.283,0.333,0.660,0.601,0.396,0.213,0.499,0.631,0.857,0.600
552.000,3.000,6.000,1.000,3.000,0.250,0.667,0.831,0.879,0.258,0.066,0.786,0.139,0.835,0.643
1277.000,3.000,6.000,1.000,3.000,0.274,0.552,0.851,0.905,0.333,0.056,0.804,0.293,0.647,0.529
2996.000,2.473,6.000,1.000,0.000,0.288,0.638,0.872,0.884,0.355,0.102,0.726,0.389,0.895,0.686
1206.000,2.000,7.000,1.000,0.000,0.259,0.552,0.803,0.890,0.210,0.041,0.854,0.542,0.820,0.643
1427.000,3.000,6.000,1.000,0.000,0.236,0.505,0.804,0.849,0.200,0.188,0.770,0.701,0.586,0.400
24.000,2.551,6.000,1.000,1.000,0.307,0.419,0.616,0.609,0.412,0.254,0.592,0.359,0.932,0.714
1528.000,2.648,7.000,1.000,0.000,0.241,0.581,0.829,0.875,0.207,0.117,0.780,0.695,0.797,0.557
1415.000,2.000,7.000,1.000,3.000,0.274,0.657,0.828,0.873,0.146,0.198,0.780,0.482,0.602,0.429
4832.000,2.000,6.000,1.000,0.000,0.269,0.533,0.817,0.877,0.167,0.056,0.804,0.636,0.872,0.600
917.000,3.000,6.687,1.000,3.000,0.193,0.514,0.743,0.832,0.211,0.330,0.838,0.336,0.910,0.657
8133.000,3.000,6.000,1.000,0.000,0.292,0.495,0.811,0.874,0.189,0.102,0.809,0.499,0.744,0.614
5672.000,3.000,6.000,1.000,0.000,0.269,0.429,0.829,0.864,0.358,0.076,0.758,0.737,0.880,0.671
97.000,3.000,6.000,1.000,0.000,0.250,0.600,0.828,0.884,0.292,0.036,0.800,0.578,0.880,0.671
1955.000,3.000,6.000,1.000,3.000,0.274,0.733,0.799,0.834,0.390,0.107,0.747,0.331,0.857,0.671
1544.000,3.000,6.000,1.000,0.000,0.226,0.486,0.839,0.891,0.336,0.056,0.796,0.458,0.827,0.671
5483.000,3.000,6.000,1.000,0.000,0.278,0.390,0.811,0.888,0.180,0.076,0.838,0.497,0.812,0.686
3870.000,3.000,6.000,1.000,0.000,0.231,0.429,0.822,0.858,0.462,0.076,0.756,0.675,0.662,0.600
1441.000,3.000,7.000,1.000,3.000,0.255,0.514,0.782,0.843,0.254,0.081,0.793,0.325,0.639,0.557
3349.000,3.000,6.000,1.000,0.000,0.297,0.505,0.841,0.837,0.325,0.086,0.683,0.576,0.857,0.643
3417.000,2.000,5.000,1.000,0.000,0.274,0.429,0.872,0.877,0.462,0.030,0.712,0.644,0.744,0.657
899.000,2.000,6.000,1.000,0.000,0.274,0.524,0.789,0.862,0.283,0.061,0.822,0.484,0.767,0.700
21.000,3.000,7.000,1.000,3.000,0.231,0.590,0.826,0.869,0.196,0.142,0.772,0.273,0.511,0.314
5501.000,2.353,6.599,1.000,0.000,0.264,0.524,0.829,0.878,0.166,0.132,0.788,0.632,0.812,0.671
107.000,2.690,6.000,1.000,3.000,0.217,0.514,0.841,0.876,0.180,0.086,0.762,0.484,0.654,0.443
2683.000,2.000,6.221,1.000,0.000,0.283,0.390,0.825,0.852,0.466,0.051,0.741,0.598,0.699,0.600
1023.000,3.000,7.000,1.000,3.000,0.255,0.571,0.789,0.857,0.125,0.147,0.811,0.514,0.722,0.414
1866.000,2.000,6.000,1.000,0.000,0.255,0.600,0.789,0.882,0.279,0.076,0.862,0.580,0.842,0.671
6814.000,3.000,6.000,1.000,0.000,0.274,0.514,0.811,0.857,0.287,0.127,0.774,0.550,0.842,0.671
2656.000,3.000,7.000,1.000,0.000,0.283,0.429,0.769,0.777,0.213,0.284,0.680,0.505,0.692,0.600
1488.000,2.474,6.000,1.000,0.000,0.278,0.429,0.827,0.858,0.358,0.142,0.749,0.636,0.774,0.671
1692.000,3.000,6.007,1.000,0.000,0.307,0.514,0.853,0.895,0.234,0.086,0.781,0.629,0.902,0.471
2942.000,3.000,7.000,1.000,3.000,0.283,0.495,0.706,0.739,0.216,0.259,0.709,0.475,0.662,0.429
1223.000,2.672,6.000,1.000,0.000,0.236,0.467,0.804,0.847,0.260,0.041,0.765,0.451,0.729,0.629
1148.000,3.000,7.000,1.000,3.000,0.302,0.610,0.853,0.898,0.232,0.137,0.789,0.280,0.677,0.586
1397.000,3.000,6.228,1.000,3.000,0.269,0.552,0.814,0.859,0.121,0.112,0.773,0.419,0.759,0.529
1362.000,3.000,7.000,1.000,3.000,0.269,0.619,0.853,0.873,0.312,0.096,0.735,0.352,0.609,0.386
1191.000,3.000,6.000,1.000,0.000,0.264,0.448,0.842,0.888,0.397,0.066,0.785,0.477,0.962,0.771
1755.000,3.000,5.000,1.000,0.000,0.340,0.448,0.729,0.716,0.341,0.081,0.621,0.649,0.744,0.543
1032.000,2.620,6.000,1.000,3.000,0.354,0.438,0.697,0.712,0.208,0.249,0.667,0.176,0.602,0.386
2317.000,3.000,5.905,1.000,2.000,0.274,0.410,0.686,0.694,0.528,0.147,0.648,0.343,0.910,0.714
897.000,3.000,6.000,1.000,0.000,0.193,0.390,0.845,0.887,0.479,0.056,0.779,0.367,0.707,0.471
1669.000,3.000,7.000,1.000,3.000,0.241,0.581,0.814,0.874,0.100,0.173,0.803,0.287,0.699,0.586
383.000,2.000,6.000,1.000,0.000,0.255,0.438,0.775,0.781,0.332,0.061,0.679,0.418,0.692,0.629
16826.000,3.000,6.748,1.000,0.000,0.283,0.552,0.833,0.868,0.346,0.096,0.760,0.490,0.767,0.643
1454.000,3.000,6.922,1.000,3.000,0.245,0.762,0.768,0.846,0.079,0.162,0.824,0.478,0.466,0.343
7951.000,3.000,7.000,1.000,3.000,0.269,0.448,0.571,0.625,0.238,0.254,0.701,0.346,0.797,0.657
1666.000,3.000,6.000,1.000,0.000,0.255,0.362,0.756,0.779,0.374,0.025,0.704,0.414,0.835,0.629
94.000,3.000,7.000,1.000,0.000,0.193,0.533,0.837,0.895,0.129,0.096,0.808,0.532,0.887,0.643
