time_betw_scan_min,CA,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
20169,2.744,6.73,Failed,19.55,2.05,11.4,40.99,40.12,163,7.6,-0.87,157,9.4,-0.79,-0.29
1774,2.77,7.012,Failed,24.3,1.99,12.8,39.18,38.95,163,7.4,-0.23,136,9.63,-0.13,-0.1
52,2.919,5.707,Failed,23.03,2.02,9.5,39.1,38.03,1028,7.1,-1.07,21,11.21,-0.07,0.02
2874,2.56,6.099,Failed,19.63,2.09,9.1,35.73,31.92,767,9,-3.81,21,11.38,-0.05,0
3991,2.561,6.618,Failed,22.57,2.06,10.6,39.7,38.63,195,11.6,-1.07,76,11.99,-0.87,-0.28
3867,2.6,7.323,Failed,21.32,2.09,10.2,36.7,32.04,348,20.4,-4.66,81,15.36,-0.06,0.01
956,2.72,6.875,Failed,24.73,1.96,11.4,40.68,39.89,267,11.5,-0.79,66,10.79,-0.17,-0.06
1333,2.532,5.895,Failed,19.47,2.21,11.2,44.71,43.9,402,5.2,-0.81,20,12.37,-0.4,0
1372,2.603,7.26,Failed,24.77,2.06,11.4,40.12,39.68,165,7.3,-0.44,31,10.65,-0.13,-0.05
1551,2.635,7.112,Failed,24.28,1.92,10.2,39.35,37.88,330,12.5,-1.47,31,11.96,-0.64,-0.23
1649,2.35,5.882,Failed,20.93,9.03,-3668.2,-6.34,-9.65,-1,14.9,-3.31,,13.38,3.17,10.05
1135,2.657,7.157,Failed,20.97,2.07,12.2,40.85,39.2,257,11.6,-1.65,81,13.48,-0.76,-0.21
3356,2.534,7.277,Failed,21.47,2.1,9.1,37.25,33.57,399,12.3,-3.68,32,11.24,-0.01,0
1438,2.468,6.821,Failed,22.32,2.15,9.7,38.03,35.97,225,11.4,-2.06,63,12.55,-0.1,-0.05
2453,2.807,5.387,Failed,22.48,2.01,10.1,40.64,39.61,1012,5.6,-1.03,21,11.64,-0.07,-0.03
1536,2.229,6.824,Failed,22.27,1.95,12.9,39.87,39.42,184,5.1,-0.45,36,11.76,-0.12,-0.14
10339,2.632,6.277,Failed,28.12,2.1,9.9,38.15,34.48,567,12.9,-3.67,31,16.68,-0.53,-0.23
1288,2.51,7.393,Failed,25.57,2.04,12.7,40.97,40.3,153,9.4,-0.67,196,11.85,-0.35,-0.11
2777,2.626,6.706,Failed,23.6,2.18,10.2,38.36,35.45,399,12.1,-2.91,32,13.14,-0.23,-0.06
1587,2.55,6.92,Failed,21.93,2.14,8.8,35.97,32.56,295,20.5,-3.41,64,12.22,-0.43,-0.1
312,2.62,6.655,Failed,27,2.18,11.7,37.87,35.74,211,12.4,-2.13,81,14.04,-0.38,-0.08
1504,2.649,6.8,Failed,20.92,1.93,12.9,40.5,39.46,283,12.8,-1.04,66,12.25,-0.44,-0.1
278,2.724,6.762,Failed,21.03,2.08,11,39.39,36.65,636,18.6,-2.74,21,12,-1.35,-0.6
144,3,5.94,Failed,21.47,2.01,10,41.6,41.19,1051,5.5,-0.41,21,11.01,-0.05,0.03
2446,2.49,5.943,Failed,22.38,2.2,9,36.7,32.92,754,12.4,-3.78,21,13.13,-0.21,-0.04
5433,2.808,5.395,Failed,22.32,42.82,-4583.6,-14.83,-3.79,0,5.4,11.04,,13.92,-12.18,15.56
1432,2.89,5.472,Failed,20.53,1.99,9.8,41.56,40.4,1357,5.2,-1.16,22,9.51,-0.04,0.02
3089,2.684,6.757,Failed,21.75,2.06,9.6,38.37,34.9,464,12.2,-3.47,32,13.68,-0.08,-0.01
1889,2.71,5.516,Failed,21.52,2.02,9.8,42.31,41.22,1152,4.8,-1.09,21,11.33,0,0.02
1325,2.412,6.798,Failed,19.73,1.88,10.2,38.31,34.41,510,14.8,-3.9,21,13.34,-0.46,-0.09
1224,2.338,7.182,Failed,19.93,2.06,12.4,40.41,40.17,165,9.4,-0.24,195,10.92,-0.1,-0.01
2605,2.295,6.843,Failed,23.97,2.21,8.4,35.65,31.44,463,14,-4.21,31,13.46,-0.24,-0.02
2749,2.71,5.883,Failed,23.88,2.25,8.3,30.69,24.16,1316,8.8,-6.53,21,13.18,-0.1,-0.01
1500,2.749,6.853,Failed,23.55,2.27,10.5,35.52,33.32,472,8.5,-2.2,21,11.68,-0.08,0.01
1711,2.721,7.33,Failed,21.02,2.37,10.1,31.72,26.97,468,12.5,-4.75,21,11.82,-0.12,-0.08
1060,2.585,6.735,Failed,21.62,2.05,10,34.88,32.39,382,10.3,-2.49,32,11.94,0,0
2879,2.418,7.397,Failed,19.57,1.95,12.7,41.13,38.55,388,16,-2.58,36,12.61,-0.44,-0.15
1303,2.528,7.316,Failed,22.2,1.87,11.2,41.24,40.1,281,11.3,-1.14,44,10.55,-0.35,-0.16
4469,2.469,6.298,Failed,21.17,2.21,10.8,39.95,31.98,733,10.4,-7.97,21,15.23,-0.21,-0.04
1730,2.421,6.303,Failed,22.02,2.07,9.2,37.16,35.21,1019,6,-1.95,22,10.76,0.01,-0.05
18791,2.841,6.273,Failed,19.92,1,11,42.12,41.68,278,6.3,-0.44,36,13.76,-0.98,-0.53
74,2.858,7.144,Failed,17.02,2.07,13,40.26,39.87,190,8.4,-0.39,96,10.06,-0.1,-0.09
2657,2.723,6.028,Failed,26.73,1.51,4.6,31.25,29.4,1091,6.8,-1.85,20,6.83,4.6,-0.91
1758,2.95,6.636,Failed,26.1,1.98,10.1,39.15,38.31,273,11.6,-0.84,44,12.41,-0.67,-0.3
2030,2.67,6.84,Failed,22.13,1.88,11.1,40.79,40.49,158,8.7,-0.3,143,14.67,-0.49,-0.17
7635,2.587,6.117,Failed,21.22,2.25,8.9,34.81,30.13,603,13.9,-4.68,21,13.62,-0.14,-0.02
4041,2.68,6.091,Failed,16.72,2.03,10.1,37.3,32.46,319,13.8,-4.84,64,16.01,-0.68,-0.09
1320,2.76,5.745,Failed,29.03,2.12,10.4,36.98,33.79,604,11.4,-3.19,32,12.95,-0.28,-0.07
1595,2.538,6.495,Failed,24.5,2.11,11.8,40.07,38.57,167,12,-1.5,196,15.46,-0.5,-0.03
1503,2.709,6.038,Failed,20.77,2.17,9.3,35.51,32.53,671,9.7,-2.98,21,16.49,-0.01,0.02
1300,2.698,5.859,Failed,21.7,2.03,9.8,41.84,40.53,1018,5.3,-1.31,22,10.77,-0.29,0.01
2621,2.501,5.174,Failed,23.95,2.17,8.7,39.9,36.01,1074,5.6,-3.89,21,13.73,-0.09,0
1466,2.516,5.554,Failed,23.5,2.25,8.8,36.19,32.11,676,23.4,-4.08,21,12.67,-0.14,0.04
1523,2.874,6.606,Failed,22.25,2.07,10.6,39.41,37.09,303,14.4,-2.32,32,14.69,-1.03,-0.17
4390,2.86,6.113,Failed,23.38,2.04,9.7,38.33,34.82,1057,9.2,-3.51,21,13.52,-0.48,-0.03
1227,2.737,6.865,Failed,21.72,2.13,12,39.48,36.07,1012,9.3,-3.41,21,14.84,-0.27,-0.03
1438,2.207,5.111,Failed,22.6,2.02,9.3,41.98,39.88,1731,5.3,-2.1,21,11.18,-0.29,0.01
2077,2.6,6.748,Failed,25.52,2.16,9,34.82,31.39,691,12.9,-3.43,21,13.28,-0.35,0.03
481,2.712,6.757,Failed,23.53,2.02,11.4,41.53,41.19,168,6.9,-0.34,112,12.63,-0.05,-0.04
1645,2.572,7.201,Failed,19.98,2.09,12.4,8.01,40.54,258,12.2,32.53,68,10.36,0.75,-0.32
1051,2.663,6.912,Failed,21.57,2.04,10.1,35.76,32.29,441,11.4,-3.47,35,12.43,-0.26,-0.12
1290,2.47,7.176,Failed,20.33,2.01,14.5,40.69,40.04,337,11.4,-0.65,41,12.28,-0.07,0
202,2.359,5.538,Failed,22.27,2.02,10.1,41.67,40.45,1173,5.2,-1.22,21,8.83,-0.05,0.03
1128,2.406,5.833,Failed,18.73,2.01,9.8,41.58,39.27,1012,7.4,-2.31,21,10.28,-0.2,0.02
1559,2.532,7.24,Failed,22.68,2.06,11.5,41.25,39.55,267,11.8,-1.7,65,9.52,-0.63,-0.21
4982,2.543,5.677,Failed,19.7,2.02,9.6,42.15,41.69,1402,5.4,-0.46,21,12.02,-0.3,-0.08
5002,2.65,5.916,Failed,22.68,2,9.3,41.38,40.71,1315,6,-0.67,22,12.53,-0.38,-0.1
143,2.456,6.558,Failed,28.12,2.1,12.1,33.76,30.61,307,10.2,-3.15,36,12.92,-0.09,-0.01
110,2.487,6.029,Failed,28.03,2,15.7,40.75,40.45,222,5.3,-0.3,67,11.71,-0.08,-0.04
1512,2.536,6.629,Failed,22.37,1.99,12.2,41.12,40.46,194,7,-0.66,76,9.23,-0.09,-0.04
789,2.698,6.177,Failed,28,2,16.5,41.1,40.63,224,5.5,-0.47,66,11.36,-0.2,-0.05
950,2.67,6.717,Failed,23.68,1.86,12.7,41.32,40.76,167,7.7,-0.56,195,9.6,-0.48,-0.28
2797,2.913,6.88,Failed,26.1,1.95,9.4,35.09,33.27,400,16.9,-1.82,81,13.37,-1.67,-0.51
226,2.55,6.848,Failed,28.55,2.14,10.8,38.95,37.2,173,11,-1.75,136,11.38,-0.32,-0.16
2683,2.39,6.025,Failed,28.3,2.02,11.1,34.76,29.48,588,11.7,-5.28,36,15.9,-0.15,-0.08
2521,2.613,6.64,Failed,19.22,1.95,12.8,41.6,41.03,159,5.6,-0.57,106,11.88,-0.42,-0.16
1459,2.52,6.409,Failed,24.47,2.13,9.8,34.93,31.68,397,10.8,-3.25,32,13.84,-0.1,-0.03
788,2.711,5.388,Failed,21.02,1.98,10.3,41.25,39.25,1007,5.8,-2,21,10.81,-0.15,-0.02
4346,2.86,5.614,Failed,23.38,2.04,9.6,40.66,37.23,1296,5.7,-3.43,21,13.75,-0.36,0
1481,3.053,6.996,Failed,17.98,1.94,11.3,41.13,40.42,196,9.9,-0.71,104,12.13,-0.8,-0.32
3458,2.651,6.415,Failed,22.53,2.15,9.6,35.17,32.37,582,9.9,-2.8,22,11.23,-0.01,-0.01
1440,2.212,5.419,Failed,18.98,2.23,10.4,37.06,33.03,1124,8,-4.03,21,13.43,-0.09,0.03
972,2.704,6.71,Failed,23.53,2.11,10.4,38.7,35.55,465,11.6,-3.15,31,14.53,-0.21,-0.06
524,2.63,7.261,Failed,24.77,2.1,12.7,40.51,39.84,162,6.5,-0.67,185,9.49,-0.06,-0.01
2893,2.553,6.735,Failed,22.97,1.87,11.6,41.39,40.65,198,6.2,-0.74,86,10.94,-0.44,-0.24
4519,2.508,7.197,Failed,22.17,2.01,10.5,40.04,38.22,315,14,-1.82,36,11.95,-0.61,-0.04
1141,2.604,6.533,Failed,20.82,2.13,11.2,36.46,33.4,603,11.8,-3.06,32,14.33,-0.65,0.02
1066,2.517,6.862,Failed,23.8,2.67,8,30.11,23.45,989,9.1,-6.66,22,8.66,-0.06,0.11
4482,2.711,7.014,Failed,20.58,2,10.5,38.56,36.39,407,12.8,-2.17,36,13.15,-0.41,-0.03
2236,2.804,6.283,Failed,24.97,2.04,9.9,38.77,32.45,655,9.2,-6.32,21,13.16,-0.28,-0.01
18779,2.866,6.488,Failed,19.92,1.29,12.5,43.09,42.8,203,6.1,-0.29,65,10.61,-0.72,-0.36
5436,2.89,4.922,Failed,22.68,2.14,8.8,40.58,38.47,1144,5.4,-2.11,21,11.32,-0.33,0
1709,2.64,6.48,Failed,431.67,2.13,9.2,36.75,28.76,754,10.3,-7.99,21,8.17,-0.85,0
28,2.836,6.389,Failed,24.32,2.24,9.6,36.95,33.98,441,11.4,-2.97,32,12.33,-0.42,-0.08
1676,2.583,6.78,Failed,23.08,2.01,10.9,11.81,40.37,232,11.1,28.56,81,11.92,-0.13,-0.05
1037,2.667,6.827,Failed,24.65,2.21,9.5,37.43,34.74,379,13,-2.69,32,12.83,-0.55,-0.03
47,2.69,5.793,Failed,22.8,2.03,8.8,39.57,36.73,1174,5.6,-2.84,21,12.17,-0.02,0.01
1371,2.573,6.233,Failed,22.03,2.14,8.5,36.52,33.39,1035,7.9,-3.13,21,9.93,-0.04,0.02
1614,2.545,6.134,Failed,26.35,1.76,12.2,40.78,40.25,156,6.7,-0.53,196,10.38,-0.15,-0.1
1628,2.746,6.048,Failed,22.87,1.91,9.1,38.9,36.51,321,11.5,-2.39,36,14.9,-0.23,-0.07
980,2.74,6.381,Failed,21.32,2.05,10.1,39.15,36.57,330,11.7,-2.58,40,10.82,-0.44,-0.05
1285,2.523,5.561,Failed,21.38,2.02,9.9,41.06,38.79,1043,4.7,-2.27,21,10.82,0.06,0.05
1835,2.865,6.952,Failed,21.88,2.09,11.6,40.07,38.67,392,12.2,-1.4,32,11.52,-0.33,-0.1
70,2.459,6.52,Failed,21.63,1.92,10,40.44,36.91,403,12.9,-3.53,32,14.87,-0.01,-0.01
1497,2.68,6.56,Failed,25.7,2.18,9.6,35.92,31.21,659,16.6,-4.71,21,13.52,-0.4,0.01
1472,2.78,6.683,Failed,18,2.06,9.7,35.74,33.03,260,11.4,-2.71,63,11.9,-0.46,-0.17
60,2.639,6.334,Failed,18.35,2.1,9,34.08,31.39,441,9.2,-2.69,32,10.3,-0.18,-0.02
1767,2.693,6.511,Failed,23.52,2.14,10.2,36.9,35.15,524,11.6,-1.75,21,10.44,-0.02,0.01
60,2.515,7.267,Failed,28.27,2.01,12,40.75,40.24,192,8,-0.51,11,9.74,-0.48,-0.22
1398,2.554,7.062,Failed,22.5,2.21,11.4,38.5,36.58,190,35.1,-1.92,86,12.82,-0.93,-0.2
5434,2.53,7.118,Failed,29.72,2.19,9.2,34.68,31.42,388,11.9,-3.26,32,13.6,-0.05,0.03
1151,2.614,6.557,Failed,21.17,2.22,10.3,35.06,32.53,469,8.8,-2.53,21,10.92,-0.11,-0.11
778,2.731,6.515,Failed,24.62,2.3,9.3,36.01,33.29,466,9.8,-2.72,21,14.26,-0.47,0.02
38,2.501,6.01,Failed,25.17,2.09,10.6,38,34,1076,8.4,-4,21,8.96,-0.24,0.07
3413,2.48,7.059,Failed,19.03,2.03,12.1,41.48,40.86,172,12,-0.62,196,10.85,-0.32,-0.03
4323,2.318,6.915,Failed,23.17,2.04,10.5,38.87,35.44,371,13.2,-3.43,31,13.29,-0.58,-0.08
927,2.559,5.628,Failed,27.3,2.01,10.4,41.06,40.08,1158,5.4,-0.98,21,10.45,-0.09,0
3850,2.678,6.455,Failed,22.73,2.13,10.4,35.22,31.38,750,9.4,-3.84,21,12.46,-0.03,-0.03
8497,2.509,7.03,Failed,20.52,2,8.8,35.22,27.88,304,12.1,-7.34,32,12.64,-0.71,-0.22
1624,2.491,5.733,Failed,22.82,2.18,8,32.81,28.9,893,6.5,-3.91,21,11.18,-0.25,0.03
18502,2.496,6.61,Failed,19.92,2.36,10.4,33.68,29.49,310,9.3,-4.19,44,13.11,-0.44,-0.11
1876,2.397,5.629,Failed,22.38,2.12,8.3,34.42,31.25,797,8.8,-3.17,22,12.17,-0.08,0.01
1682,2.585,6.076,Failed,23.9,1.83,7.7,34.93,34.31,584,7.6,-0.62,21,9.86,-0.03,-0.02
6669,2.41,6.12,Failed,24.05,2.38,8.3,32.09,26.02,902,6.7,-6.07,21,11.76,0.06,1.06
8736,2.48,6.389,Failed,23.82,2.17,9.5,37.95,35.39,519,11.5,-2.56,32,14.44,-0.3,0
233,2.766,6.964,Failed,24.6,2,11.7,40.97,40.39,177,8.7,-0.58,139,14.01,-0.45,-0.24
502,1.578,6.021,Failed,16.1,1.86,12.1,41.1,40.35,167,8.7,-0.75,136,14.97,-0.25,0.14
48,2.564,6.798,Failed,26.33,1.51,13.5,41.28,40.84,112,10,-0.44,4,13.98,-0.25,-0.05
1326,2.66,6.911,Failed,18.77,1.97,11,39.01,36.85,188,8.5,-2.16,85,14.9,-0.78,-0.03
1839,2.484,6.293,Failed,19.8,2.06,10.3,40,37.76,305,12.2,-2.24,40,15.25,-1.07,-0.18
1974,2.662,7.22,Failed,19.6,2.05,13.3,41.28,41.21,192,12.2,-0.07,99,10.03,-0.11,-0.07
532,2.702,6.773,Failed,30.98,1.98,12.1,40.75,40.29,185,6,-0.46,,7.27,-0.11,-0.04
113,2.68,6.082,Failed,21.63,1.9,7.2,35.58,34.43,668,8.8,-1.15,21,8.44,-0.02,-0.02
1222,2.6,6.914,Failed,20.48,2.09,9.9,38.04,34.79,399,13.8,-3.25,31,12.57,-0.34,-0.04
1269,2.55,5.563,Failed,21.78,2.03,9.5,41.39,39.25,1168,5.6,-2.14,22,13.03,-0.21,0.02
80,2.861,6.936,Failed,21.37,2.07,9.4,39.87,37.66,355,14.1,-2.21,40,13.1,-0.19,-0.03
902,2.46,6.493,Failed,22.67,2.05,10.6,36.42,32.71,365,14.8,-3.71,44,15.74,-1.1,-0.22
122,2.565,6.394,Failed,25.03,1.88,10.4,41.12,38.97,441,12,-2.15,32,13.16,-0.43,-0.11
1016,2.64,6.964,Failed,24.72,1.96,11,40.22,38.62,236,11.4,-1.6,66,14.53,-0.24,-0.09
1817,2.75,6.031,Failed,23.25,2.01,9.9,38.54,34.8,525,12.8,-3.74,21,13.88,-0.57,0.01
939,2.532,7.351,Failed,22.27,1.73,12.4,40.9,39.43,136,11.8,-1.47,259,12.08,-1.01,-0.3
77,2.452,6.827,Failed,21.35,2.16,9.8,38.27,35.84,393,12.4,-2.43,32,12.8,-0.12,-0.03
848,2.512,6.312,Failed,24.45,2.17,9,35.83,26.77,865,11.8,-9.06,21,11.62,0.08,0.91
1759,2.753,7.158,Failed,21.07,1.65,12.9,41.07,40.35,147,6,-0.72,196,11.88,-0.17,-0.09
983,2.468,7.251,Failed,23.92,2.14,11.9,39,36.72,357,12,-2.28,35,13.59,-0.7,-0.02
340,2.647,7.217,Failed,24.02,2.06,11.5,36.1,32.63,503,12.5,-3.47,31,11.5,-0.06,0
912,2.63,5.469,Failed,22.28,2,10.4,40.06,37.02,1211,7.2,-3.04,22,12.78,-0.23,0.01
928,2.643,6.003,Failed,23.65,2.02,10.2,41.19,41.05,1028,5.2,-0.14,21,9.16,-0.01,0.01
107,2.515,6.757,Failed,20.63,2.05,9.6,38.22,34.57,541,12.3,-3.65,21,10.69,-0.14,-0.02
3004,2.403,6.124,Failed,23.95,2.07,10.1,33.42,40.61,637,6.7,7.19,21,12.22,-0.09,-0.01
1027,3.126,7.056,Failed,22.6,2.12,10.3,36.14,34.91,520,8.8,-1.23,31,9.71,-0.02,0
1540,2.552,6.698,Failed,23.77,2.02,10.8,37.76,36.21,177,11.9,-1.55,196,12.16,0,0.01
1609,2.774,5.726,Failed,27.22,2.26,8.2,37.99,31.57,590,6.3,-6.42,21,10.91,-0.02,0.02
4636,2.627,6.653,Failed,16.83,2.17,8.6,36.45,32.77,325,12.1,-3.68,64,11.55,-0.5,-0.1
2527,2.61,6.798,Failed,19.22,1.9,12.8,41.43,40.88,129,6.5,-0.55,267,11.74,-0.48,-0.21
1454,2.506,6.552,Failed,23.42,1.7,6.7,30.56,28.69,920,10.1,-1.87,32,10.55,-0.32,-0.07
251,2.47,6.86,Failed,23.65,2.56,8.1,35.23,29.41,606,6.6,-5.82,21,11.51,-0.01,0.02
3044,2.537,7.277,Failed,21.42,1.96,11.4,40.95,40.62,264,11.4,-0.33,81,9.97,-0.25,-0.08
1439,2.657,6.366,Failed,20.62,2.18,10.8,37.89,35.6,695,12,-2.29,21,14.76,-0.25,-0.03
10137,2.645,6.416,Failed,25.68,2,11.6,41.05,40.65,190,6,-0.4,87,8.37,-0.77,-0.1
4087,2.871,6.495,Failed,20.3,2.48,7.9,31.48,27.7,1076,9,-3.78,22,10.01,-0.76,0.95
1894,2.73,7.093,Failed,21.33,1.99,14,39.69,39.72,218,11.7,0.03,40,12.3,-0.81,-0.04
1935,2.45,4.505,Failed,22.23,2.04,9.8,41.19,39.76,1104,5.4,-1.43,21,9.91,-0.3,0
1332,2.57,5.794,Failed,21.45,2.02,9.8,41.99,41.54,1093,5.7,-0.45,21,15.38,-0.01,0.03
118,2.45,7.252,Failed,23.42,1.96,12.4,38.49,35.7,425,22.2,-2.79,31,13.92,-0.33,-0.17
1665,2.489,6.474,Failed,21.05,1.86,10.1,37.85,34.34,344,12.8,-3.51,36,17.04,-0.64,-0.01
1618,2.65,6.759,Failed,22.28,1.98,10,36.73,33.16,685,11.7,-3.57,21,15.25,-0.33,-0.07
1870,2.401,6.794,Failed,25.53,0.95,14.3,56.6,55.03,255,8.9,-1.57,35,17.61,-2.51,-0.96
264,2.574,6.429,Failed,20.93,1.68,14.8,41.21,40.41,192,7,-0.8,91,10.22,-0.41,-0.27
1186,2.66,7.109,Failed,26.47,1.9,8.1,33.84,31.93,497,16.6,-1.91,32,8.69,-0.08,-0.06
1851,2.426,6.992,Failed,24.28,2.07,9.5,37.62,34.97,415,16.5,-2.65,31,12.18,-0.68,-0.29
1350,2.604,7.306,Failed,21.85,2.17,10.7,37.19,35.72,285,16.1,-1.47,44,11.63,-0.3,-0.01
1526,2.498,6.937,Failed,24.03,2.29,10.6,37.41,33.04,724,16.4,-4.37,21,11.93,-0.06,0.57
1182,2.597,6.499,Failed,20.17,2.13,11.5,36.47,33.75,428,12.5,-2.72,32,12.15,-0.02,0
1613,2.603,7.365,Failed,22.37,2.29,10.1,35.11,31.72,398,15.7,-3.39,32,12.84,-0.4,-0.05
1536,2.49,6.562,Failed,20.55,2.09,8.7,35.14,30.23,548,17,-4.91,32,14.6,-0.22,-0.05
1290,2.598,5.756,Failed,22.7,1.98,9.2,41.12,38.61,1113,5.2,-2.51,21,13.84,-0.2,-0.05
142,2.585,5.947,Failed,22.67,1.99,9.2,41.26,39.35,1175,5.2,-1.91,20,12.74,-0.1,-0.03
1372,2.556,6.941,Failed,22.67,1.81,11,40.96,39.01,253,13.4,-1.95,64,12.14,-0.38,-0.09
4535,2.746,5.219,Failed,26.97,1.94,10.2,40.84,39.8,1083,6.9,-1.04,20,13.01,-0.07,-0.04
873,2.376,6.353,Failed,22.28,2.04,10,37.97,35.4,1030,7.9,-2.57,22,11.99,-0.09,-0.04
4980,2.619,5.957,Failed,19.72,2.06,9.4,41.17,39.06,1304,6.7,-2.11,22,11.13,-0.34,-0.1
182,2.939,6.109,Failed,28.1,1.95,15.1,40.81,40.5,287,5.3,-0.31,36,11.42,-0.13,-0.07
1013,2.918,6.841,Failed,22.33,1.46,14.9,41.05,40.84,125,8.2,-0.21,306,12.63,-0.51,-0.32
240,2.59,6.795,Failed,28.57,2.18,9.8,36.85,34.3,341,13,-2.55,40,13.06,-0.14,-0.06
21,2.633,6.841,Failed,28.52,2.25,8.6,33,27.59,579,10.2,-5.41,32,11.4,-0.1,-0.04
244,2.748,6.538,Failed,32.32,1.62,9.4,35.14,35.54,372,10.5,0.4,,9.29,-0.84,-0.32
2462,2.5,6.183,Failed,22.48,2.09,8.8,37.73,34.33,1298,9.6,-3.4,21,12.43,-0.47,-0.01
1728,2.69,5.651,Failed,73.07,2.08,10.1,40.72,39.26,694,6.6,-1.46,21,9.72,-0.74,-0.28
1839,2.869,7.136,Failed,26.85,2.1,10.3,37.96,35.61,376,13.1,-2.35,32,12.57,-1.2,-0.55
1634,2.708,5.594,Failed,22.92,1.98,9.5,41.33,39.64,1199,6,-1.69,21,12.4,-0.02,0.02
37824,3.02,4.94,Failed,21.45,2.05,10.6,41.02,37.46,1443,5.6,-3.56,21,10.59,-0.03,-0.01
2970,2.771,6.635,Failed,22.35,2.05,9.9,37.47,33.83,529,12,-3.64,21,11.38,-0.27,-0.08
39,2.75,6.784,Failed,24.4,2.03,11,41.34,40.37,345,11.4,-0.97,35,13.67,-0.04,-0.02
1132,2.51,5.697,Failed,23.9,2.01,11.4,41.56,40.71,1044,5.6,-0.85,22,12.7,-0.04,-0.01
28,2.419,5.684,Failed,21.33,1.98,10.2,42.12,40.78,1003,5.6,-1.34,21,11.68,-0.05,-0.16
1412,2.531,6.765,Failed,19.05,2.18,11.5,38.52,36.03,488,12.2,-2.49,21,12.42,-0.23,-0.09
778,2.7,6.536,Failed,22.78,2.12,10.6,39.25,38.59,315,11.4,-0.66,35,14.13,-0.23,-0.03
3034,2.155,7.104,Failed,20.42,2.12,10.4,37.05,35.03,261,13,-2.02,76,12.5,-0.3,-0.15
1134,2.57,7.134,Failed,20.83,2.06,11.7,38.25,33.63,254,16.3,-4.62,76,11.67,-0.85,-0.17
1738,2.817,6.646,Failed,22.45,2.13,9,37.36,35.05,421,11.4,-2.31,22,11.71,-0.18,-0.01
2299,2.589,7.126,Failed,21.88,1.96,11,40.06,38.73,381,12.7,-1.33,36,11.77,-1.32,-0.56
1378,2.716,7.169,Failed,21.1,2.3,13.1,38.37,36.22,330,12.7,-2.15,30,11.18,-0.36,-0.49
1382,2.504,7.034,Failed,23.4,1.95,10.1,39.86,34.77,392,15,-5.09,32,12.75,-0.51,-0.04
957,2.54,7.15,Failed,23.85,1.77,11.4,41.78,40.4,216,11.3,-1.38,76,12.2,-0.28,-0.12
196,2.429,5.606,Failed,21.93,1.98,9.8,42.09,41.3,1106,4.6,-0.79,21,12.12,-0.15,-0.03
1109,2.732,6.307,Failed,27.47,2.02,10.5,41.19,37.58,1155,6.4,-3.61,22,10.16,-0.04,0.01
4017,2.636,6.296,Failed,22.67,1.85,6.5,32.87,30.55,772,10.4,-2.32,21,8.28,-0.1,-0.01
2989,2.676,6.731,Failed,19.97,1.96,11.4,39.55,37.28,253,12.7,-2.27,65,12.07,-0.79,-0.17
1714,2.24,6.268,Failed,24.97,1.95,13.9,40.67,39.67,168,8,-1,136,14.22,-0.31,-0.31
1120,2.69,5.491,Failed,20.97,2.12,9.7,37.96,34.7,1022,5.4,-3.26,21,13.64,-0.07,-0.01
