bcr_dir,RunNumber,PartNumber,Teststart,Sensor,BoardNr,ArrayNr,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
,R29187,932-029,12-04-2021 07:18,Glu,1,5,Approved,6.95,0.25,1.6,4.57,217,0.2,0.71
,R29187,932-029,12-04-2021 07:18,Glu,8,16,Approved,6.82,0.34,1.5,4.36,306,1.3,0.05
,R29256,932-029,12-04-2021 07:17,Glu,2,9,Approved,6.95,0.23,0.8,4.38,164,0,0.04
,R29256,932-029,12-04-2021 07:17,Glu,1,1,Approved,6.93,0.28,1.1,4.7,68,0.2,0.47
,R29256,932-029,12-04-2021 07:17,Glu,3,11,Approved,6.93,0.41,1.8,4.37,297,1.8,0.58
,R29256,932-029,12-04-2021 07:17,Glu,8,16,Approved,6.92,0.35,2.2,4.59,288,0.4,0.65
,R29190,932-029,12-04-2021 00:00,Glu,3,8,Approved,6.87,0.19,1.1,3.37,149,0.1,0.68
,R29211,932-029,12-04-2021 00:00,Glu,3,16,Approved,6.9,0.21,2.8,3.85,120,0,0.77
,R29232,932-029,12-04-2021 00:00,Glu,1,2,Approved,5.92,0.2,0.3,2.69,105,1.1,0.02
,R29211,932-029,12-04-2021 00:00,Glu,1,10,Approved,6.9,0.31,0.7,2.23,262,4.6,0.49
,R29148,932-029,12-04-2021 00:00,Glu,8,16,Approved,5.93,0.25,1.1,3.49,78,0.6,0.62
,R29187,932-029,12-04-2021 00:00,Glu,8,16,Approved,6.82,0.34,1.5,4.36,306,1.3,0.05
,R29232,932-029,12-04-2021 00:00,Glu,2,15,Approved,6,0.2,1.2,4.86,101,0.8,0.81
,R29240,932-029,12-04-2021 00:00,Glu,8,9,Approved,5.88,0.24,0.9,3.5,140,0.2,0.76
,R29193,932-029,12-04-2021 00:00,Glu,1,10,Approved,6.95,0.26,1.7,3.92,87,0.3,0.9
,R29195,932-029,12-04-2021 00:00,Glu,2,13,Approved,6.83,0.24,2.6,3.54,237,1.8,0.89
,R29187,932-029,12-04-2021 00:00,Glu,2,16,Approved,6.85,0.22,2.1,4.68,75,0.5,0.67
,R29256,932-029,12-04-2021 00:00,Glu,2,9,Approved,6.95,0.23,0.8,4.38,164,0,0.04
,R29148,932-029,12-04-2021 00:00,Glu,3,9,Approved,5.93,0.26,1,3.13,192,0.6,0.52
,R29114,932-029,12-04-2021 00:00,Glu,8,2,Approved,6.88,0.22,0.3,2.76,47,1.2,0.67
,R29238,932-029,12-04-2021 00:00,Glu,1,1,Approved,6.97,0.27,1.3,4.84,135,0.6,0.44
,R29238,932-029,12-04-2021 00:00,Glu,8,14,Approved,6.87,0.33,1.1,3.68,296,1.3,0.05
,R29190,932-029,12-04-2021 00:00,Glu,2,1,Approved,6.87,0.27,1.5,3.84,268,0.6,1.05
,R29168,932-029,12-04-2021 00:00,Glu,3,6,Approved,7,0.32,1.8,3.87,168,0.9,0.85
,R29240,932-029,12-04-2021 00:00,Glu,2,16,Approved,6.08,0.27,1.2,3.66,214,0.3,0.71
,R29195,932-029,12-04-2021 00:00,Glu,1,1,Approved,6.85,0.25,2.6,3.06,18,0.5,0.63
,R29187,932-029,12-04-2021 00:00,Glu,3,8,Approved,6.87,0.2,1.1,3.81,155,0,0.53
,R29195,932-029,12-04-2021 00:00,Glu,3,4,Approved,6.87,0.25,3.2,3.03,376,0.7,0.94
,R29114,932-029,12-04-2021 00:00,Glu,3,13,Approved,6.88,0.26,0.4,2.69,277,2.3,0.71
,R29114,932-029,12-04-2021 00:00,Glu,2,10,Approved,6.87,0.25,1,4.61,28,0.2,0.54
,R29226,932-029,12-04-2021 00:00,Glu,1,3,Approved,6.88,0.22,0.5,2.74,167,0.2,0.18
,R29256,932-029,12-04-2021 00:00,Glu,1,1,Approved,6.93,0.28,1.1,4.7,68,0.2,0.47
,R29226,932-029,12-04-2021 00:00,Glu,8,16,Approved,6.87,0.28,1.7,4.07,399,1.9,0.46
,R29114,932-029,12-04-2021 00:00,Glu,1,16,Approved,7,0.17,1,3.06,164,2.9,0.64
,R29148,932-029,12-04-2021 00:00,Glu,2,2,Approved,5.93,0.28,1.1,3.58,240,0.1,1
,R29168,932-029,12-04-2021 00:00,Glu,1,13,Approved,7.02,0.29,3.2,3.8,350,2.7,0.52
,R29226,932-029,12-04-2021 00:00,Glu,3,8,Approved,6.87,0.21,0.6,2.86,64,0.1,0.91
,R29168,932-029,12-04-2021 00:00,Glu,8,8,Approved,6.9,0.35,2.3,2.93,234,2.8,0.07
,R29193,932-029,12-04-2021 00:00,Glu,3,1,Approved,6.9,0.22,1.3,4.35,124,0.2,0.84
,R29211,932-029,12-04-2021 00:00,Glu,2,1,Approved,6.97,0.22,2.1,4.06,146,1,0.34
,R29190,932-029,12-04-2021 00:00,Glu,8,16,Approved,6.87,0.24,1.3,3.76,251,0.4,0.87
,R29193,932-029,12-04-2021 00:00,Glu,2,2,Approved,6.98,0.25,1.1,4.06,11,1,0.64
,R29256,932-029,12-04-2021 00:00,Glu,8,16,Approved,6.92,0.35,2.2,4.59,288,0.4,0.65
,R29193,932-029,12-04-2021 00:00,Glu,8,16,Approved,6.98,0.24,1.4,4.07,82,0.2,0.85
,R29238,932-029,12-04-2021 00:00,Glu,2,10,Approved,6.87,0.28,1.5,5.01,70,0.7,0.8
,R29211,932-029,12-04-2021 00:00,Glu,8,10,Approved,6.9,0.27,2.2,3.66,266,0.3,0.99
,R29148,932-029,12-04-2021 00:00,Glu,1,1,Approved,5.97,0.27,1.5,3.92,212,0.4,0.9
,R29232,932-029,12-04-2021 00:00,Glu,8,9,Approved,5.95,0.11,0.7,1.26,217,4.1,0.4
,R29240,932-029,12-04-2021 00:00,Glu,1,1,Approved,5.97,0.26,1,3.69,163,0.3,0.61
,R29195,932-029,12-04-2021 00:00,Glu,8,15,Approved,6.87,0.21,1.7,3.03,109,0.5,1.33
,R29187,932-029,12-04-2021 00:00,Glu,1,5,Approved,6.95,0.25,1.6,4.57,217,0.2,0.71
,R29238,932-029,12-04-2021 00:00,Glu,3,4,Approved,7.02,0.27,1,4.21,77,0.3,0.08
,R29168,932-029,12-04-2021 00:00,Glu,2,8,Approved,6.97,0.28,1.7,4.54,28,0.6,0.65
,R29190,932-029,12-04-2021 00:00,Glu,1,16,Approved,6.92,0.23,1.8,3.85,339,0.5,1.06
,R29256,932-029,12-04-2021 00:00,Glu,3,11,Approved,6.93,0.41,1.8,4.37,297,1.8,0.58
,R29191,932-029,11-04-2021 11:14,Glu,3,16,Approved,2.88,0.2,0.2,3.65,296,0.5,0.5
,R29191,932-029,11-04-2021 11:14,Glu,1,10,Approved,2.88,0.22,1.2,4.47,203,0.3,0.53
,R29191,932-029,11-04-2021 11:14,Glu,2,5,Approved,2.85,0.19,0.6,4.76,101,0.5,0.56
,R29170,932-029,11-04-2021 11:13,Glu,8,7,Approved,2.78,0.2,0.1,4.3,26,0.2,0.52
,R29170,932-029,11-04-2021 11:13,Glu,2,8,Approved,2.78,0.2,1,4.59,332,1,0.38
,R29170,932-029,11-04-2021 11:13,Glu,1,9,Approved,2.85,0.18,0.5,4.31,94,0.2,0.5
,R29170,932-029,11-04-2021 11:13,Glu,3,15,Approved,2.77,0.17,0.3,3.4,274,1.7,0.03
,R29185,932-029,11-04-2021 11:12,Glu,3,2,Approved,2.87,0.17,0.9,3.47,206,0.3,0.39
,R29185,932-029,11-04-2021 11:12,Glu,2,1,Approved,2.8,0.2,0.6,4.35,193,0.3,0.45
,R29185,932-029,11-04-2021 11:12,Glu,8,9,Approved,2.78,0.15,0.6,3.48,239,0.2,0.04
,R29185,932-029,11-04-2021 11:12,Glu,1,9,Approved,2.87,0.18,0.4,4.27,69,0.4,0.23
,R29202,932-029,11-04-2021 11:09,Glu,1,9,Approved,2.75,0.24,0.4,4.47,33,1,0.71
,R29204,932-029,11-04-2021 11:09,Glu,1,14,Approved,2.75,0.26,1.4,3.82,237,1.1,0.77
,R29202,932-029,11-04-2021 11:09,Glu,3,10,Approved,2.77,0.22,0.1,2.78,136,0.6,0.23
,R29204,932-029,11-04-2021 11:09,Glu,2,13,Approved,2.85,0.25,0.7,3.81,197,1.1,0.2
,R29204,932-029,11-04-2021 11:09,Glu,8,9,Approved,2.67,0.19,1.1,2.8,278,2.5,0.03
,R29202,932-029,11-04-2021 11:09,Glu,8,1,Approved,2.75,0.2,0.8,4.31,311,0,0.57
,R29204,932-029,11-04-2021 11:09,Glu,3,2,Approved,2.82,0.2,1.7,3.88,293,1.4,0.52
,R29202,932-029,11-04-2021 11:09,Glu,2,16,Approved,2.75,0.1,0.7,3.83,214,0.9,0.5
,R29196,932-029,11-04-2021 11:08,Glu,3,2,Approved,2.7,0.22,1.8,4.14,384,1.7,0.41
,R29196,932-029,11-04-2021 11:08,Glu,8,11,Approved,2.72,0.21,0.2,4.1,119,0.3,0.58
,R29196,932-029,11-04-2021 11:08,Glu,2,8,Approved,2.72,0.24,0.6,3.9,154,1,0.64
,R29196,932-029,11-04-2021 11:08,Glu,1,9,Approved,2.75,0.22,0.3,4.27,29,0.8,0.47
,R29149,932-029,11-04-2021 11:08,Glu,2,16,Approved,2.85,0.18,2.5,3.86,170,2.3,1.52
,R29149,932-029,11-04-2021 11:08,Glu,8,1,Approved,2.78,0.21,1,4.07,177,0.2,0.36
,R29149,932-029,11-04-2021 11:08,Glu,3,6,Approved,2.78,0.26,1.5,2.78,310,2.6,0.65
,R29149,932-029,11-04-2021 11:08,Glu,1,9,Approved,2.78,0.23,1.5,4.21,131,0.1,0.43
,R29127,932-029,11-04-2021 11:08,Glu,3,4,Approved,2.85,0.18,2.4,4.55,305,0.6,0.59
,R29127,932-029,11-04-2021 11:08,Glu,1,15,Approved,2.78,0.23,1.7,4.28,311,0.6,0.32
,R29127,932-029,11-04-2021 11:08,Glu,2,8,Approved,2.85,0.19,2,4.85,327,0.2,0.46
,R29127,932-029,11-04-2021 11:08,Glu,6,16,Approved,2.85,0.2,3,4.65,392,0,0.37
,R29205,932-029,11-04-2021 11:06,Glu,3,8,Approved,2.82,0.24,1.5,4.06,304,1.3,0.53
,R29205,932-029,11-04-2021 11:06,Glu,8,14,Approved,2.72,0.17,0.7,2.73,387,2.6,0.55
,R29205,932-029,11-04-2021 11:06,Glu,2,4,Approved,2.65,0.22,0.4,3.55,200,1,0.02
,R29205,932-029,11-04-2021 11:06,Glu,2,9,Approved,2.68,0.23,0.2,4.04,39,0.7,0.46
,R29202,932-029,11-04-2021 00:00,Glu,8,1,Approved,2.75,0.2,0.8,4.31,311,0,0.57
,R29204,932-029,11-04-2021 00:00,Glu,2,13,Approved,2.85,0.25,0.7,3.81,197,1.1,0.2
,R29185,932-029,11-04-2021 00:00,Glu,1,9,Approved,2.87,0.18,0.4,4.27,69,0.4,0.23
,R29170,932-029,11-04-2021 00:00,Glu,2,8,Approved,2.78,0.2,1,4.59,332,1,0.38
,R29127,932-029,11-04-2021 00:00,Glu,3,4,Approved,2.85,0.18,2.4,4.55,305,0.6,0.59
,R29202,932-029,11-04-2021 00:00,Glu,1,9,Approved,2.75,0.24,0.4,4.47,33,1,0.71
,R29196,932-029,11-04-2021 00:00,Glu,1,9,Approved,2.75,0.22,0.3,4.27,29,0.8,0.47
,R29205,932-029,11-04-2021 00:00,Glu,8,14,Approved,2.72,0.17,0.7,2.73,387,2.6,0.55
,R29202,932-029,11-04-2021 00:00,Glu,2,16,Approved,2.75,0.1,0.7,3.83,214,0.9,0.5
,R29196,932-029,11-04-2021 00:00,Glu,8,11,Approved,2.72,0.21,0.2,4.1,119,0.3,0.58
,R29204,932-029,11-04-2021 00:00,Glu,3,2,Approved,2.82,0.2,1.7,3.88,293,1.4,0.52
,R29127,932-029,11-04-2021 00:00,Glu,1,15,Approved,2.78,0.23,1.7,4.28,311,0.6,0.32
,R29191,932-029,11-04-2021 00:00,Glu,1,10,Approved,2.88,0.22,1.2,4.47,203,0.3,0.53
,R29170,932-029,11-04-2021 00:00,Glu,1,9,Approved,2.85,0.18,0.5,4.31,94,0.2,0.5
,R29127,932-029,11-04-2021 00:00,Glu,6,16,Approved,2.85,0.2,3,4.65,392,0,0.37
,R29204,932-029,11-04-2021 00:00,Glu,1,14,Approved,2.75,0.26,1.4,3.82,237,1.1,0.77
,R29191,932-029,11-04-2021 00:00,Glu,3,16,Approved,2.88,0.2,0.2,3.65,296,0.5,0.5
,R29149,932-029,11-04-2021 00:00,Glu,3,6,Approved,2.78,0.26,1.5,2.78,310,2.6,0.65
,R29127,932-029,11-04-2021 00:00,Glu,2,8,Approved,2.85,0.19,2,4.85,327,0.2,0.46
,R29202,932-029,11-04-2021 00:00,Glu,3,10,Approved,2.77,0.22,0.1,2.78,136,0.6,0.23
,R29170,932-029,11-04-2021 00:00,Glu,8,7,Approved,2.78,0.2,0.1,4.3,26,0.2,0.52
,R29185,932-029,11-04-2021 00:00,Glu,8,9,Approved,2.78,0.15,0.6,3.48,239,0.2,0.04
,R29205,932-029,11-04-2021 00:00,Glu,3,8,Approved,2.82,0.24,1.5,4.06,304,1.3,0.53
,R29205,932-029,11-04-2021 00:00,Glu,2,4,Approved,2.65,0.22,0.4,3.55,200,1,0.02
,R29149,932-029,11-04-2021 00:00,Glu,2,16,Approved,2.85,0.18,2.5,3.86,170,2.3,1.52
,R29185,932-029,11-04-2021 00:00,Glu,3,2,Approved,2.87,0.17,0.9,3.47,206,0.3,0.39
,R29191,932-029,11-04-2021 00:00,Glu,2,5,Approved,2.85,0.19,0.6,4.76,101,0.5,0.56
,R29204,932-029,11-04-2021 00:00,Glu,8,9,Approved,2.67,0.19,1.1,2.8,278,2.5,0.03
,R29205,932-029,11-04-2021 00:00,Glu,2,9,Approved,2.68,0.23,0.2,4.04,39,0.7,0.46
,R29185,932-029,11-04-2021 00:00,Glu,2,1,Approved,2.8,0.2,0.6,4.35,193,0.3,0.45
,R29196,932-029,11-04-2021 00:00,Glu,2,8,Approved,2.72,0.24,0.6,3.9,154,1,0.64
,R29149,932-029,11-04-2021 00:00,Glu,8,1,Approved,2.78,0.21,1,4.07,177,0.2,0.36
,R29196,932-029,11-04-2021 00:00,Glu,3,2,Approved,2.7,0.22,1.8,4.14,384,1.7,0.41
,R29170,932-029,11-04-2021 00:00,Glu,3,15,Approved,2.77,0.17,0.3,3.4,274,1.7,0.03
,R29149,932-029,11-04-2021 00:00,Glu,1,9,Approved,2.78,0.23,1.5,4.21,131,0.1,0.43
,R29158,932-029,10-04-2021 11:47,Glu,3,4,Approved,2.28,0.19,1.2,1.03,263,3,1.13
,R29158,932-029,10-04-2021 11:47,Glu,1,12,Approved,2.23,0.23,2.3,3.75,357,4.4,0.55
,R29158,932-029,10-04-2021 11:47,Glu,2,13,Approved,2.27,0.29,2.6,4.07,288,1.4,0.71
,R29158,932-029,10-04-2021 11:47,Glu,8,10,Approved,2.28,0.38,2.7,4.12,369,0.9,0.4
,R29171,932-029,10-04-2021 11:47,Glu,1,8,Approved,2.2,0.22,0.9,4.24,139,0.8,0.22
,R29171,932-029,10-04-2021 11:47,Glu,2,6,Approved,2.17,0.19,1.6,4.35,400,0.4,0.64
,R29171,932-029,10-04-2021 11:47,Glu,3,11,Approved,2.25,0.19,0.3,3.87,53,0.5,0.26
,R29171,932-029,10-04-2021 11:47,Glu,8,9,Approved,2.18,0.19,0.3,3.31,381,0.1,0.16
,R29110,932-029,10-04-2021 11:46,Glu,3,16,Approved,2.27,0.19,2,3.84,320,0.4,0.65
,R29110,932-029,10-04-2021 11:46,Glu,8,16,Approved,2.27,0.26,1.1,3.12,79,0.3,0.26
,R29110,932-029,10-04-2021 11:46,Glu,1,8,Approved,2.27,0.18,1.9,4.09,262,0.8,0.68
,R29117,932-029,10-04-2021 11:44,Glu,2,4,Approved,2.18,0.17,1.2,2.12,144,2.2,0.46
,R29117,932-029,10-04-2021 11:44,Glu,1,9,Approved,2.25,0.25,1.5,4.1,76,0.1,0.4
,R29117,932-029,10-04-2021 11:44,Glu,8,6,Approved,2.18,0.17,0.6,0.74,135,4.9,0.97
,R29198,932-029,10-04-2021 11:44,Glu,2,15,Approved,2.18,0.22,0.9,3.95,62,1.1,0.25
,R29198,932-029,10-04-2021 11:44,Glu,8,13,Approved,2.37,0.23,1,3.97,268,0.8,0.36
,R29198,932-029,10-04-2021 11:44,Glu,1,12,Approved,2.28,0.22,0.7,4.02,65,1.2,0.47
,R29198,932-029,10-04-2021 11:44,Glu,3,4,Approved,3,0.22,0.7,4.19,154,0.5,0.17
,R29153,932-029,10-04-2021 11:44,Glu,1,1,Approved,2.17,0.2,2.7,4.05,284,0.1,0.83
,R29164,932-029,10-04-2021 11:44,Glu,3,5,Approved,2.18,0.19,1.5,3.9,174,1.6,0.52
,R29153,932-029,10-04-2021 11:44,Glu,2,11,Approved,2.23,0.23,2,3.92,190,0.1,0.73
,R29153,932-029,10-04-2021 11:44,Glu,3,7,Approved,2.15,0.21,2.3,3.9,235,1.2,0.34
,R29164,932-029,10-04-2021 11:44,Glu,1,8,Approved,2.25,0.2,1.2,3.9,268,0.3,0.56
,R29153,932-029,10-04-2021 11:44,Glu,8,7,Approved,2.25,0.21,2.6,4.04,386,1.2,0.79
,R29164,932-029,10-04-2021 11:44,Glu,8,16,Approved,2.25,0.22,2,3.99,329,1.2,0.6
,R29164,932-029,10-04-2021 11:44,Glu,4,5,Approved,2.25,0.26,2.2,3.49,318,2.4,0.51
,R29091,932-029,10-04-2021 11:44,Glu,8,15,Approved,2.27,0.23,2.4,3.86,276,0.2,0.49
,R29091,932-029,10-04-2021 11:44,Glu,1,1,Approved,2.28,0.21,1.2,3.21,9,0.7,0.29
,R29091,932-029,10-04-2021 11:44,Glu,2,3,Approved,2.27,0.22,1.5,2.98,253,0.7,0.14
,R29091,932-029,10-04-2021 11:44,Glu,3,15,Approved,2.27,0.21,2.4,4.08,212,0.1,0.73
,R29194,932-029,10-04-2021 11:38,Glu,2,6,Approved,2.35,0.2,0.8,4.2,147,0.8,0.54
,R29194,932-029,10-04-2021 11:38,Glu,8,9,Approved,2.32,0.22,1.2,3.95,123,1.4,0.44
,R29194,932-029,10-04-2021 11:38,Glu,1,14,Approved,2.37,0.2,1,4.07,291,0.3,0.25
,R29194,932-029,10-04-2021 11:38,Glu,3,7,Approved,2.22,0.15,0.8,2.78,285,1.3,0.08
,R29091,932-029,10-04-2021 00:00,Glu,3,15,Approved,2.27,0.21,2.4,4.08,212,0.1,0.73
,R29158,932-029,10-04-2021 00:00,Glu,1,12,Approved,2.23,0.23,2.3,3.75,357,4.4,0.55
,R29198,932-029,10-04-2021 00:00,Glu,3,4,Approved,3,0.22,0.7,4.19,154,0.5,0.17
,R29091,932-029,10-04-2021 00:00,Glu,8,15,Approved,2.27,0.23,2.4,3.86,276,0.2,0.49
,R29153,932-029,10-04-2021 00:00,Glu,2,11,Approved,2.23,0.23,2,3.92,190,0.1,0.73
,R29171,932-029,10-04-2021 00:00,Glu,3,11,Approved,2.25,0.19,0.3,3.87,53,0.5,0.26
,R29198,932-029,10-04-2021 00:00,Glu,2,15,Approved,2.18,0.22,0.9,3.95,62,1.1,0.25
,R29158,932-029,10-04-2021 00:00,Glu,8,10,Approved,2.28,0.38,2.7,4.12,369,0.9,0.4
,R29117,932-029,10-04-2021 00:00,Glu,1,9,Approved,2.25,0.25,1.5,4.1,76,0.1,0.4
,R29194,932-029,10-04-2021 00:00,Glu,8,9,Approved,2.32,0.22,1.2,3.95,123,1.4,0.44
,R29171,932-029,10-04-2021 00:00,Glu,8,9,Approved,2.18,0.19,0.3,3.31,381,0.1,0.16
,R29164,932-029,10-04-2021 00:00,Glu,3,5,Approved,2.18,0.19,1.5,3.9,174,1.6,0.52
,R29171,932-029,10-04-2021 00:00,Glu,2,6,Approved,2.17,0.19,1.6,4.35,400,0.4,0.64
,R29194,932-029,10-04-2021 00:00,Glu,2,6,Approved,2.35,0.2,0.8,4.2,147,0.8,0.54
,R29110,932-029,10-04-2021 00:00,Glu,1,8,Approved,2.27,0.18,1.9,4.09,262,0.8,0.68
,R29164,932-029,10-04-2021 00:00,Glu,4,5,Approved,2.25,0.26,2.2,3.49,318,2.4,0.51
,R29153,932-029,10-04-2021 00:00,Glu,8,7,Approved,2.25,0.21,2.6,4.04,386,1.2,0.79
,R29153,932-029,10-04-2021 00:00,Glu,1,1,Approved,2.17,0.2,2.7,4.05,284,0.1,0.83
,R29110,932-029,10-04-2021 00:00,Glu,3,16,Approved,2.27,0.19,2,3.84,320,0.4,0.65
,R29164,932-029,10-04-2021 00:00,Glu,1,8,Approved,2.25,0.2,1.2,3.9,268,0.3,0.56
,R29171,932-029,10-04-2021 00:00,Glu,1,8,Approved,2.2,0.22,0.9,4.24,139,0.8,0.22
,R29091,932-029,10-04-2021 00:00,Glu,1,1,Approved,2.28,0.21,1.2,3.21,9,0.7,0.29
,R29194,932-029,10-04-2021 00:00,Glu,3,7,Approved,2.22,0.15,0.8,2.78,285,1.3,0.08
,R29091,932-029,10-04-2021 00:00,Glu,2,3,Approved,2.27,0.22,1.5,2.98,253,0.7,0.14
,R29117,932-029,10-04-2021 00:00,Glu,8,6,Approved,2.18,0.17,0.6,0.74,135,4.9,0.97
,R29158,932-029,10-04-2021 00:00,Glu,2,13,Approved,2.27,0.29,2.6,4.07,288,1.4,0.71
,R29198,932-029,10-04-2021 00:00,Glu,8,13,Approved,2.37,0.23,1,3.97,268,0.8,0.36
,R29153,932-029,10-04-2021 00:00,Glu,3,7,Approved,2.15,0.21,2.3,3.9,235,1.2,0.34
,R29110,932-029,10-04-2021 00:00,Glu,8,16,Approved,2.27,0.26,1.1,3.12,79,0.3,0.26
,R29117,932-029,10-04-2021 00:00,Glu,2,4,Approved,2.18,0.17,1.2,2.12,144,2.2,0.46
,R29198,932-029,10-04-2021 00:00,Glu,1,12,Approved,2.28,0.22,0.7,4.02,65,1.2,0.47
,R29158,932-029,10-04-2021 00:00,Glu,3,4,Approved,2.28,0.19,1.2,1.03,263,3,1.13
,R29164,932-029,10-04-2021 00:00,Glu,8,16,Approved,2.25,0.22,2,3.99,329,1.2,0.6
,R29194,932-029,10-04-2021 00:00,Glu,1,14,Approved,2.37,0.2,1,4.07,291,0.3,0.25
,R29099,932-029,09-04-2021 07:34,Glu,8,9,Approved,1.33,0.22,1.6,3.4,255,0.8,0.14
,R29099,932-029,09-04-2021 07:34,Glu,2,1,Approved,1.32,0.23,0.8,3.94,197,0.4,0.17
