time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 4 clusters,cluster normalized - 4 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
178.000,2.570,6.600,1.000,0.500,3.000,0.000,0.076,0.000,0.370,0.184,0.191,0.336
1785.000,2.039,5.718,1.000,0.440,1.000,1.000,0.178,0.123,0.403,0.060,0.066,0.118
2361.000,2.620,6.359,1.000,0.420,1.000,1.000,0.119,0.105,0.489,0.184,0.027,0.118
1806.000,2.752,6.670,1.000,0.490,1.000,1.000,0.108,0.298,0.531,0.321,0.055,0.130
1409.000,2.630,6.003,1.000,0.590,3.000,1.000,0.146,0.088,0.652,0.100,0.016,0.053
17473.000,2.854,6.065,1.000,0.520,3.000,1.000,0.135,0.211,0.474,0.212,0.016,0.048
1411.000,3.015,6.044,1.000,0.560,3.000,1.000,0.103,0.105,0.338,0.166,0.175,0.012
1825.000,2.482,6.707,1.000,0.650,2.000,1.000,0.124,0.298,0.595,0.310,0.022,0.126
1763.000,2.740,6.597,1.000,0.540,3.000,1.000,0.135,0.000,0.599,0.018,0.005,0.070
1560.000,2.510,6.284,1.000,0.570,3.000,1.000,0.130,0.070,0.580,0.097,0.027,0.012
994.000,2.768,6.807,1.000,0.470,1.000,2.000,0.195,0.579,0.557,0.368,0.077,0.047
1993.000,2.639,6.209,1.000,0.550,3.000,1.000,0.184,0.474,0.579,0.080,0.044,0.005
1667.000,2.568,6.533,1.000,0.490,1.000,1.000,0.178,0.140,0.565,0.327,0.077,0.081
2279.000,2.580,6.022,1.000,0.270,1.000,1.000,0.103,0.140,0.474,0.399,0.049,0.032
11514.000,2.306,6.684,1.000,0.480,1.000,3.000,0.146,0.211,0.485,0.427,0.055,0.108
1550.000,2.662,6.041,1.000,0.570,3.000,2.000,0.168,0.281,0.541,0.377,0.022,0.015
2442.000,2.743,5.755,1.000,0.580,3.000,1.000,0.108,0.070,0.432,0.086,0.038,0.030
1557.000,2.390,6.171,1.000,0.580,3.000,1.000,0.130,0.140,0.264,0.339,0.164,0.050
1953.000,2.667,5.993,1.000,0.420,1.000,1.000,0.162,0.228,0.517,0.123,0.038,0.066
5772.000,2.671,5.661,1.000,0.520,3.000,1.000,0.141,0.053,0.495,0.020,0.060,0.022
1920.000,2.783,6.466,1.000,0.440,1.000,1.000,0.119,0.070,0.433,0.205,0.049,0.051
1368.000,2.554,5.949,1.000,0.470,1.000,0.000,0.065,0.105,0.182,0.296,0.262,0.055
4341.000,2.641,6.130,1.000,0.430,1.000,1.000,0.205,0.000,0.589,0.067,0.044,0.098
1644.000,2.700,6.484,1.000,0.560,3.000,3.000,0.119,0.053,0.254,0.363,0.197,0.181
1379.000,2.588,6.104,1.000,0.460,1.000,1.000,0.162,0.316,0.518,0.114,0.060,0.003
3227.000,2.351,6.005,1.000,0.560,3.000,1.000,0.141,0.070,0.525,0.254,0.077,0.299
3190.000,2.706,6.587,1.000,0.580,3.000,1.000,0.157,0.175,0.562,0.341,0.005,0.051
1143.000,2.561,6.051,1.000,0.530,3.000,1.000,0.238,0.035,0.531,0.069,0.071,0.056
2059.000,2.391,6.800,1.000,0.590,3.000,1.000,0.195,0.035,0.359,0.324,0.153,0.063
3307.000,2.603,6.545,1.000,0.520,3.000,1.000,0.146,0.298,0.523,0.323,0.000,0.076
1277.000,2.793,5.949,1.000,0.440,1.000,1.000,0.146,0.088,0.520,0.089,0.044,0.096
6430.000,2.820,5.545,1.000,0.370,1.000,1.000,0.092,0.140,0.616,0.064,0.022,0.096
5337.000,2.682,6.067,1.000,0.470,1.000,1.000,0.135,0.035,0.512,0.178,0.022,0.296
8579.000,2.666,6.347,1.000,0.450,1.000,1.000,0.141,0.140,0.636,0.032,0.033,0.012
15859.000,2.343,6.373,1.000,0.520,3.000,1.000,0.146,0.070,0.565,0.235,0.022,0.146
18.000,2.963,6.554,1.000,0.540,3.000,1.000,0.108,0.105,0.515,0.260,0.153,0.058
318.000,2.419,6.316,1.000,0.440,1.000,1.000,0.162,0.035,0.532,0.061,0.027,0.013
1429.000,2.769,6.438,1.000,0.380,1.000,1.000,0.146,0.070,0.483,0.168,0.005,0.081
1459.000,2.721,6.666,1.000,0.500,3.000,2.000,0.151,0.316,0.544,0.362,0.027,0.018
3365.000,2.573,6.626,1.000,0.470,1.000,1.000,0.119,0.018,0.481,0.103,0.038,0.032
2816.000,2.661,6.631,1.000,0.570,3.000,1.000,0.124,0.123,0.189,0.196,0.055,0.166
1669.000,2.812,6.777,1.000,0.530,3.000,1.000,0.135,0.140,0.289,0.144,0.087,0.045
1371.000,2.597,6.504,1.000,0.630,3.000,2.000,0.195,0.368,0.481,0.283,0.005,0.096
4575.000,2.633,6.013,1.000,0.420,1.000,1.000,0.097,0.088,0.438,0.268,0.055,0.015
4425.000,2.617,5.809,1.000,0.680,2.000,1.000,0.189,0.105,0.468,0.196,0.044,0.076
3395.000,2.410,6.193,1.000,0.400,1.000,1.000,0.092,0.228,0.386,0.278,0.104,0.332
1092.000,2.756,6.950,1.000,0.440,1.000,1.000,0.108,0.193,0.382,0.121,0.104,0.025
4361.000,2.708,6.932,1.000,0.590,3.000,2.000,0.157,0.333,0.447,0.257,0.142,0.073
4313.000,2.680,5.889,1.000,0.570,3.000,1.000,0.124,0.070,0.480,0.323,0.077,0.189
3046.000,2.729,6.770,1.000,0.470,1.000,1.000,0.173,0.123,0.460,0.400,0.016,0.028
18299.000,2.938,6.471,1.000,0.510,3.000,1.000,0.119,0.105,0.382,0.330,0.120,0.073
3919.000,2.883,6.204,1.000,0.620,3.000,1.000,0.178,0.228,0.499,0.018,0.000,0.214
1618.000,2.499,6.075,1.000,0.540,3.000,1.000,0.168,0.158,0.480,0.001,0.055,0.050
1512.000,2.688,6.114,1.000,0.480,1.000,1.000,0.151,0.070,0.558,0.088,0.071,0.008
1627.000,3.021,6.158,1.000,0.570,3.000,1.000,0.184,0.140,0.445,0.146,0.033,0.080
1472.000,2.644,6.484,1.000,0.470,1.000,1.000,0.162,0.123,0.494,0.324,0.044,0.116
1878.000,2.593,7.008,1.000,0.540,3.000,3.000,0.200,0.246,0.406,0.443,0.180,0.081
1652.000,2.462,5.795,1.000,0.490,1.000,1.000,0.162,0.298,0.489,0.015,0.011,0.088
1304.000,2.655,5.824,1.000,0.490,1.000,1.000,0.184,0.018,0.525,0.037,0.044,0.017
78.000,2.515,6.078,1.000,0.490,1.000,1.000,0.130,0.035,0.393,0.155,0.022,0.123
1432.000,2.117,5.523,1.000,0.520,3.000,1.000,0.168,0.246,0.529,0.274,0.104,0.073
2728.000,2.681,6.152,1.000,0.290,1.000,1.000,0.157,0.053,0.439,0.113,0.005,0.073
1216.000,3.043,5.968,1.000,0.520,3.000,1.000,0.141,0.351,0.476,0.137,0.011,0.017
1679.000,2.786,6.386,1.000,0.540,3.000,1.000,0.146,0.281,0.426,0.239,0.033,0.130
3512.000,2.960,6.627,1.000,0.470,1.000,1.000,0.135,0.070,0.498,0.219,0.104,0.007
1072.000,2.713,6.851,1.000,0.610,3.000,0.000,0.135,0.018,0.214,0.197,0.284,0.246
1833.000,2.475,6.394,1.000,0.530,3.000,1.000,0.173,0.123,0.564,0.119,0.033,0.020
7201.000,2.701,6.520,1.000,0.500,3.000,3.000,0.168,0.211,0.523,0.416,0.120,0.007
164.000,2.445,6.219,1.000,0.490,1.000,1.000,0.200,0.175,0.468,0.381,0.027,0.043
1142.000,3.053,6.777,1.000,0.430,1.000,2.000,0.119,0.316,0.588,0.407,0.060,0.050
1794.000,2.050,6.781,1.000,0.460,1.000,1.000,0.103,0.140,0.499,0.247,0.191,0.050
255.000,2.819,6.971,1.000,0.570,3.000,2.000,0.168,0.263,0.576,0.413,0.120,0.012
1605.000,2.408,5.722,1.000,0.510,3.000,1.000,0.130,0.211,0.523,0.041,0.000,0.091
896.000,2.555,6.620,1.000,0.590,3.000,1.000,0.200,0.175,0.439,0.038,0.131,0.063
6819.000,2.551,5.799,1.000,0.580,3.000,1.000,0.086,0.018,0.536,0.039,0.011,0.076
1805.000,2.387,6.670,1.000,0.590,3.000,1.000,0.195,0.140,0.489,0.283,0.005,0.023
2667.000,2.708,5.843,1.000,0.460,1.000,1.000,0.195,0.053,0.501,0.030,0.022,0.078
1100.000,2.723,5.907,1.000,0.410,1.000,1.000,0.081,0.070,0.510,0.029,0.082,0.140
3494.000,2.600,5.661,1.000,0.560,3.000,1.000,0.146,0.035,0.628,0.152,0.000,0.003
2646.000,2.650,5.454,1.000,0.450,1.000,1.000,0.157,0.088,0.551,0.084,0.027,0.028
1505.000,2.656,6.030,1.000,0.540,3.000,1.000,0.157,0.018,0.525,0.009,0.033,0.027
3056.000,2.580,6.669,1.000,0.640,2.000,1.000,0.081,0.158,0.459,0.368,0.016,0.012
15.000,2.476,5.938,1.000,0.470,1.000,1.000,0.141,0.263,0.629,0.172,0.033,0.042
2830.000,2.682,5.664,1.000,0.500,3.000,1.000,0.092,0.140,0.478,0.107,0.016,0.030
1496.000,2.572,6.668,1.000,0.410,1.000,2.000,0.232,0.491,0.585,0.490,0.071,0.063
2833.000,2.660,6.023,1.000,0.610,3.000,1.000,0.086,0.193,0.579,0.180,0.000,0.141
4368.000,2.701,6.430,1.000,0.490,1.000,3.000,0.168,0.123,0.363,0.427,0.044,0.146
247.000,2.560,5.630,1.000,0.400,1.000,1.000,0.135,0.053,0.504,0.337,0.022,0.125
2841.000,2.881,6.475,1.000,0.610,3.000,1.000,0.162,0.070,0.450,0.268,0.077,0.047
2000.000,2.773,6.906,1.000,0.220,1.000,1.000,0.119,0.070,0.512,0.233,0.055,0.053
1672.000,2.540,6.630,1.000,0.330,1.000,1.000,0.108,0.070,0.403,0.173,0.202,0.286
1409.000,2.750,6.118,1.000,0.610,3.000,1.000,0.141,0.053,0.415,0.088,0.060,0.286
847.000,2.675,6.318,1.000,0.600,3.000,1.000,0.146,0.088,0.515,0.183,0.044,0.003
5790.000,2.900,5.961,1.000,0.520,3.000,1.000,0.157,0.175,0.569,0.316,0.093,0.065
1954.000,2.657,6.581,1.000,0.520,3.000,1.000,0.184,0.228,0.532,0.244,0.022,0.095
5197.000,2.790,5.970,1.000,0.470,1.000,1.000,0.092,0.035,0.469,0.030,0.027,0.151
36.000,2.655,6.567,1.000,0.610,3.000,1.000,0.151,0.316,0.463,0.091,0.033,0.030
16355.000,2.598,5.591,1.000,0.500,3.000,3.000,0.168,0.158,0.526,0.445,0.011,0.013
1665.000,2.626,6.662,1.000,0.550,3.000,1.000,0.173,0.018,0.356,0.321,0.153,0.158
1474.000,2.735,6.317,1.000,0.600,3.000,1.000,0.114,0.193,0.581,0.179,0.098,0.140
1202.000,2.992,6.186,1.000,0.310,1.000,1.000,0.103,0.070,0.461,0.262,0.033,0.100
1340.000,2.072,6.337,1.000,0.530,3.000,1.000,0.162,0.351,0.564,0.057,0.016,0.005
2513.000,2.582,7.168,1.000,0.570,3.000,2.000,0.227,0.316,0.489,0.283,0.142,0.035
4146.000,2.673,5.966,1.000,0.530,3.000,1.000,0.092,0.105,0.425,0.248,0.027,0.032
1291.000,2.473,6.505,1.000,0.460,1.000,1.000,0.205,0.123,0.159,0.057,0.087,0.055
10331.000,2.322,6.549,1.000,0.540,3.000,2.000,0.249,0.228,0.565,0.395,0.104,0.056
167.000,2.471,5.990,1.000,0.480,1.000,1.000,0.141,0.088,0.464,0.192,0.066,0.081
2640.000,2.451,6.167,1.000,0.570,3.000,1.000,0.157,0.123,0.483,0.206,0.027,0.091
76.000,2.474,6.728,1.000,0.510,3.000,2.000,0.157,0.386,0.425,0.366,0.044,0.153
226.000,2.697,6.258,1.000,0.510,3.000,1.000,0.173,0.070,0.615,0.141,0.016,0.163
87.000,2.456,5.958,1.000,0.460,1.000,1.000,0.184,0.193,0.582,0.010,0.082,0.231
3316.000,2.520,5.793,1.000,0.450,1.000,0.000,0.124,0.035,0.223,0.055,0.186,0.349
2774.000,2.648,5.618,1.000,0.710,2.000,1.000,0.141,0.281,0.625,0.061,0.022,0.108
7098.000,2.440,5.511,1.000,0.510,3.000,1.000,0.097,0.140,0.585,0.169,0.082,0.035
1907.000,2.760,6.603,1.000,0.370,1.000,1.000,0.205,0.140,0.567,0.084,0.158,0.035
1818.000,2.674,5.592,1.000,0.690,2.000,1.000,0.141,0.053,0.543,0.125,0.027,0.017
2674.000,2.561,6.237,1.000,0.470,1.000,1.000,0.168,0.018,0.438,0.158,0.115,0.010
4907.000,2.571,6.582,1.000,0.420,1.000,1.000,0.141,0.175,0.320,0.088,0.131,0.015
2815.000,2.514,6.101,1.000,0.500,3.000,3.000,0.146,0.228,0.575,0.441,0.077,0.055
3036.000,2.622,6.067,1.000,0.630,3.000,2.000,0.205,0.333,0.512,0.451,0.060,0.066
413.000,2.401,6.535,1.000,0.590,3.000,1.000,0.200,0.193,0.421,0.038,0.055,0.100
2537.000,2.790,6.581,1.000,0.630,3.000,1.000,0.184,0.246,0.474,0.358,0.038,0.115
3000.000,2.745,6.260,1.000,0.490,1.000,1.000,0.189,0.035,0.523,0.011,0.027,0.007
3435.000,2.456,6.293,1.000,0.450,1.000,1.000,0.216,0.263,0.504,0.046,0.005,0.012
9106.000,2.471,6.103,1.000,0.540,3.000,1.000,0.178,0.035,0.294,0.113,0.066,0.146
100.000,2.224,5.637,1.000,0.580,3.000,1.000,0.092,0.000,0.278,0.055,0.049,0.012
198.000,2.780,6.747,1.000,0.580,3.000,1.000,0.141,0.140,0.540,0.103,0.011,0.081
3000.000,2.891,6.745,1.000,0.270,1.000,2.000,0.200,0.281,0.478,0.315,0.142,0.047
1450.000,2.797,6.319,1.000,0.640,2.000,1.000,0.162,0.123,0.242,0.219,0.093,0.123
1409.000,2.546,6.909,1.000,0.540,3.000,2.000,0.195,0.386,0.468,0.483,0.131,0.043
4313.000,2.680,5.889,1.000,0.520,3.000,1.000,0.124,0.070,0.480,0.323,0.077,0.189
1391.000,2.755,5.243,1.000,0.500,3.000,1.000,0.151,0.000,0.523,0.028,0.049,0.150
2765.000,2.402,6.254,1.000,0.600,3.000,1.000,0.141,0.158,0.613,0.302,0.077,0.141
5398.000,2.670,6.522,1.000,0.420,1.000,3.000,0.227,0.035,0.481,0.441,0.044,0.136
1854.000,2.543,6.169,1.000,0.480,1.000,1.000,0.135,0.316,0.387,0.168,0.044,0.010
1422.000,2.515,5.956,1.000,0.530,3.000,1.000,0.205,0.140,0.596,0.268,0.016,0.038
129.000,2.550,5.679,1.000,0.480,1.000,1.000,0.124,0.105,0.469,0.034,0.071,0.161
1247.000,2.512,6.960,1.000,0.560,3.000,1.000,0.146,0.316,0.490,0.088,0.148,0.043
2466.000,2.811,6.052,1.000,0.510,3.000,3.000,0.178,0.035,0.425,0.404,0.000,0.118
145.000,2.623,6.794,1.000,0.540,3.000,1.000,0.130,0.193,0.396,0.203,0.055,0.091
488.000,2.711,6.964,1.000,0.570,3.000,1.000,0.146,0.018,0.454,0.023,0.049,0.076
1539.000,2.636,6.544,1.000,0.700,2.000,1.000,0.141,0.053,0.223,0.147,0.164,0.058
8622.000,2.858,6.805,1.000,0.470,1.000,1.000,0.124,0.140,0.568,0.296,0.049,0.063
1660.000,2.460,5.748,1.000,0.570,3.000,1.000,0.157,0.070,0.524,0.175,0.022,0.012
3804.000,2.520,5.993,1.000,0.420,1.000,1.000,0.130,0.070,0.481,0.306,0.011,0.040
4059.000,2.357,6.839,1.000,0.590,3.000,1.000,0.227,0.175,0.336,0.316,0.180,0.096
1451.000,2.514,6.189,1.000,0.520,3.000,1.000,0.130,0.105,0.573,0.046,0.049,0.070
6935.000,2.687,6.457,1.000,0.540,3.000,3.000,0.086,0.070,0.368,0.421,0.208,0.083
4059.000,2.357,6.839,1.000,0.590,3.000,1.000,0.227,0.175,0.336,0.316,0.180,0.096
1645.000,2.621,6.277,1.000,0.560,3.000,0.000,0.103,0.105,0.224,0.094,0.175,0.291
1127.000,2.618,5.818,1.000,0.480,1.000,1.000,0.124,0.193,0.569,0.036,0.060,0.003
1380.000,2.443,6.098,1.000,0.570,3.000,1.000,0.205,0.105,0.526,0.226,0.000,0.066
1916.000,2.685,6.556,1.000,0.570,3.000,1.000,0.146,0.035,0.405,0.323,0.158,0.090
1383.000,2.820,6.129,1.000,0.610,3.000,1.000,0.141,0.140,0.466,0.189,0.011,0.145
1556.000,2.550,6.455,1.000,0.540,3.000,2.000,0.135,0.368,0.601,0.374,0.104,0.048
5708.000,2.614,5.890,1.000,0.370,1.000,1.000,0.151,0.035,0.503,0.207,0.022,0.068
1389.000,2.418,6.107,1.000,0.470,1.000,2.000,0.157,0.368,0.482,0.330,0.000,0.065
1097.000,2.540,6.269,1.000,0.340,1.000,1.000,0.178,0.105,0.519,0.093,0.022,0.008
1099.000,2.450,6.091,1.000,0.450,1.000,1.000,0.205,0.228,0.196,0.149,0.153,0.033
1709.000,2.540,6.797,1.000,0.610,3.000,1.000,0.157,0.228,0.466,0.302,0.055,0.028
5543.000,2.494,5.920,1.000,0.640,2.000,1.000,0.205,0.053,0.415,0.064,0.016,0.037
156.000,2.950,5.975,1.000,0.450,1.000,3.000,0.151,0.123,0.501,0.436,0.022,0.035
2287.000,2.540,6.280,1.000,0.480,1.000,1.000,0.151,0.035,0.457,0.135,0.044,0.037
9688.000,2.542,6.235,1.000,0.370,1.000,1.000,0.130,0.018,0.509,0.058,0.093,0.138
29.000,2.560,6.719,1.000,0.430,1.000,3.000,0.168,0.228,0.348,0.487,0.246,0.056
1485.000,2.700,6.664,1.000,0.580,3.000,1.000,0.146,0.088,0.488,0.208,0.082,0.135
1668.000,2.292,6.205,1.000,0.530,3.000,1.000,0.146,0.070,0.623,0.182,0.038,0.008
1332.000,2.476,6.564,1.000,0.480,1.000,0.000,0.097,0.140,0.088,0.305,0.066,0.221
653.000,2.463,6.198,1.000,0.620,3.000,1.000,0.205,0.035,0.377,0.266,0.044,0.027
18565.000,2.651,5.790,1.000,0.440,1.000,1.000,0.092,0.193,0.506,0.159,0.071,0.183
1232.000,2.434,6.553,1.000,0.270,1.000,3.000,0.216,0.175,0.453,0.407,0.011,0.060
4671.000,2.370,6.005,1.000,0.400,1.000,1.000,0.173,0.105,0.390,0.155,0.077,0.081
3302.000,2.522,5.579,1.000,0.390,1.000,1.000,0.141,0.070,0.573,0.023,0.011,0.042
1611.000,2.714,6.172,1.000,0.510,3.000,1.000,0.168,0.105,0.392,0.309,0.005,0.038
1690.000,2.671,6.146,1.000,0.350,1.000,1.000,0.130,0.105,0.445,0.145,0.011,0.093
1590.000,2.710,5.986,1.000,0.440,1.000,0.000,0.081,0.140,0.086,0.158,0.191,0.455
2911.000,2.602,5.444,1.000,0.620,3.000,1.000,0.168,0.211,0.537,0.316,0.011,0.080
9764.000,2.831,6.326,1.000,0.610,3.000,1.000,0.135,0.211,0.456,0.160,0.077,0.271
1257.000,2.697,5.572,1.000,0.620,3.000,1.000,0.135,0.105,0.561,0.183,0.033,0.002
4264.000,2.580,6.448,1.000,0.580,3.000,1.000,0.151,0.105,0.520,0.042,0.005,0.081
1533.000,2.620,5.769,1.000,0.580,3.000,1.000,0.108,0.035,0.481,0.158,0.049,0.056
952.000,2.184,5.735,1.000,0.350,1.000,1.000,0.141,0.140,0.519,0.072,0.077,0.066
613.000,2.627,6.431,1.000,0.600,3.000,1.000,0.162,0.211,0.547,0.139,0.011,0.015
1694.000,2.484,6.289,1.000,0.530,3.000,1.000,0.195,0.088,0.419,0.037,0.066,0.166
1456.000,2.543,5.614,1.000,0.580,3.000,1.000,0.130,0.193,0.564,0.071,0.022,0.060
1445.000,2.183,6.547,1.000,0.490,1.000,1.000,0.189,0.105,0.497,0.377,0.044,0.101
1150.000,2.465,6.332,1.000,0.520,3.000,1.000,0.157,0.070,0.537,0.198,0.011,0.010
2441.000,2.654,6.804,1.000,0.630,3.000,2.000,0.141,0.491,0.440,0.178,0.087,0.047
9753.000,2.510,5.476,1.000,0.530,3.000,1.000,0.130,0.035,0.585,0.025,0.022,0.035
1779.000,2.578,5.618,1.000,0.600,3.000,3.000,0.119,0.088,0.296,0.490,0.049,0.201
1347.000,2.569,6.326,1.000,0.370,1.000,1.000,0.146,0.175,0.561,0.245,0.022,0.083
3656.000,2.461,6.347,1.000,0.510,3.000,3.000,0.124,0.000,0.471,0.466,0.098,0.017
1514.000,2.610,5.541,1.000,0.460,1.000,1.000,0.119,0.211,0.541,0.335,0.055,0.206
1919.000,2.747,6.338,1.000,0.250,1.000,1.000,0.146,0.193,0.545,0.023,0.066,0.061
2681.000,2.497,6.115,1.000,0.430,1.000,1.000,0.205,0.035,0.473,0.025,0.104,0.118
2381.000,2.478,6.261,1.000,0.360,1.000,1.000,0.130,0.140,0.555,0.208,0.033,0.078
1560.000,2.511,5.530,1.000,0.450,1.000,1.000,0.189,0.158,0.639,0.271,0.038,0.042
28.000,2.717,6.210,1.000,0.570,3.000,1.000,0.173,0.105,0.560,0.074,0.005,0.164
1214.000,2.590,5.352,1.000,0.510,3.000,1.000,0.168,0.035,0.425,0.202,0.120,0.106
5782.000,2.753,6.125,1.000,0.570,3.000,1.000,0.086,0.070,0.526,0.213,0.022,0.056
