time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
10219,2.536,5.816,0.2,0.6,4.56,46,0.1,0.07
2838,2.631,5.858,0.11,0.1,3.57,210,0.5,0.08
1503,2.678,5.779,0.23,0.1,2.97,214,0.1,1.21
211,2.87,6.289,0.31,1.9,4.46,233,1.8,0.07
1142,3.053,6.777,0.22,1.8,5.04,320,1.1,0.3
2675,2.59,6.327,0.23,0.2,4.08,155,1.8,0.33
489,2.527,6.656,0.31,0.9,3.92,86,0.2,0.44
2816,2.661,6.631,0.23,0.7,1.62,154,1.0,1.0
2971,2.514,5.913,0.32,2.3,4.28,190,0.8,0.35
1114,2.507,5.788,0.25,0.2,4.17,100,0.3,0.1
1262,2.48,6.145,0.16,0.8,4.69,152,0.4,0.2
5484,2.644,6.125,0.36,0.4,4.04,60,1.7,0.91
44,2.603,6.47,0.21,0.2,4.52,157,0.8,0.32
4223,2.908,6.616,0.27,1.2,3.98,272,3.2,1.9
1100,2.723,5.907,0.15,0.4,4.37,23,1.5,0.84
285,2.582,5.747,0.26,0.7,4.94,38,0.1,0.28
3359,2.587,5.703,0.14,0.2,5.08,196,0.8,0.31
1458,2.941,5.749,0.29,0.9,4.15,121,0.5,0.41
507,2.548,6.319,0.24,0.9,4.72,172,0.3,0.62
1685,2.59,5.862,0.22,3.4,5.12,245,0.5,0.22
626,2.735,5.889,0.3,0.0,3.69,54,0.2,0.96
1434,2.721,7.068,0.28,0.6,3.04,97,1.2,0.54
1118,2.535,6.022,0.36,0.1,3.38,30,0.6,0.06
1416,2.22,6.689,0.21,1.1,4.98,207,0.2,0.09
2897,2.817,5.86,0.24,1.6,4.47,197,0.1,0.35
2912,2.732,6.303,0.12,0.4,1.3,229,2.4,1.38
46,3.095,7.197,0.28,1.3,4.18,260,1.5,0.42
1418,2.495,6.091,0.31,2.4,4.74,270,0.3,0.44
1214,2.59,5.352,0.31,0.2,3.64,159,2.2,0.64
105,2.633,6.709,0.25,1.2,4.83,225,0.1,0.13
1719,2.571,5.652,0.22,0.3,3.74,160,0.4,1.2
1557,2.657,6.608,0.17,1.4,1.15,8,1.4,1.32
487,2.431,6.102,0.35,0.6,4.51,101,0.8,0.04
1539,2.617,7.339,0.38,0.8,3.3,230,2.2,0.12
1415,2.434,6.473,0.24,1.2,4.47,191,0.8,0.33
446,2.64,5.994,0.23,0.3,4.22,33,0.8,0.72
3161,2.812,6.242,0.31,0.7,4.82,227,0.4,0.26
1252,2.593,7.028,0.23,2.4,3.97,262,1.4,0.22
5708,2.614,5.89,0.28,0.2,4.31,163,0.4,0.41
2592,2.652,6.87,0.31,0.4,3.43,332,3.8,0.14
3380,2.94,6.665,0.32,1.8,4.64,163,1.4,0.52
1569,2.7,5.867,0.15,0.6,4.39,87,0.1,0.42
494,2.46,6.176,0.27,0.7,3.03,8,1.0,0.13
3150,2.62,6.206,0.19,0.5,2.66,33,3.9,0.91
2305,2.66,6.549,0.25,1.6,4.16,264,0.0,0.29
1403,2.446,6.065,0.27,0.8,2.21,207,0.8,2.28
1170,2.735,6.619,0.34,0.9,4.17,60,0.3,0.1
2617,2.601,5.816,0.25,1.2,4.71,177,0.4,0.3
2539,2.617,6.276,0.15,1.8,4.82,246,0.6,0.29
7431,3.141,6.443,0.33,0.6,3.7,174,0.0,0.39
781,2.608,6.117,0.24,1.9,4.13,116,0.1,0.24
2443,2.816,5.786,0.26,0.8,4.38,213,0.7,0.22
1507,2.549,6.182,0.28,0.2,4.13,62,0.6,0.75
87,2.456,5.958,0.34,1.1,4.99,8,1.5,1.39
855,2.469,5.583,0.23,0.0,4.51,79,1.2,0.18
1466,2.699,5.871,0.21,0.2,4.28,52,0.5,2.06
2396,2.51,6.175,0.3,0.2,4.37,302,0.6,0.28
2394,2.619,5.831,0.25,0.1,3.65,35,0.3,0.52
1185,2.569,6.192,0.23,1.5,4.52,206,1.0,0.25
1527,2.783,7.281,0.36,0.0,3.28,278,2.8,0.54
1380,2.781,6.661,0.32,0.4,5.78,29,0.3,0.01
1673,2.639,6.37,0.27,0.9,4.73,150,0.3,0.52
8661,2.65,5.751,0.21,0.2,2.59,63,0.9,1.52
2707,2.988,6.118,0.27,0.8,4.43,107,0.4,0.29
3010,2.691,6.18,0.4,0.6,4.09,279,2.2,0.35
3284,2.477,5.614,0.35,0.6,4.57,92,0.7,0.28
787,2.652,6.461,0.44,0.4,4.21,288,2.4,0.24
1412,2.716,6.57,0.33,1.5,4.34,305,1.8,0.03
3611,2.536,5.349,0.35,0.7,4.13,195,0.6,0.7
981,2.536,6.103,0.34,0.7,3.93,136,0.7,0.31
1536,2.55,6.334,0.36,1.1,4.41,258,0.8,0.36
1420,2.67,5.877,0.28,0.9,3.33,211,0.2,0.47
5946,2.637,5.965,0.19,1.0,0.99,177,2.4,1.85
1,2.645,6.178,0.26,0.7,4.4,223,0.6,0.36
5543,2.494,5.92,0.38,0.3,3.56,50,0.3,0.22
1461,2.669,5.829,0.39,0.3,4.24,1,1.1,0.21
135,2.757,6.215,0.43,0.4,4.73,144,0.2,0.19
1558,2.219,5.896,0.35,1.5,5.14,78,1.3,0.62
1081,2.586,6.036,0.25,0.9,3.72,104,0.1,0.25
59,2.735,5.935,0.21,0.4,4.16,70,1.5,0.2
1259,2.723,6.315,0.32,1.2,4.7,148,0.2,0.52
5705,2.838,5.725,0.36,0.8,5.33,116,0.8,0.16
786,2.52,6.798,0.24,1.6,5.21,344,1.2,0.98
236,2.792,6.181,0.3,0.9,3.53,226,1.8,0.39
6238,2.581,6.008,0.34,0.0,2.96,44,0.2,0.35
2769,2.73,6.5,0.15,0.6,1.75,187,3.8,0.86
2831,2.62,5.795,0.24,1.2,4.22,34,0.5,0.06
10358,2.239,6.358,0.35,0.8,4.99,141,1.1,0.23
2329,2.49,6.172,0.33,0.8,3.97,137,0.4,0.39
1819,2.953,6.595,0.4,0.4,4.27,80,1.0,0.56
1843,2.766,6.03,0.37,1.6,3.36,264,1.2,0.58
2466,2.811,6.052,0.33,0.2,3.64,318,0.0,0.71
2508,2.459,6.241,0.3,1.1,4.12,232,0.7,0.38
3229,2.592,6.175,0.17,0.4,3.77,34,1.5,2.29
170,2.273,6.043,0.27,0.2,3.72,143,1.2,0.31
1533,2.468,5.851,0.22,0.8,4.14,144,0.4,0.74
5656,2.773,6.413,0.29,0.0,2.95,72,1.8,0.31
1563,2.677,6.257,0.22,1.3,4.11,259,0.6,0.74
1749,2.845,6.033,0.24,0.9,3.21,260,0.1,3.19
7981,2.51,6.153,0.42,0.4,3.78,103,1.8,0.0
2988,2.674,6.4,0.28,1.1,4.67,284,0.6,0.14
3113,2.609,6.183,0.23,0.7,4.11,2,1.2,0.57
1379,2.707,6.784,0.26,0.2,2.12,122,3.0,2.73
8166,2.731,6.862,0.26,0.2,3.91,146,0.7,1.58
1568,2.507,6.085,0.26,0.7,4.41,42,0.1,0.71
2694,2.645,5.638,0.28,0.2,3.54,188,2.3,1.0
3878,2.536,7.311,0.29,0.6,2.94,239,1.5,0.43
2553,2.649,6.287,0.33,1.9,3.71,148,1.5,0.13
69,2.445,6.319,0.23,0.6,3.45,157,2.1,0.85
163,2.513,5.648,0.26,0.2,4.29,76,0.1,0.71
1093,2.638,6.631,0.31,1.2,5.03,148,0.2,0.05
1762,2.716,6.286,0.2,0.5,3.86,150,1.4,0.09
2407,2.699,6.111,0.18,0.2,3.83,230,0.9,0.94
6814,2.59,6.474,0.26,1.0,4.45,137,1.0,0.22
2842,2.76,5.996,0.25,1.2,4.11,196,0.5,0.16
1521,2.7,5.805,0.08,0.9,2.46,14,1.6,0.66
2875,2.595,6.403,0.39,2.6,4.54,276,1.7,0.27
1215,2.606,7.295,0.24,2.4,3.62,258,1.8,0.08
1230,2.761,6.3,0.38,0.5,4.29,70,0.9,0.2
896,2.555,6.62,0.37,1.0,3.76,30,2.4,0.38
1370,2.814,5.92,0.32,1.0,4.89,199,0.4,0.57
1432,2.773,6.096,0.33,1.8,4.55,145,0.2,0.36
1821,2.58,6.631,0.36,0.4,4.53,225,0.5,0.15
1544,2.523,6.171,0.35,1.2,3.71,148,0.8,0.12
467,2.415,5.682,0.28,2.1,4.36,124,0.2,0.02
1474,2.787,6.58,0.26,2.1,4.47,365,2.8,0.3
1782,2.616,6.53,0.26,1.7,4.54,102,0.0,0.28
843,2.817,5.99,0.28,0.2,5.01,59,0.2,0.2
1795,2.81,6.217,0.29,0.5,4.57,245,1.4,0.1
937,2.825,5.748,0.12,0.3,1.7,136,1.1,0.8
4025,2.221,6.25,0.3,2.1,5.11,138,0.6,0.28
773,2.665,6.796,0.23,0.8,1.52,164,1.3,1.97
1184,2.553,6.449,0.24,1.7,4.68,230,0.3,0.05
172,2.531,6.793,0.31,0.7,4.82,215,0.5,0.09
4367,2.642,6.564,0.22,0.4,3.62,254,1.3,0.48
4033,2.71,5.792,0.28,2.1,4.98,186,0.3,0.4
1298,2.706,6.634,0.35,1.2,4.17,230,1.8,0.22
1128,2.854,6.526,0.24,0.8,2.04,103,0.2,0.72
1039,2.548,6.228,0.23,1.1,4.33,84,0.0,0.11
106,2.633,5.935,0.27,0.5,5.14,211,1.3,0.17
1344,2.363,6.524,0.33,0.1,1.8,157,2.3,1.22
1541,2.727,6.162,0.26,0.2,0.31,214,1.2,1.42
5449,2.465,6.702,0.3,1.9,4.13,292,0.0,0.52
1489,2.353,6.508,0.38,0.3,4.49,313,0.6,0.3
4296,2.442,6.068,0.31,2.2,4.56,125,0.5,0.27
1954,2.657,6.581,0.34,1.3,4.56,192,0.4,0.57
4484,2.523,6.085,0.29,0.8,4.52,176,0.3,0.09
1931,2.35,5.788,0.26,0.6,3.83,54,0.0,1.42
1623,2.281,5.063,0.22,0.4,4.41,265,0.6,0.73
1086,2.533,6.093,0.31,0.9,5.25,70,0.5,0.26
1644,2.48,6.907,0.34,1.0,4.14,143,1.2,0.16
1260,2.586,6.202,0.32,0.7,4.71,1043,0.4,0.55
1418,2.332,6.279,0.32,0.1,3.86,76,1.2,0.74
1036,2.632,5.538,0.2,0.1,4.63,64,0.6,0.54
2721,2.655,6.351,0.4,0.2,4.43,211,0.6,0.23
219,2.67,6.745,0.36,1.2,4.36,227,0.2,0.22
2720,2.629,6.135,0.24,0.4,4.78,32,0.8,1.21
2642,2.571,5.692,0.25,0.5,4.74,143,2.6,0.29
2059,2.391,6.8,0.36,0.2,3.08,255,2.8,0.38
4821,2.43,5.821,0.32,0.9,3.21,128,0.0,0.37
1451,2.544,6.195,0.3,0.9,4.27,71,1.0,0.27
1556,2.55,6.455,0.25,2.1,5.15,294,1.9,0.29
1656,2.866,6.449,0.26,0.5,3.8,166,1.8,0.03
1402,2.676,6.215,0.26,2.2,4.11,345,0.6,0.08
872,2.623,6.571,0.26,2.6,3.7,297,1.2,0.68
1647,2.497,6.949,0.28,0.9,4.66,285,1.2,0.23
2701,2.588,6.016,0.33,0.3,4.14,10,0.4,0.29
992,2.66,6.928,0.2,0.4,3.49,109,3.8,1.53
6159,2.594,6.234,0.29,1.3,4.74,183,0.0,0.07
1132,2.55,6.357,0.25,2.0,4.24,314,1.2,0.44
4585,2.684,6.076,0.21,1.1,4.83,94,0.3,0.39
4361,2.348,5.829,0.18,0.1,1.86,31,0.2,1.09
1655,2.622,6.387,0.29,0.0,3.54,16,3.4,0.91
5427,2.5,6.221,0.21,0.0,4.67,177,0.0,0.0
6137,2.667,6.568,0.29,0.5,3.45,249,0.2,0.19
1479,2.689,5.986,0.39,0.4,4.7,71,0.4,0.14
1389,2.761,6.026,0.25,0.1,4.47,105,1.0,0.23
1387,2.864,6.793,0.26,1.8,4.68,207,1.1,0.36
2646,2.65,5.454,0.29,0.5,4.72,66,0.5,0.17
1216,3.043,5.968,0.26,2.0,4.08,108,0.2,0.1
3309,2.626,5.884,0.23,0.0,2.74,80,1.6,0.04
7135,2.659,6.744,0.3,0.7,5.89,228,1.5,0.82
1334,2.943,6.019,0.26,0.0,4.74,100,0.0,0.03
1350,2.884,6.75,0.24,0.0,3.12,61,2.0,0.19
421,2.556,6.375,0.24,1.6,3.44,45,1.9,0.71
1936,2.453,5.864,0.25,0.2,3.49,139,0.0,1.06
4060,2.492,5.728,0.15,0.7,2.96,33,2.8,1.69
1682,2.56,5.923,0.22,0.3,3.47,89,1.4,0.84
7082,2.401,5.969,0.39,0.2,4.6,94,0.5,0.19
2368,2.584,5.847,0.34,1.2,4.21,354,0.6,0.49
4331,2.357,6.403,0.25,0.6,4.2,238,1.6,0.07
1518,2.551,6.434,0.28,1.4,3.72,248,1.4,0.63
5708,2.78,6.281,0.13,0.5,4.25,205,0.3,0.37
1754,2.56,6.612,0.33,0.7,4.13,198,0.3,0.14
208,2.814,6.985,0.25,0.4,4.53,248,1.4,0.25
1354,2.655,6.368,0.29,0.8,4.04,43,0.1,0.19
1523,2.592,5.695,0.25,0.8,4.29,19,1.2,0.31
2869,2.843,5.766,0.33,1.6,4.79,67,0.3,0.1
2754,2.652,6.762,0.32,0.6,4.76,368,1.8,0.68
87,2.515,5.711,0.21,0.7,5.28,88,1.0,0.51
1474,2.692,6.334,0.25,1.4,3.45,142,2.1,0.46
1190,2.318,6.489,0.44,0.7,3.53,178,0.6,0.13
4216,2.415,6.648,0.32,0.8,3.0,152,2.7,0.33
1090,2.583,6.553,0.51,0.9,4.4,281,2.4,0.35
2605,2.852,5.933,0.25,0.8,3.93,125,0.5,1.14
4551,2.838,6.385,0.38,0.4,4.41,241,0.2,0.14
183,2.578,6.052,0.26,0.0,4.39,95,0.2,0.16
2663,2.552,6.064,0.21,1.2,2.47,54,3.1,2.53
2204,2.521,6.183,0.41,0.1,4.58,125,1.5,0.2
2442,2.743,5.755,0.2,0.4,3.7,68,0.7,0.18
1005,2.65,6.114,0.14,0.0,2.34,17,3.2,0.63
7060,2.73,6.087,0.26,0.9,4.64,292,0.3,0.21
1453,2.61,6.639,0.38,0.8,3.58,188,0.9,0.2
1073,2.466,6.251,0.27,0.0,3.25,137,2.1,0.9
2727,2.615,6.191,0.26,0.3,3.59,66,1.4,0.2
2438,2.62,5.41,0.24,0.8,3.81,392,0.2,1.42
1795,2.734,6.393,0.22,1.5,4.59,242,0.2,0.06
7,2.516,6.135,0.27,2.0,4.35,137,0.1,1.46
1688,2.397,6.504,0.31,1.9,4.53,224,0.3,0.22
2860,2.56,6.663,0.14,0.4,4.55,141,2.9,0.88
1103,2.65,5.711,0.3,1.1,4.11,144,0.5,0.56
2710,2.247,6.25,0.19,1.5,4.66,254,0.5,0.5
1170,2.57,6.292,0.43,0.7,4.25,208,0.2,0.23
1157,2.548,5.79,0.21,0.0,4.48,37,0.2,0.7
1096,2.664,5.421,0.37,0.7,4.73,211,0.1,0.35
2537,2.79,6.581,0.34,1.4,4.06,282,0.7,0.69
84,2.41,6.741,0.41,0.8,4.37,301,2.6,0.08
6672,2.73,5.955,0.21,0.6,4.9,200,0.3,0.21
1439,2.719,5.658,0.37,0.5,3.57,208,0.5,0.24
4652,2.449,5.73,0.26,0.5,5.38,69,1.1,1.28
1611,2.588,6.014,0.23,1.5,5.05,78,0.7,0.6
2660,2.544,5.993,0.25,0.6,5.35,126,1.0,0.46
5759,2.649,6.603,0.16,1.6,3.0,51,1.3,0.56
1354,2.399,6.452,0.13,1.2,4.44,296,2.0,0.18
1316,2.502,6.682,0.14,0.5,3.38,233,3.0,0.27
1334,2.895,6.654,0.27,0.6,4.67,146,0.3,0.07
11307,2.731,6.315,0.29,1.2,5.01,115,0.2,0.41
1499,2.47,5.778,0.26,1.1,3.59,28,0.7,1.12
1653,2.538,5.707,0.27,0.8,4.65,20,0.2,0.11
1363,2.727,5.789,0.36,1.2,4.06,70,1.3,0.74
1493,2.759,6.714,0.36,2.2,4.76,167,0.6,0.06
1682,2.532,5.636,0.26,0.2,4.11,35,0.6,0.75
1375,2.79,6.598,0.32,2.0,4.59,187,1.3,0.08
2829,2.669,5.786,0.19,0.1,4.36,127,0.4,0.58
1056,2.785,6.146,0.26,0.7,4.63,14,0.6,0.08
506,2.815,5.79,0.28,0.6,5.52,200,0.4,0.3
2771,2.796,6.187,0.3,1.1,4.21,142,1.2,0.29
2379,2.825,5.74,0.23,0.8,3.1,71,0.5,0.13
868,2.734,6.734,0.28,1.0,4.86,82,1.0,0.4
3925,2.687,5.946,0.14,0.7,1.69,100,2.9,0.71
914,2.532,6.491,0.17,0.5,4.29,289,1.1,2.67
1455,2.543,6.795,0.22,1.9,4.83,227,0.6,0.04
1761,2.408,6.6,0.41,1.9,4.92,326,1.2,0.54
2753,2.486,6.426,0.3,0.1,4.33,264,0.9,0.16
1267,2.507,6.724,0.34,2.2,4.58,43,0.9,0.17
3959,2.77,5.96,0.23,0.2,4.9,0,0.6,0.26
2084,2.59,6.016,0.2,0.2,3.12,391,1.4,1.71
1387,2.612,5.881,0.36,0.8,2.92,16,0.5,1.07
2260,2.572,6.218,0.29,1.2,3.95,96,0.8,1.64
1426,2.664,6.488,0.24,1.1,2.44,202,2.8,1.87
9179,2.984,6.773,0.28,0.3,3.79,148,0.9,0.08
1056,2.439,6.26,0.26,0.2,4.53,226,1.1,0.36
1907,2.76,6.603,0.38,0.8,4.86,66,2.9,0.21
7495,2.165,6.166,0.3,1.5,3.99,211,2.0,0.02
727,2.452,6.242,0.3,0.6,3.5,113,0.0,0.15
7153,2.565,5.613,0.25,0.6,2.52,102,1.7,1.22
543,2.492,7.17,0.19,0.3,3.54,172,4.5,0.43
1668,2.292,6.205,0.27,0.4,5.34,143,0.7,0.05
1994,2.54,5.776,0.25,1.7,4.01,173,1.6,0.07
1136,2.433,6.128,0.21,0.4,1.62,297,2.2,0.43
170,2.573,5.96,0.21,1.7,5.74,190,0.4,0.08
1606,2.48,6.308,0.25,0.6,4.31,292,0.6,0.03
5717,2.597,6.585,0.42,0.1,4.78,216,0.1,0.02
4629,2.571,6.349,0.29,0.0,3.28,109,0.2,0.85
4179,2.318,6.477,0.33,3.0,3.56,172,1.5,0.65
1399,2.899,6.376,0.25,2.6,4.02,293,1.5,0.58
1456,2.543,5.614,0.24,1.1,4.83,56,0.4,0.36
1015,2.776,6.377,0.23,0.3,4.0,211,0.3,0.44
7340,2.405,6.1,0.42,0.9,3.82,130,3.0,1.1
2962,2.551,5.745,0.23,0.5,4.71,105,0.4,0.35
1459,2.492,6.936,0.32,1.5,4.2,304,0.3,0.5
1557,2.494,6.309,0.37,0.4,4.26,22,1.4,0.37
6715,2.751,6.042,0.42,0.0,2.72,127,2.3,0.44
108,2.463,6.362,0.32,2.1,4.19,102,0.7,0.17
1237,2.66,5.947,0.3,1.1,4.5,98,1.3,0.15
621,2.541,6.008,0.32,0.2,3.89,63,0.2,0.35
2118,2.72,6.71,0.36,0.6,3.55,219,1.0,0.19
1347,2.568,5.885,0.12,0.7,4.96,153,0.5,0.08
4611,2.541,6.566,0.33,0.3,3.2,261,0.8,0.51
2521,2.878,6.203,0.28,1.0,4.34,207,0.2,0.06
23403,2.405,6.257,0.18,0.6,4.52,66,0.4,0.28
1429,2.752,6.44,0.21,0.7,3.74,129,0.8,0.53
1454,2.734,6.986,0.3,1.9,3.77,221,0.7,0.64
7201,2.701,6.52,0.31,1.2,4.48,327,2.2,0.04
1934,2.573,6.42,0.37,0.2,5.44,132,0.7,1.33
411,2.735,6.534,0.27,0.9,4.7,161,0.4,0.28
1573,2.637,5.858,0.35,1.4,4.41,179,1.2,0.53
1491,2.7,6.298,0.42,0.6,4.54,243,1.6,0.33
5818,2.786,6.404,0.24,0.8,4.15,141,1.3,0.98
1352,2.633,5.853,0.21,0.7,3.14,129,1.6,1.26
3413,2.346,6.256,0.37,0.2,2.6,121,0.4,0.34
1835,2.66,6.109,0.35,3.1,4.78,305,0.6,0.39
1690,2.899,6.668,0.31,0.5,3.5,29,2.5,0.38
3137,2.706,6.297,0.31,0.2,4.47,83,0.6,0.26
1839,2.824,6.934,0.25,1.6,4.56,297,2.3,0.09
941,2.487,6.345,0.09,1.2,0.85,216,2.2,1.45
1125,2.476,6.709,0.36,3.4,4.1,238,0.3,0.17
6778,2.69,5.085,0.16,0.7,3.64,207,1.3,0.23
1275,2.612,5.766,0.36,1.2,4.49,129,0.9,0.47
5811,2.51,5.828,0.25,0.0,3.77,128,0.8,0.96
1612,2.577,6.004,0.21,1.8,3.94,13,0.1,0.0
1431,2.765,6.327,0.24,0.2,4.93,71,0.7,0.16
1316,2.662,6.298,0.26,2.1,3.58,338,1.2,0.31
2742,2.889,6.685,0.27,1.5,4.9,172,0.7,0.55
1346,2.503,6.229,0.28,0.3,3.53,164,0.2,0.03
303,2.474,6.004,0.3,0.3,4.49,86,0.2,0.07
9654,2.537,5.671,0.25,0.4,4.75,82,0.7,0.22
1520,2.521,6.947,0.3,1.0,2.89,196,3.1,0.22
1656,2.453,7.219,0.33,1.2,4.18,224,1.7,0.25
1415,2.566,6.202,0.26,0.3,4.49,48,0.7,0.66
16826,2.659,6.748,0.3,1.4,4.78,59,0.4,0.09
3291,2.484,5.83,0.29,0.2,4.83,207,1.4,0.56
1387,2.522,6.576,0.35,1.2,4.43,222,2.7,0.39
159,2.481,5.533,0.19,0.6,5.16,87,0.8,0.47
1167,2.669,6.819,0.4,0.6,4.49,230,0.4,0.09
4552,2.57,5.593,0.22,1.1,1.59,47,1.8,0.18
672,2.7,6.082,0.29,0.1,3.03,22,0.1,0.65
