time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.073,0.525,0.642,1.000,2.000,0.146,0.298,0.490,0.333,0.055,0.135
0.013,0.499,0.316,1.000,1.000,0.173,0.105,0.600,0.047,0.016,0.022
0.153,0.407,0.544,1.000,1.000,0.151,0.193,0.349,0.306,0.000,0.111
0.299,0.424,0.477,1.000,1.000,0.151,0.193,0.405,0.371,0.044,0.045
0.044,0.407,0.272,1.000,1.000,0.168,0.018,0.558,0.048,0.000,0.030
0.279,0.457,0.601,1.000,1.000,0.227,0.211,0.540,0.341,0.044,0.013
0.055,0.532,0.850,1.000,1.000,0.119,0.158,0.632,0.406,0.137,0.035
0.076,0.377,0.536,1.000,1.000,0.168,0.123,0.389,0.394,0.093,0.096
0.075,0.659,0.324,1.000,1.000,0.130,0.053,0.504,0.260,0.033,0.018
0.119,0.618,0.584,1.000,1.000,0.222,0.035,0.420,0.369,0.022,0.086
0.352,0.762,0.476,1.000,2.000,0.184,0.211,0.551,0.402,0.131,0.051
0.047,0.489,0.425,1.000,1.000,0.130,0.140,0.480,0.321,0.027,0.040
0.347,0.860,0.282,1.000,1.000,0.092,0.088,0.274,0.114,0.077,0.131
0.348,0.573,0.638,1.000,1.000,0.162,0.123,0.687,0.291,0.082,0.136
0.122,0.445,0.488,1.000,1.000,0.178,0.298,0.546,0.244,0.071,0.015
0.090,0.449,0.391,1.000,1.000,0.146,0.000,0.328,0.024,0.022,0.151
0.068,0.739,0.253,1.000,1.000,0.103,0.035,0.527,0.074,0.005,0.061
0.056,0.833,0.861,1.000,2.000,0.130,0.281,0.495,0.429,0.148,0.047
0.399,0.787,0.534,1.000,1.000,0.135,0.000,0.606,0.196,0.033,0.128
0.111,0.443,0.293,1.000,1.000,0.114,0.123,0.621,0.226,0.022,0.060
0.066,0.556,0.481,1.000,1.000,0.189,0.035,0.405,0.250,0.066,0.073
0.066,0.452,0.133,1.000,1.000,0.119,0.193,0.606,0.096,0.066,0.053
0.148,0.624,0.648,1.000,2.000,0.124,0.263,0.554,0.427,0.093,0.065
0.073,0.577,0.592,1.000,1.000,0.119,0.070,0.459,0.286,0.077,0.086
0.062,0.585,0.321,1.000,1.000,0.151,0.105,0.557,0.019,0.016,0.023
0.081,0.538,0.546,1.000,1.000,0.178,0.053,0.546,0.388,0.016,0.098
0.011,0.769,0.422,1.000,2.000,0.151,0.526,0.610,0.389,0.005,0.096
0.161,0.590,0.753,1.000,2.000,0.162,0.421,0.519,0.362,0.126,0.035
0.225,0.462,0.565,1.000,1.000,0.178,0.053,0.373,0.333,0.044,0.085
0.123,0.779,0.414,1.000,1.000,0.151,0.175,0.506,0.264,0.011,0.010
0.045,0.607,0.681,1.000,4.000,0.162,0.281,0.292,0.328,0.235,0.091
0.131,0.438,0.411,1.000,1.000,0.173,0.070,0.476,0.213,0.104,0.091
0.118,0.549,0.287,1.000,1.000,0.184,0.211,0.557,0.075,0.000,0.035
0.216,0.527,0.389,1.000,1.000,0.238,0.158,0.350,0.367,0.071,0.035
0.081,0.301,0.529,1.000,1.000,0.135,0.035,0.495,0.333,0.044,0.141
0.287,0.548,0.370,1.000,2.000,0.168,0.386,0.552,0.245,0.033,0.002
0.050,0.885,0.650,1.000,1.000,0.124,0.228,0.414,0.203,0.049,0.035
0.137,0.333,0.655,1.000,2.000,0.232,0.316,0.522,0.473,0.005,0.051
0.046,0.541,0.740,1.000,1.000,0.070,0.193,0.522,0.383,0.022,0.022
0.012,0.630,0.294,1.000,1.000,0.124,0.053,0.330,0.135,0.005,0.015
0.076,0.391,0.548,1.000,1.000,0.130,0.228,0.494,0.298,0.005,0.068
0.060,0.495,0.343,1.000,1.000,0.157,0.105,0.517,0.096,0.027,0.003
0.064,0.546,0.442,1.000,1.000,0.195,0.088,0.525,0.170,0.098,0.028
0.069,0.814,0.455,1.000,1.000,0.151,0.070,0.463,0.286,0.022,0.032
0.008,0.396,0.326,1.000,1.000,0.141,0.088,0.464,0.193,0.066,0.081
0.001,0.480,0.628,1.000,2.000,0.168,0.228,0.348,0.489,0.246,0.056
0.056,0.944,0.652,1.000,2.000,0.119,0.316,0.588,0.408,0.060,0.050
0.138,0.282,0.413,1.000,1.000,0.173,0.123,0.512,0.217,0.027,0.040
0.081,0.423,0.844,1.000,3.000,0.141,0.175,0.525,0.466,0.219,0.056
0.073,0.667,0.626,1.000,1.000,0.195,0.386,0.555,0.213,0.033,0.010
0.069,0.770,0.271,1.000,1.000,0.162,0.193,0.534,0.307,0.022,0.125
0.000,0.555,0.472,1.000,1.000,0.157,0.035,0.412,0.309,0.120,0.068
0.383,0.430,0.471,1.000,1.000,0.157,0.246,0.488,0.342,0.098,0.060
0.133,0.436,0.662,1.000,1.000,0.146,0.175,0.578,0.200,0.038,0.043
0.038,0.579,0.660,1.000,0.000,0.124,0.140,0.177,0.209,0.071,0.327
0.010,0.445,0.368,1.000,1.000,0.178,0.035,0.440,0.098,0.033,0.032
0.835,0.548,0.376,1.000,1.000,0.081,0.281,0.506,0.339,0.033,0.070
0.038,0.578,0.325,1.000,2.000,0.184,0.263,0.543,0.379,0.066,0.086
0.065,0.572,0.301,1.000,1.000,0.162,0.211,0.641,0.185,0.049,0.078
0.060,0.354,0.548,1.000,0.000,0.054,0.018,0.247,0.129,0.109,0.282
0.152,0.884,0.363,1.000,1.000,0.130,0.018,0.554,0.120,0.005,0.032
0.171,0.856,0.590,1.000,1.000,0.135,0.070,0.498,0.219,0.104,0.007
0.013,0.790,0.664,1.000,1.000,0.168,0.421,0.467,0.185,0.038,0.146
0.090,0.728,0.717,1.000,2.000,0.135,0.281,0.532,0.379,0.126,0.015
0.086,0.530,0.546,1.000,1.000,0.189,0.140,0.428,0.116,0.011,0.063
0.059,0.611,0.058,1.000,1.000,0.141,0.000,0.523,0.369,0.011,0.121
0.797,0.516,0.161,1.000,3.000,0.168,0.158,0.526,0.446,0.011,0.013
0.122,0.789,0.179,1.000,2.000,0.124,0.351,0.537,0.346,0.033,0.012
0.009,0.645,0.749,1.000,2.000,0.178,0.211,0.448,0.407,0.109,0.060
0.066,0.262,0.284,1.000,1.000,0.205,0.000,0.518,0.268,0.044,0.042
0.005,0.564,0.537,1.000,2.000,0.151,0.386,0.393,0.383,0.049,0.010
0.123,0.455,0.249,1.000,1.000,0.124,0.281,0.583,0.219,0.027,0.005
0.063,0.398,0.539,1.000,1.000,0.205,0.123,0.159,0.057,0.087,0.055
0.085,0.480,0.584,1.000,1.000,0.178,0.123,0.482,0.253,0.016,0.023
0.116,0.403,0.438,1.000,1.000,0.130,0.140,0.555,0.209,0.033,0.078
0.102,0.508,0.337,1.000,3.000,0.108,0.035,0.364,0.499,0.077,0.284
0.208,0.499,0.516,1.000,1.000,0.151,0.105,0.520,0.042,0.005,0.081
0.092,0.611,0.436,1.000,1.000,0.157,0.105,0.453,0.052,0.098,0.113
0.067,0.544,0.297,1.000,1.000,0.108,0.140,0.519,0.019,0.005,0.018
0.161,0.444,0.156,1.000,1.000,0.141,0.070,0.573,0.023,0.011,0.042
0.156,0.132,0.469,1.000,1.000,0.146,0.175,0.462,0.202,0.153,0.279
0.088,0.499,0.053,1.000,4.000,0.130,0.211,0.177,0.159,0.180,0.219
0.131,0.421,0.378,1.000,1.000,0.205,0.035,0.473,0.026,0.104,0.118
0.092,0.625,0.379,1.000,1.000,0.205,0.211,0.613,0.380,0.000,0.071
0.035,0.378,0.430,1.000,1.000,0.162,0.105,0.408,0.144,0.000,0.025
0.067,0.778,0.572,1.000,1.000,0.249,0.000,0.588,0.212,0.044,0.070
0.081,0.717,0.652,1.000,1.000,0.135,0.140,0.289,0.144,0.087,0.045
0.551,0.641,0.461,1.000,1.000,0.157,0.211,0.585,0.147,0.011,0.068
0.081,0.768,0.516,1.000,1.000,0.141,0.088,0.443,0.212,0.098,0.005
0.133,0.526,0.600,1.000,1.000,0.151,0.088,0.547,0.415,0.000,0.053
0.090,0.347,0.689,1.000,1.000,0.162,0.281,0.449,0.309,0.142,0.181
0.266,0.596,0.324,1.000,1.000,0.151,0.140,0.511,0.184,0.049,0.043
0.056,0.340,0.571,1.000,1.000,0.151,0.175,0.552,0.312,0.005,0.085
0.008,0.384,0.257,1.000,1.000,0.081,0.175,0.595,0.106,0.011,0.002
0.070,0.225,0.285,1.000,2.000,0.151,0.386,0.571,0.467,0.000,0.108
0.059,0.430,0.241,1.000,1.000,0.162,0.140,0.548,0.031,0.049,0.065
0.068,0.346,0.374,1.000,2.000,0.157,0.368,0.482,0.332,0.000,0.065
0.065,0.715,0.232,1.000,1.000,0.195,0.035,0.561,0.329,0.022,0.025
0.143,0.548,0.325,1.000,1.000,0.173,0.158,0.478,0.291,0.022,0.076
0.088,0.685,0.434,1.000,1.000,0.151,0.018,0.384,0.176,0.104,0.284
0.905,0.604,0.224,1.000,1.000,0.086,0.281,0.651,0.102,0.022,0.058
0.073,0.695,0.542,1.000,1.000,0.141,0.018,0.516,0.069,0.071,0.045
0.050,0.528,0.232,1.000,1.000,0.157,0.211,0.516,0.014,0.033,0.075
0.077,0.492,0.625,1.000,1.000,0.119,0.140,0.446,0.297,0.120,0.106
0.206,0.507,0.792,1.000,1.000,0.195,0.158,0.418,0.260,0.230,0.027
0.069,0.579,0.301,1.000,1.000,0.178,0.281,0.473,0.203,0.000,0.056
0.022,0.553,0.184,1.000,1.000,0.081,0.158,0.333,0.029,0.164,0.211
0.064,0.221,0.452,1.000,4.000,0.130,0.140,0.214,0.251,0.131,0.183
0.067,0.601,0.657,1.000,2.000,0.205,0.333,0.499,0.370,0.131,0.075
0.152,0.607,0.367,1.000,1.000,0.168,0.035,0.544,0.006,0.044,0.078
0.071,0.439,0.317,1.000,1.000,0.114,0.070,0.544,0.017,0.022,0.032
0.334,0.589,0.417,1.000,1.000,0.157,0.070,0.494,0.163,0.005,0.020
0.069,0.618,0.332,1.000,1.000,0.086,0.140,0.350,0.079,0.164,0.123
0.093,0.257,0.077,1.000,1.000,0.162,0.053,0.553,0.334,0.027,0.095
0.003,0.627,0.244,1.000,1.000,0.086,0.018,0.293,0.140,0.071,0.291
0.350,0.433,0.447,1.000,1.000,0.200,0.000,0.466,0.295,0.005,0.020
0.068,0.799,0.486,1.000,2.000,0.135,0.456,0.469,0.374,0.082,0.096
0.136,0.801,0.442,1.000,2.000,0.124,0.351,0.616,0.398,0.000,0.022
0.079,0.599,0.075,1.000,1.000,0.146,0.070,0.462,0.088,0.038,0.168
0.063,0.610,0.301,1.000,1.000,0.157,0.018,0.450,0.181,0.033,0.075
0.062,0.529,0.233,1.000,1.000,0.195,0.211,0.524,0.165,0.049,0.078
0.444,0.396,0.373,1.000,1.000,0.178,0.035,0.294,0.114,0.066,0.146
0.281,0.462,0.300,1.000,1.000,0.086,0.070,0.517,0.143,0.011,0.030
0.220,0.552,0.422,1.000,1.000,0.130,0.035,0.609,0.159,0.000,0.037
0.062,0.679,0.701,1.000,1.000,0.146,0.035,0.557,0.171,0.011,0.020
0.005,0.352,0.247,1.000,1.000,0.151,0.140,0.428,0.166,0.011,0.023
0.070,0.553,0.341,1.000,1.000,0.173,0.140,0.531,0.140,0.044,0.015
0.002,0.684,0.557,1.000,1.000,0.168,0.263,0.609,0.265,0.016,0.032
0.225,0.459,0.425,1.000,1.000,0.130,0.070,0.401,0.208,0.066,0.080
0.064,0.699,0.582,1.000,1.000,0.189,0.035,0.231,0.135,0.191,0.050
0.064,0.681,0.406,1.000,1.000,0.124,0.175,0.502,0.173,0.016,0.145
0.019,0.753,0.384,1.000,1.000,0.146,0.053,0.459,0.027,0.087,0.101
0.008,0.338,0.357,1.000,0.000,0.130,0.088,0.124,0.140,0.022,0.336
0.071,0.527,0.595,1.000,1.000,0.205,0.140,0.418,0.240,0.049,0.033
0.279,0.515,0.572,1.000,1.000,0.227,0.018,0.558,0.276,0.005,0.003
0.093,0.668,0.580,1.000,1.000,0.205,0.140,0.567,0.084,0.158,0.035
0.065,0.721,0.357,1.000,1.000,0.146,0.246,0.527,0.165,0.016,0.008
0.216,0.533,0.251,1.000,1.000,0.189,0.105,0.468,0.196,0.044,0.076
0.507,0.561,0.482,1.000,0.000,0.184,0.000,0.272,0.228,0.109,0.422
0.041,0.539,0.565,1.000,2.000,0.124,0.246,0.459,0.413,0.049,0.065
0.057,0.325,0.344,1.000,3.000,0.168,0.263,0.415,0.441,0.011,0.143
0.063,0.519,0.447,1.000,2.000,0.200,0.404,0.551,0.270,0.044,0.008
0.219,0.633,0.454,1.000,2.000,0.135,0.561,0.504,0.399,0.093,0.085
0.066,0.732,0.705,1.000,1.000,0.124,0.088,0.492,0.180,0.109,0.066
0.002,0.568,0.523,1.000,1.000,0.157,0.053,0.547,0.051,0.005,0.027
0.299,0.473,0.070,1.000,1.000,0.070,0.123,0.634,0.119,0.038,0.023
0.091,0.683,0.676,1.000,1.000,0.124,0.175,0.373,0.378,0.098,0.032
0.150,0.278,0.705,1.000,1.000,0.184,0.193,0.573,0.274,0.033,0.073
0.142,0.760,0.472,1.000,1.000,0.178,0.105,0.541,0.281,0.104,0.058
0.085,0.536,0.459,1.000,1.000,0.124,0.316,0.543,0.237,0.038,0.086
0.091,0.584,0.428,1.000,1.000,0.135,0.333,0.557,0.256,0.055,0.002
0.172,0.579,0.532,1.000,1.000,0.151,0.088,0.502,0.075,0.022,0.005
0.004,0.482,0.674,1.000,1.000,0.135,0.368,0.424,0.006,0.027,0.081
0.054,0.430,0.242,1.000,1.000,0.135,0.035,0.487,0.128,0.016,0.017
0.068,0.611,0.273,1.000,1.000,0.141,0.053,0.550,0.078,0.011,0.042
0.027,0.621,0.478,1.000,1.000,0.157,0.105,0.426,0.369,0.109,0.063
0.072,0.385,0.539,1.000,1.000,0.124,0.105,0.469,0.138,0.126,0.179
0.008,0.989,0.267,1.000,1.000,0.173,0.018,0.561,0.159,0.005,0.071
0.052,0.724,0.716,1.000,2.000,0.108,0.228,0.422,0.463,0.251,0.096
0.115,0.536,0.479,1.000,1.000,0.119,0.105,0.489,0.185,0.027,0.118
0.064,0.576,0.454,1.000,2.000,0.141,0.368,0.418,0.431,0.066,0.051
0.157,0.561,0.252,1.000,1.000,0.146,0.211,0.520,0.180,0.005,0.025
0.069,0.546,0.331,1.000,1.000,0.146,0.088,0.652,0.101,0.016,0.053
0.073,0.071,0.019,1.000,2.000,0.151,0.579,0.597,0.301,0.060,0.226
0.707,0.430,0.533,1.000,3.000,0.146,0.105,0.324,0.432,0.115,0.012
0.098,0.628,0.601,1.000,1.000,0.200,0.175,0.491,0.124,0.055,0.090
0.209,0.518,0.584,1.000,1.000,0.162,0.368,0.541,0.242,0.016,0.043
0.050,0.622,0.414,1.000,1.000,0.124,0.175,0.413,0.367,0.038,0.088
0.083,0.370,0.664,1.000,2.000,0.168,0.474,0.503,0.221,0.033,0.020
0.115,0.395,0.565,1.000,1.000,0.162,0.298,0.470,0.261,0.115,0.018
0.066,0.593,0.428,1.000,1.000,0.130,0.175,0.592,0.284,0.005,0.060
0.204,0.311,0.231,1.000,1.000,0.146,0.088,0.491,0.045,0.016,0.060
0.077,0.517,0.366,1.000,1.000,0.168,0.316,0.473,0.112,0.055,0.045
0.154,0.584,0.865,1.000,2.000,0.146,0.316,0.413,0.378,0.098,0.007
0.148,0.508,0.549,1.000,1.000,0.151,0.105,0.478,0.232,0.011,0.008
0.263,0.596,0.194,1.000,1.000,0.119,0.105,0.345,0.093,0.022,0.017
0.069,0.656,0.526,1.000,1.000,0.162,0.263,0.607,0.273,0.011,0.037
0.048,0.706,0.704,1.000,2.000,0.227,0.351,0.645,0.268,0.060,0.005
0.057,0.489,0.451,1.000,1.000,0.232,0.123,0.496,0.265,0.011,0.038
0.064,0.178,0.497,1.000,1.000,0.151,0.018,0.513,0.145,0.044,0.060
0.092,0.478,0.584,1.000,1.000,0.157,0.105,0.459,0.217,0.098,0.023
0.138,0.554,0.447,1.000,1.000,0.151,0.175,0.559,0.284,0.005,0.015
0.066,0.468,0.484,1.000,1.000,0.168,0.316,0.429,0.015,0.153,0.183
0.020,0.644,0.551,1.000,1.000,0.146,0.158,0.548,0.205,0.022,0.047
0.299,0.350,0.340,1.000,1.000,0.168,0.088,0.462,0.151,0.011,0.130
0.048,0.483,0.437,1.000,1.000,0.135,0.246,0.548,0.208,0.016,0.000
0.059,0.361,0.311,1.000,0.000,0.141,0.053,0.191,0.198,0.055,0.312
0.128,0.647,0.715,1.000,2.000,0.205,0.281,0.494,0.468,0.087,0.056
0.125,0.678,0.372,1.000,1.000,0.130,0.035,0.459,0.143,0.044,0.045
0.126,0.401,0.459,1.000,1.000,0.108,0.158,0.513,0.310,0.049,0.047
0.165,0.339,0.410,1.000,1.000,0.092,0.228,0.386,0.279,0.104,0.332
0.063,0.488,0.403,1.000,1.000,0.135,0.105,0.390,0.099,0.066,0.161
0.135,0.728,0.497,1.000,1.000,0.103,0.070,0.428,0.124,0.087,0.115
0.056,0.361,0.432,1.000,1.000,0.157,0.158,0.449,0.077,0.027,0.022
0.072,0.559,0.531,1.000,1.000,0.162,0.123,0.494,0.325,0.044,0.116
0.154,0.522,0.152,1.000,1.000,0.162,0.158,0.478,0.216,0.044,0.045
0.067,0.627,0.462,1.000,1.000,0.249,0.053,0.433,0.329,0.022,0.027
0.066,0.753,0.300,1.000,1.000,0.178,0.035,0.495,0.181,0.005,0.075
0.068,0.523,0.121,1.000,1.000,0.162,0.140,0.489,0.042,0.060,0.071
0.001,0.486,0.520,1.000,1.000,0.086,0.035,0.550,0.315,0.038,0.023
0.084,0.480,0.224,1.000,1.000,0.168,0.140,0.631,0.256,0.016,0.050
0.081,0.671,0.498,1.000,1.000,0.103,0.035,0.389,0.075,0.175,0.051
0.020,0.437,0.548,1.000,1.000,0.114,0.140,0.394,0.082,0.066,0.163
0.004,0.339,0.637,1.000,1.000,0.222,0.140,0.510,0.384,0.142,0.013
0.078,0.405,0.458,1.000,1.000,0.135,0.105,0.503,0.372,0.033,0.005
0.006,0.442,0.258,1.000,1.000,0.168,0.088,0.506,0.105,0.016,0.098
0.257,0.521,0.064,1.000,1.000,0.135,0.018,0.562,0.130,0.016,0.023
0.055,0.534,0.255,1.000,1.000,0.124,0.193,0.569,0.036,0.060,0.003
0.097,0.461,0.237,1.000,1.000,0.135,0.298,0.468,0.221,0.087,0.012
0.144,0.619,0.473,1.000,1.000,0.162,0.158,0.583,0.295,0.005,0.038
0.138,0.547,0.271,1.000,1.000,0.059,0.018,0.417,0.268,0.027,0.013
0.138,0.468,0.179,1.000,1.000,0.173,0.070,0.534,0.173,0.044,0.030
0.982,0.168,0.239,1.000,1.000,0.173,0.298,0.548,0.003,0.011,0.035
0.472,0.474,0.569,1.000,1.000,0.086,0.053,0.463,0.184,0.016,0.032
0.060,0.801,0.575,1.000,1.000,0.157,0.211,0.525,0.343,0.066,0.186
0.166,0.278,0.436,1.000,1.000,0.200,0.035,0.303,0.154,0.022,0.056
0.074,0.522,0.633,1.000,1.000,0.173,0.105,0.483,0.380,0.022,0.015
0.063,0.548,0.586,1.000,2.000,0.168,0.404,0.588,0.310,0.016,0.045
0.010,0.771,0.450,1.000,2.000,0.168,0.333,0.520,0.297,0.098,0.012
0.067,0.584,0.410,1.000,1.000,0.157,0.175,0.536,0.358,0.027,0.096
0.067,0.717,0.501,1.000,1.000,0.135,0.018,0.413,0.028,0.164,0.169
0.064,0.726,0.623,1.000,1.000,0.173,0.175,0.231,0.182,0.120,0.216
0.070,0.578,0.532,1.000,0.000,0.130,0.193,0.285,0.258,0.153,0.311
0.471,0.458,0.194,1.000,1.000,0.135,0.070,0.554,0.105,0.038,0.037
0.019,0.400,0.573,1.000,1.000,0.232,0.140,0.544,0.208,0.049,0.085
0.093,0.331,0.363,1.000,1.000,0.162,0.123,0.578,0.195,0.033,0.042
0.048,0.527,0.592,1.000,2.000,0.151,0.298,0.581,0.348,0.060,0.066
0.152,0.390,0.324,1.000,1.000,0.130,0.088,0.428,0.050,0.077,0.073
0.060,0.532,0.637,1.000,2.000,0.200,0.456,0.537,0.142,0.104,0.055
0.174,0.413,0.292,1.000,4.000,0.173,0.018,0.247,0.293,0.202,0.090
0.156,0.594,0.247,1.000,1.000,0.141,0.228,0.559,0.040,0.000,0.048
0.155,0.617,0.573,1.000,1.000,0.157,0.175,0.562,0.342,0.005,0.051
0.262,0.527,0.327,1.000,1.000,0.227,0.140,0.425,0.333,0.016,0.020
0.008,0.548,0.406,1.000,2.000,0.205,0.579,0.532,0.327,0.027,0.055
0.026,0.563,0.345,1.000,1.000,0.249,0.088,0.548,0.258,0.055,0.070
0.195,0.376,0.528,1.000,1.000,0.151,0.070,0.589,0.015,0.049,0.005
0.353,0.508,0.219,1.000,0.000,0.097,0.070,0.079,0.310,0.131,0.331
0.112,0.599,0.446,1.000,1.000,0.200,0.070,0.449,0.235,0.027,0.045
0.055,0.608,0.154,1.000,0.000,0.141,0.175,0.231,0.260,0.060,0.306
0.293,0.386,0.250,1.000,1.000,0.189,0.053,0.578,0.239,0.005,0.055
0.044,0.475,0.587,1.000,1.000,0.200,0.175,0.439,0.038,0.131,0.063
0.074,0.593,0.300,1.000,1.000,0.178,0.018,0.455,0.170,0.033,0.128
0.097,0.520,0.528,1.000,0.000,0.141,0.088,0.244,0.208,0.219,0.402
0.005,0.494,0.312,1.000,1.000,0.168,0.140,0.343,0.111,0.055,0.110
0.021,0.646,0.559,1.000,2.000,0.141,0.404,0.478,0.404,0.044,0.113
0.198,0.656,0.533,1.000,1.000,0.146,0.018,0.345,0.351,0.071,0.191
0.082,0.395,0.290,1.000,1.000,0.124,0.000,0.382,0.161,0.049,0.073
0.143,0.804,0.562,1.000,1.000,0.151,0.158,0.604,0.268,0.000,0.023
0.051,0.691,0.391,1.000,1.000,0.141,0.123,0.540,0.018,0.033,0.013
0.148,0.578,0.717,1.000,3.000,0.146,0.193,0.498,0.472,0.033,0.145
0.006,0.515,0.838,1.000,1.000,0.146,0.140,0.495,0.351,0.158,0.010
0.069,0.433,0.440,1.000,1.000,0.130,0.158,0.569,0.296,0.038,0.058
0.074,0.294,0.354,1.000,1.000,0.081,0.070,0.469,0.204,0.027,0.075
0.070,0.542,0.496,1.000,1.000,0.216,0.193,0.488,0.301,0.022,0.043
0.065,0.536,0.539,1.000,0.000,0.157,0.053,0.128,0.392,0.109,0.430
0.087,0.341,0.386,1.000,2.000,0.205,0.421,0.459,0.383,0.022,0.040
0.064,0.778,0.353,1.000,1.000,0.141,0.123,0.548,0.159,0.022,0.008
0.167,0.330,0.693,1.000,1.000,0.151,0.175,0.495,0.351,0.093,0.005
0.089,0.442,0.271,1.000,1.000,0.054,0.211,0.126,0.046,0.098,0.163
0.074,0.443,0.722,1.000,1.000,0.162,0.175,0.337,0.250,0.169,0.037
0.077,0.663,0.371,1.000,1.000,0.114,0.105,0.469,0.131,0.005,0.093
0.168,0.519,0.287,1.000,1.000,0.189,0.070,0.457,0.102,0.082,0.183
0.288,0.414,0.555,1.000,2.000,0.146,0.281,0.508,0.459,0.273,0.146
0.094,0.478,0.295,1.000,1.000,0.195,0.158,0.510,0.089,0.033,0.126
0.505,0.485,0.420,1.000,0.000,0.092,0.228,0.077,0.005,0.131,0.307
0.345,0.463,0.465,1.000,1.000,0.103,0.123,0.532,0.264,0.066,0.032
0.052,0.896,0.855,1.000,1.000,0.141,0.193,0.509,0.247,0.060,0.020
0.053,0.402,0.519,1.000,1.000,0.195,0.088,0.590,0.319,0.077,0.030
0.010,0.719,0.738,1.000,1.000,0.135,0.070,0.529,0.316,0.077,0.042
0.089,0.422,0.599,1.000,0.000,0.162,0.035,0.098,0.148,0.169,0.350
0.044,0.555,0.311,1.000,1.000,0.119,0.246,0.545,0.139,0.016,0.136
0.350,0.696,0.406,1.000,2.000,0.124,0.368,0.623,0.283,0.044,0.035
0.274,0.571,0.333,1.000,1.000,0.119,0.035,0.390,0.149,0.005,0.068
0.135,0.478,0.476,1.000,2.000,0.146,0.316,0.631,0.348,0.082,0.037
0.038,0.579,0.660,1.000,0.000,0.124,0.140,0.177,0.209,0.071,0.327
0.042,0.564,0.255,1.000,4.000,0.049,0.316,0.053,0.353,0.104,0.218
0.036,0.412,0.650,1.000,1.000,0.211,0.018,0.440,0.024,0.005,0.070
0.052,0.362,0.538,1.000,1.000,0.130,0.000,0.441,0.023,0.071,0.037
0.083,0.546,0.181,1.000,1.000,0.086,0.088,0.392,0.120,0.011,0.015
0.204,0.509,0.403,1.000,1.000,0.162,0.281,0.421,0.319,0.027,0.088
0.192,0.629,0.649,1.000,1.000,0.205,0.140,0.250,0.323,0.104,0.027
0.062,0.372,0.257,1.000,1.000,0.130,0.175,0.496,0.103,0.016,0.035
0.096,0.533,0.667,1.000,1.000,0.124,0.246,0.525,0.348,0.055,0.020
0.270,0.421,0.245,1.000,1.000,0.108,0.070,0.554,0.388,0.055,0.053
0.000,0.460,0.285,1.000,1.000,0.108,0.018,0.378,0.020,0.033,0.136
0.075,0.393,0.268,1.000,1.000,0.119,0.140,0.483,0.184,0.022,0.123
0.057,0.562,0.514,1.000,1.000,0.076,0.211,0.531,0.397,0.066,0.010
0.055,0.467,0.371,1.000,1.000,0.135,0.351,0.545,0.273,0.011,0.061
0.086,0.668,0.395,1.000,1.000,0.146,0.175,0.449,0.170,0.055,0.028
0.278,0.687,0.447,1.000,1.000,0.070,0.088,0.496,0.261,0.016,0.061
0.064,0.446,0.437,1.000,1.000,0.119,0.105,0.275,0.159,0.033,0.150
0.056,0.468,0.243,1.000,1.000,0.114,0.000,0.523,0.047,0.011,0.116
